TRAINTrainTimesSTDDEVS,ROCKET,ResNet,Catch22,cBOSS,WEASEL,TSF,BOSS,RISE,S-BOSS,ProximityForest,InceptionTime,TS-CHIEF,STC,HIVE-COTE v1.0
ACSF1,111.52565809621167,4.766863592106149,188.6809981024651,1392.3832753402673,218580.24506418695,7487.404480435317,13272.316810412865,10493.751380606318,96116.3015417548,600628.8432974098,749902.6943495303,5941979.49091809,97994.22490458564,183313.25347776245
Adiac,57.8444704238935,9.706556618044852,229.11670204599062,1573.7254703213139,46414.14719301687,28801.333780184723,2410.754354517823,14928.340631236611,12881.137617389959,45115.151292602815,1610985.7082209599,157807.27882033522,646550.6544591775,1227061.1584915274
ArrowHead,10.733768821036172,18.17336689685806,33.7564441580506,91.75452335776737,388.0371276300251,2340.026018767632,118.25291552492828,3160.1844574740335,283.2229957696763,1868.9126481314872,596320.8123004908,13189.568479679661,25231.839549753517,45942.97257567229
Beef,13.804047382486452,5.626292954849855,65.92195018665086,133.50779920196956,8462.18449647893,2788.8943080322492,152.79430866121945,3439.736745140202,825.7416954520347,3549.6286882414133,597283.8112787958,21534.942970741315,30469.19835287742,38200.55096752693
BeetleFly,12.791385391343857,6.451320812816943,71.24056919907157,116.6499898132319,1466.708685189482,2168.152767974487,107.09642991928233,3418.2490930510326,184.61954735124797,2752.00086844043,623233.1773634213,8393.62307503623,22165.257300441528,16513.72294618025
BirdChicken,16.680362189071936,28.19450097195322,59.60004324260866,216.53313537091856,1831.7256100968134,846.6728836144238,123.04357262383354,3469.246304845643,280.39977074697197,2363.034619106261,633324.6225268219,12476.918436636373,29687.081897566888,37079.74840698508
BME,6.225272924820706,12.729005703781286,136.0415584071758,142.63394087485358,270.3997483270193,1294.8637598926405,135.22510348956558,2498.534410066248,44.070515422328974,864.3530522590379,640460.2115567278,895.8943020139752,11590.389422148697,22140.450590101314
Car,23.479240035479812,5.246673823185174,46.07881410685478,411.7187980656976,4980.58817674377,3342.6595048347854,493.4140735529646,4406.136820687025,3896.184343484191,20196.47728172707,649419.2470258056,129850.03341140847,78541.3907881478,141528.8923832179
CBF,8.05327091396987,39.783667878729545,39.585507462378004,90.00922727203637,321.17090725619676,651.7753945855408,97.06211869396257,2971.076059256202,81.71094625018078,344.2907731635664,671049.7107951522,4450.131583604219,18290.34770871039,36708.044875626845
Chinatown,2.325273435904719,28.9252703421734,50.92504977433218,88.78836662557913,54.35284321868957,285.53722054327085,44.56454595739393,594.4337086112772,19.179519285971583,15.906381486102848,690528.1169103651,281.2140439868147,7229.945801730167,14102.914992957107
