TRAINTrainTimesSTDDEVS,ROCKET,ResNet,Catch22,cBOSS,WEASEL,TSF,BOSS,RISE,S-BOSS,ProximityForest,InceptionTime,TS-CHIEF,STC,HIVE-COTE v1.0
ChlorineConcentration,60.13395009495875,33.62819014478467,218.28028812606513,3146.716085613429,3572.5042900255503,24391.82364833615,6163.088457935952,17152.482972805657,26650.349772136447,20735.111841427442,2055519.96372713,116302.31721423074,874742.8360368479,1688993.7325858038
CinCECGTorso,42.39801827943127,21.38333758880454,146.29123623644787,595.3750186700754,39540.15834038121,24526.166400763894,1773.442861538567,7242.207606712114,14999.166675712255,70344.40386494594,703291.4983730577,247630.10138619822,42957.29888036846,61068.336145453555
Coffee,7.845417433931966,7.337825165600469,99.17015988499561,127.91128480746518,156.52469278717882,785.0810429897206,114.92614711837126,2288.1520972571225,212.06853889255066,1039.9933743715997,720303.0100282558,5566.066111040185,22864.996607916815,47184.67911646637
Computers,108.44406895701592,7.682193173438364,287.5856393005951,3116.7505424547358,183218.37775816693,20895.851800642842,32039.950430913315,17235.358652936982,98458.85451821002,269421.83986461925,1364229.7041456623,1973021.854332517,455790.4912673287,870160.1886582917
CricketX,76.19914169728095,12.036391180236631,315.3972907564452,5883.653148252863,47110.438912104735,11168.061513864362,32458.82815292059,20692.99080641294,43148.41544779233,68044.74246811244,2009445.2037222902,3028830.621274591,714158.5144709981,1328994.7265589056
CricketY,91.78325292362098,10.383452795386653,229.22059639824548,4286.046772694788,61657.49963482808,19511.43492916479,33314.32532572164,19341.937777130668,40786.489198799965,49708.19285448039,2038986.351260427,231053.15581767994,628382.5176523133,1233351.860199916
CricketZ,86.5601179700473,12.560840443365175,171.46732324305992,5383.53166689414,16151.735987817166,15975.829731641832,41635.68164463857,11694.528013116038,35370.042367340386,51117.22036100513,1548751.313792971,305889.2117404389,557495.156260294,1077197.9560619262
Crop,1388.8370211311217,265.46899725909077,1963.90931454223,704166.691271741,70344.7333703906,82805.81589401826,648071.2581672465,66377.50593218161,551428.487399903,64290.302083077295,1.9909207670947872E7,3931146.982704359,4.610340721456347E7,3.658553382463957E7
DiatomSizeReduction,11.754187319429187,32.98038427802861,74.93573063063705,97.37954030215911,294.03936927698203,475.1368687791464,105.49923454391265,980.3517247233793,194.8212812409447,467.83537750002057,606314.0957101862,1678.8244235439445,27059.36264052501,27061.282891109357
DistalPhalanxOutlineAgeGroup,31.75980254144009,13.515635900434114,307.83001422287373,1122.5521553575963,888.8539968752135,3816.704471813974,890.3188483893919,3939.037024702797,12658.805630501945,1717.125015339101,1698545.847917905,16941.54806902074,735568.5401089379,1399241.2354676137
DistalPhalanxOutlineCorrect,40.84347751076558,20.033994098537363,320.33121821854786,1879.2330430212112,442.18425257206366,6005.490597245959,1705.8816904701675,7645.856458250885,25320.841037404545,4796.127234510592,2294081.0254327063,22574.513248002746,789784.9702270459,1517661.3670134768
DistalPhalanxTW,25.105203930018497,19.527758021169078,281.2402709301121,762.5225732108585,1991.4402056709052,3820.477678927963,1113.9539739391907,4711.941074682017,16318.49155548368,2318.0968180184927,1774731.3052856876,20097.924043772426,916055.1050839273,1755958.2582948843
Earthquakes,128.62051462192645,7.189072166885629,387.37121086550695,7993.106005529816,13470.458684657719,9386.433098002539,120297.30587840648,16766.28065707595,354065.93706198264,64665.051294427794,1635975.9793162902,186908.82715743865,509544.5611012335,984297.037795426
ECG200,8.106758922645044,18.526774660213924,61.614934494845414,258.4562395480238,112.79807795417376,1836.6859788386957,332.13337890306946,1864.0449614767228,503.232346419096,1023.3116925131956,880656.1361924747,7024.16155448,56932.105756856,99179.40401281025
ECG5000,52.96023231535669,36.14282014834844,278.60022504014603,2853.347711210104,2819.7269673987994,9105.927845700342,8987.104531142984,8384.009578076555,121200.8961222394,13385.696436943725,2069102.337695424,53493.36842620157,231256.25846406957,456777.236238562
ECGFiveDays,7.498965445887899,49.89470522205139,108.59797958895992,68.757692168589,165.9441316080002,729.8421093411938,145.59329562558494,2672.1771767717787,188.59132882281605,388.695301333621,711322.6500298452,1202.630419395521,6296.549965210364,11323.801582957496
ElectricDevices,2387.7482060305892,248.08940036751397,1585.8091343538472,1603075.7522977786,3.366047802837661E7,304273.3450037709,1508964.968423319,140062.02687972115,1981706.1656710585,250620.91436072296,2.3849429313215498E7,437530.13878386887,3.1920121172156855E7,3.575060679292502E7
EOGHorizontalSignal,324.714780239131,10.709110956156183,650.4873080502426,18172.952992989864,808367.1986402149,91263.08458052966,600250.139978269,44359.35929120618,372428.06888018904,1477657.8429313942,1768324.974216258,1552168.7224538699,401185.878740259,807750.5034079272
EOGVerticalSignal,418.7013159210549,7.3340647493137405,385.3895464306167,16458.004965633398,637789.5172628185,51047.093733956135,963838.8465409577,47072.59980389029,380910.3468768608,1239388.0038800193,1822494.4599248671,1806456.2435473213,266697.827704242,519227.0567346336
EthanolLevel,749.1828928216072,2282.016969322503,698.713885290235,38062.335286520065,90037.24645812657,91214.17085661217,1258639.802343929,48683.47150092224,1263508.960717665,2630357.6777694356,1878675.6622781164,2.3565128571792625E7,530398.061008281,1078006.3646880514
FaceAll,75.54605050647211,947.1191067119545,256.33433093267195,19363.24904541246,19462.712218607176,8224.327176853545,12943.440919460134,12508.27983129221,100143.71065586027,27127.46830654426,2465234.990325805,55086.61086148497,363939.32543558045,674357.0219939505
FaceFour,18.503680901284255,345.8335590637679,102.3835791706012,85.9716332859741,1541.966837155466,907.5974833749507,145.86351991600236,712.8755984869487,750.039185262901,1922.4063664664209,768328.4089359222,4242.466424847151,7956.361790602524,12948.310897496964
FacesUCR,30.238914564233095,678.4023667885953,231.44993483839818,3184.943411834029,5714.491515333617,4914.259261551855,897.5304690148113,6325.408896165064,9314.511967618886,11194.217628607592,1441873.3560420799,20786.009615927804,210338.21195767284,398806.8273001682
FiftyWords,93.33134644847385,642.0449952005458,266.83120804750064,4443.25789089678,65210.0713546875,166892.43819007796,40897.77282080482,35892.54113134223,127078.26223410603,185261.4452744527,2339926.1718687345,489170.8502979031,372493.305694706,761169.7166470339
Fish,117.29852376803777,302.2601167222026,305.2552750159825,1076.1267591503274,19469.63671727445,4449.042637463203,3402.051340112273,4643.2026266697685,90729.31935201123,71479.12728939913,776615.2947087204,94101.47459645174,270989.28990847926,516184.3830857133
FordA,1702.6676247083237,5135.513335878751,1806.4942707497469,830493.2673790056,4050583.944334302,54872.817550984015,4211111.513662803,127705.24228735491,1.1486732784703987E7,5274596.959980122,1.0562275116451489E7,8884594.43138945,8076216.598641891,1.5441187574576134E7
FreezerRegularTrain,30.294739879520602,1121.632976215185,123.98906883004766,860.0904288803097,7962.157423330864,3254.31955518135,4667.462412937674,6569.8136374523265,22176.823400975154,27459.132315744948,825745.8036742001,30749.77681924492,321863.19450922386,618607.3290166346
FreezerSmallTrain,23.102694274881024,3345.627106654537,83.54917531023892,139.95377749555334,1352.7664632556612,1102.0767955568206,131.3420943726367,1563.845471662603,267.34239574963186,4094.5644642498023,535597.4658888497,3318.5230112968798,13658.816605317726,23713.95831204291
GunPoint,10.222805247408207,256.7735461900009,140.26145490220114,678.2767597389233,124.7077030458235,555.5705838065144,222.87610686007454,866.1561029174052,714.9817221532737,1416.856469256479,568966.6323774847,2241.2249956984097,49001.5494207325,65782.20789873537
GunPointAgeSpan,16.579172642723805,262.57944391710504,136.63472654822675,320.749984668599,1169.2839020051017,2609.541149384093,619.3602066227629,3537.5434923223606,1638.8881823360127,5108.729794428238,921200.7139540166,7189.231401806981,339893.5178005005,652247.8929453088
GunPointMaleVersusFemale,15.958314951521482,258.48147180091604,112.75827068885778,389.82790729021684,1667.8994833803838,2232.6854297826667,826.8947491098829,3547.812643110936,2076.6965004991853,2946.988423443296,973343.4240847334,4859.318467950237,352171.21690127667,682021.8406551367
GunPointOldVersusYoung,27.31310577591711,258.67240410155495,199.62289952747884,357.2070268624274,680.7641048273504,2545.9326347413325,657.9672349952257,4087.3316625161665,2495.5594549219904,1993.1346333026,1057965.9885322368,2617.145269145465,273611.3379705916,522919.9337002171
Ham,60.1544850278474,234.02087783864027,217.81297993613242,6179.207719147388,2067.29976502637,4683.157617748519,1128.9825367640549,6992.590489310132,37326.892297452374,36774.28063352695,841732.7068020111,68887.10755780389,179157.3570275936,336445.1449915139
Haptics,133.8012808556805,601.7243698250714,652.3092266645807,2179.834319873917,35193.83169752054,19890.42187512879,37187.3933565823,33373.805125584535,178304.5665906035,281099.6472053283,1037608.1452603315,385310.09666540613,268683.9989197508,528571.3221599831
Herring,35.079302605159754,219.7714303752775,97.4655135084034,408.7535243928225,2979.4892134719953,2443.632689762803,1321.9811794486752,1351.186493638527,9242.111228900187,18696.215928810147,665193.807814749,29070.58884678558,71607.22707213841,131683.5017223765
HouseTwenty,86.42863643146465,390.19679679603354,141.51805537577553,729.8653069090681,32194.30808528313,13551.655582574069,17367.946878271494,2076.6759584952792,21624.975226240185,168664.46768849203,696422.6727353962,427290.1843481736,23893.59308553891,37919.23319490237
InlineSkate,126.40075385341912,1100.4382350661042,209.54821226455465,2637.126857329774,65263.86167867175,9785.562775084973,23940.423451864044,25805.712770294955,162803.40397151993,442013.8640548569,893512.3256000909,814236.0727061412,86040.81816714998,163737.0062258913
InsectEPGRegularTrain,29.82679887340381,357.83848054802536,145.90019006862926,454.81927010285125,15525.886773788861,3574.656460359165,1082.0159596083233,4666.900048918817,8667.439252379489,11055.98895801842,704885.5913944637,17637.894778757865,57886.49634216815,95890.08055025975
InsectEPGSmallTrain,20.288862241005106,1115.8395014980642,61.53909430688983,137.65933212376456,3885.1277858154094,735.069630211579,399.80989935163535,2527.4342070825037,408.00301248103125,3197.7515801766685,705380.5805179402,4089.9847179015173,20234.833963561574,22380.85749095819
InsectWingbeatSound,47.768466971231234,773.69112313829,365.3416922820616,1841.9074418248458,23533.19847672358,11828.659322189353,1873.2317430729167,5953.56430143936,39741.50218605471,46777.5217840039,1013250.5606286745,46342.868631017416,400739.59733339655,772579.0972073537
ItalyPowerDemand,5.8918412320299565,31.716850737260387,152.27663357027913,92.35783031664434,19.345250128370612,459.10342283794074,218.5626731002864,2244.3851015401597,187.62031109126428,50.43875238097981,845565.1222481098,1247.1317135660101,14411.07989805075,28100.85865475708
LargeKitchenAppliances,179.99585244263747,796.5788955160745,332.1297038674794,6852.230363965253,102678.9930871201,54091.4893954181,89582.68274865797,26596.437650747903,882257.3037403788,321513.159597843,1855731.2833840223,439759.07642943313,670729.5771090321,1261518.6641303692
Lightning2,16.16612749426774,210.49461182936585,280.3049535343484,3208.5463848123077,9985.180517470246,2383.853124937858,1013.625151818303,1276.3434963954828,7847.0626968011875,876863.7490226403,758284.0124656869,50637.839890609146,51476.576884161,89027.71074544235
Lightning7,18.39630772549303,196.69908460655697,182.69588600000048,389.39721585297417,1247.4940560134485,3169.7943934283903,262.1509721964401,2848.548857056248,2576.853479208931,11944.530067833311,984522.3729520313,17024.091564461523,58827.87549848683,99032.11429039361
Mallat,43.7125011709544,2426.6810227565747,218.39888742606172,887.5054984215647,49375.087396557836,4120.812256544518,1708.031791175801,7990.504022665409,19793.761939957734,89225.41145988018,768553.038110852,107667.02201920128,61011.36781001544,88537.98675169563
Meat,25.604619734027256,194.96996821497189,176.51650295841765,391.66965955214636,8461.71841095052,2763.761706057632,664.355901613788,2343.9366348986237,8017.95639440294,5828.461604967784,789777.667025019,21953.901544227738,77302.29218451456,136118.00412587685
MedicalImages,45.76396213053517,526.1118756948244,370.61117873620856,1860.6079649817245,7867.93985302533,5579.224522165477,997.7681720024616,5143.340541024273,14475.435269721534,3945.037524523598,2018382.7534516382,22996.666948709146,589339.033002581,1099745.9238224332
MiddlePhalanxOutlineAgeGroup,51.05985894420684,414.7419305610625,346.66021352573944,5030.880967821137,975.4499795216057,3640.8135803693212,859.8651352180709,3225.9315726344134,11233.428740427114,2226.4698424939875,2314544.482131418,17201.291626636335,649046.6544364658,1242847.273137348
MiddlePhalanxOutlineCorrect,66.60493406181939,642.3938742354043,426.7250304079519,2751.1103862772725,495.62461635829516,4270.084751851367,2117.8329714708525,8632.046144172462,48479.885967714996,3099.2786283834275,3224448.261214269,25302.241626238512,611803.6063045892,1193711.4848141102
MiddlePhalanxTW,29.034680016803367,420.75185031111846,248.95779088212763,1512.004833131894,2356.2476623547454,2228.5686361378444,1076.5171537511367,4909.246518274482,17443.4934686163,1735.1021716193088,2153087.567245598,173585.10833154313,496576.21312900435,945624.3960170946
MixedShapesRegularTrain,492.67885602328596,2770.9852360055843,686.5858111703134,19871.234040945903,91331.85089896186,59318.135118482445,1135845.4681343099,40498.99329854218,235302.41791803736,1780631.6334124338,2471647.697147236,994495.8969163791,975205.5187368377,1849001.8299938668
MixedShapesSmallTrain,63.04390004856405,2102.347688525444,244.04948640246093,1230.8506068412557,13371.272925270529,14794.096588109456,2554.6204730424956,2550.1152827297797,35208.434651313095,111182.83354361345,1049915.9905867572,1983672.9742460118,177666.02497508115,339761.66870655183
MoteStrain,6.091731724419491,2026.565957872873,66.75926618368511,100.95202375062131,49.248709862556694,404.17274159083524,93.02193005269076,2042.5706801156146,158.74791961922014,175.00240410816704,870501.0798918091,878.864293646552,4964.438194380884,8960.874072458608
OliveOil,26.8984681014904,192.28732093693398,134.89600105803783,227.3308205515076,1782.1786539124432,1018.5059003088484,266.02942627577414,1407.6120721752532,3215.0119054219226,6850.950079079612,837560.1039375019,16700.017848871183,20879.42397533487,27211.132153208167
OSULeaf,74.77475755772191,333.4435949819442,330.59056006346185,2134.747326391752,18594.55629700679,4274.9006305277735,15800.90862029969,13458.849628121518,64797.91456794844,49308.896790211504,1629866.597354294,793317.7497100503,334743.6424404896,643001.9408665645
PhalangesOutlinesCorrect,183.11488762240364,1891.8675894105459,1817.44826308209,64008.84553523682,1789.722460997439,15958.090343901644,55280.79647875061,17864.616760174325,148384.2502114881,24497.86470220177,7099637.592622443,1089987.5216189376,3129566.897965316,6073701.618846272
Phoneme,98.39257518011564,1797.227342196927,878.2497465284642,27000.756958349273,4691175.5795395095,210427.10970285462,66086.63265677649,28845.57714149714,270446.9200867961,746598.6192624501,1173308.6847789837,1798728.3391415563,382871.0073262532,848196.0669021428
PigAirwayPressure,122.69438717267452,9.991318070285283,203.5847458539186,2212.5901525596782,19539.111801307976,210848.8354053545,25544.60115655666,30261.694860016905,136756.23624415888,1592319.8465803226,797320.837580131,3667739.0974619966,169807.1936543443,501702.86208314943
PigArtPressure,198.6401934070283,10.23494127919187,311.17235448910077,2273.4126383180005,71416.23356453502,33796.84458531935,19501.96241321806,46735.289665311175,80785.54211079121,1380041.8980174128,822849.0449408388,4020265.4031502525,109778.52974668835,236459.80640791578
PigCVP,170.36794528786567,7.040196575102996,292.51417930298754,2315.033481556534,47627.48537269812,71746.51875768162,42615.53413059408,20881.300820231318,125910.03378326887,1797812.3770920257,905807.4015695705,3177463.5768366205,113895.83339841178,250651.19955566645
Plane,18.870429339267186,4.476759912073108,178.01732717873438,403.87156297137653,3348.4017632414184,1561.2634032364924,236.3100700288519,1244.5833455560721,898.097129813039,1402.2821025177911,995465.6037512029,51474.17574959907,156978.25824172798,301291.3209156192
PowerCons,15.735931501817271,6.49712580131868,311.1474343885783,870.4742341398666,587.6853978636268,1108.9209250971257,751.5702872058488,3516.6230774593387,6968.9004773024535,4089.1405413366,1210787.137895085,13924.99395329318,219762.07642671347,422373.56815086945
ProximalPhalanxOutlineAgeGroup,46.21444268455131,14.055759240115494,506.4985856022439,1121.0734774670202,1626.9489596353417,4680.403853856301,1252.1908663811016,5453.038135402563,13749.636048848583,2496.0922643011922,2025157.6774732224,108326.95511665508,833597.456092101,1586212.8288635507
ProximalPhalanxOutlineCorrect,73.52613891296262,17.566981828837662,166.56302086632655,1168.3016490888726,1277.0480387760454,3963.4354999628367,1788.4178142254661,3541.6357116463473,44203.00331174725,3086.2905778216036,2004630.8887022317,22055.241686086996,1050873.3046959178,2022938.1325760174
ProximalPhalanxTW,47.53342441673658,15.237167202856833,152.59581551610555,1257.1238192635446,3792.5963133895643,4408.200900113415,828.3331465229166,2303.9853824951956,14317.143027985448,2014.15284218235,1367744.1267884162,101231.23054625341,641892.7188729567,1222982.5672556285
RefrigerationDevices,155.3821725302806,12.625871996743864,246.5871269936557,13032.834779576015,129689.74297129274,8065.869882820792,226993.31175163554,18249.810018212676,363469.3901908585,276782.71724873834,1336475.603378779,600965.7088911184,926326.4115933323,1763539.995366889
Rock,56.01338099574701,6.398724729265946,271.29949459810285,3914.1365275912735,27569.41226005246,8689.363846437578,5897.647338747381,2039.091291280069,11860.76939671633,113372.6513815403,544279.7524192318,190621.03477797046,94721.51315667998,101718.70796915054
ScreenType,120.10694468231026,12.164060498702396,263.9968226290604,14710.88741658456,359329.58326902497,12015.427063798137,219055.84795239836,25026.342547418983,365408.13279680954,134664.26969706378,1402480.5209248925,3711317.32252917,837961.236305079,1563065.2992265339
SemgHandGenderCh2,228.94851100117504,21.05755659270972,714.5460006670944,13368.36557407732,24529.206873852316,212251.4781653904,234422.42268497305,16732.840392197548,332496.71779215976,758550.262147146,1331613.2513512503,1631331.6290977406,456092.021328329,775340.2559625866
SemgHandMovementCh2,693.4462529620637,26.685826450258823,1067.2334014975927,168859.1778966635,52360.69795659324,235676.07348990117,752031.1620599361,26386.139260546515,929085.3912276138,1650110.3368149865,1927269.6755675448,2.079026129578217E7,523973.4148850298,1136817.1833101423
SemgHandSubjectCh2,623.347674246488,25.044787467861347,1120.2497976570996,101594.46626578683,29417.255435289528,126536.7963678951,618967.9942903712,32314.67571363589,640797.2697761622,1579807.648052879,1959814.2048629588,1.4494454556041118E7,398413.4940635761,776786.7194313498
ShapeletSim,10.559356040971437,14.182553634173459,61.92393103642305,171.45791823966633,421.963726001645,1686.1252534787993,243.01807075351775,1877.547565581401,727.1509091936792,4624.275119352987,625477.8293377231,55858.8284110487,32359.144395884636,33939.44293737739
ShapesAll,216.76730465597456,15.683507700546564,456.2081135558548,27732.061294887066,500541.66897912824,253561.30891766923,145078.2265985386,60909.184226667065,550453.2503672894,761354.3496994254,2351552.6227067253,2.6208826209660336E7,1218421.350474236,2285419.843038291
SmallKitchenAppliances,142.9290033548125,11.43944577067569,474.93259158210253,33838.04191143676,606963.9276732804,11429.825931389414,177473.424057292,11280.247159470604,157063.92550550838,122968.78431483149,1332453.2541312035,3452158.158395831,908724.3324866152,1714372.8106772092
SmoothSubspace,9.409948269612409,4.663874369870079,115.77395428615233,125.18684090172398,6.036892299244839,368.49018324457455,35.78753412652973,1137.5011584633553,170.58680104753037,34.38653524949535,901841.3536452356,771.108204577078,45836.19884794173,88726.06953824706
SonyAIBORobotSurface1,9.631664732393949,42.22495857235127,42.86462937235742,131.14463015065584,9.065892672635071,1163.3523295068278,249.72455155688118,3746.0305024192335,76.91863264536323,190.0933234858729,580168.0612660012,814.8340293431794,4638.410975361906,11218.555205411021
SonyAIBORobotSurface2,4.616935342196486,48.09812766685904,57.137330989076645,80.63362981154039,44.379010908820405,424.282447816079,196.1109760077083,2369.6736213430563,56.49623435608755,182.51944268944794,593445.3210713678,651.8233443694077,6793.79609678891,13712.155406734424
StarLightCurves,1157.1078238833031,8358.730829594238,1129.5019452505062,210364.557983268,470229.12194297224,53801.080330837365,1300911.1636122838,74862.86775563945,2840989.0738195167,651945.4794972943,3284977.225978924,5576422.868870913,1645978.8232709467,3133057.246626049
Strawberry,110.3460023285169,708.3866898092103,163.0452994596969,8756.42965292029,3456933.773126897,11074.316688231685,50449.300104654925,8463.443522867818,158921.0883064578,26607.21865900856,2158295.266888977,124862.79786179209,863633.138775082,1649307.7700403254
SwedishLeaf,51.7836902384587,13.933173842787344,162.0702779686902,3416.1991106454366,7474.062622718753,6834.8680947905195,5575.141213875848,5388.411479974948,65602.80300055786,21931.744932289697,1846926.6034902404,69888.65208070286,1133930.0780217464,2162721.1128085265
Symbols,14.323198769426673,68.26890711122392,52.0434486977135,146.48290113397823,5034.023770835389,881.6895046858327,190.05708433936806,956.6171676499549,234.44953619000222,2378.6472265951375,622886.3714735248,6917.6189349046535,31375.015476657372,35627.507717883265
SyntheticControl,25.682947515880034,11.678844219307432,63.896326641951354,522.1266243485472,944.4189586947067,1928.0298139230797,355.17008160437894,3902.724583043863,1341.1162267975988,1182.2325119727132,1392144.1168829217,6472.474780124198,624575.3425233301,1135284.8459286164
ToeSegmentation1,11.714810353104115,10.834173265405514,70.18280010230491,182.03359089404037,1668.2566265231192,1863.136540755787,173.39822704515254,2320.174342008913,558.3034048160812,2719.12548939092,656472.1132705058,8402.334428389782,26775.898459568016,46732.921265140554
ToeSegmentation2,8.993995442682218,11.003708883617483,65.40253251102031,148.92451980294982,2491.302384390848,668.7537125554638,283.01180848635863,2955.936183585931,738.0589040581461,4055.2993971895294,669145.056258431,10642.401738929326,41831.65064383842,55141.656471736125
Trace,36.04054230523137,6.51867344237122,177.56094046824535,392.72812140849874,2003.7418659445723,1010.4944353787479,718.5128423648806,4357.541685762563,5832.7121684212825,2993.549986478847,874296.3012980486,8449.836415788825,202310.76677181062,387646.0137464447
TwoLeadECG,5.5256975426938935,80.9443969790303,78.2023579597394,69.88097223422757,11.035791370473717,368.4053797761693,246.52872357396967,1672.1180755049133,211.5165000993969,174.85343933923664,707118.8988352536,693.7198865644685,8139.725506204088,15780.016106005554
TwoPatterns,51.74416508834262,42.85935298077929,164.63767651215025,17165.50601564727,5001.808274010765,15298.95243050856,71475.49091638796,12730.654450115033,64152.370122608045,16262.435991287952,3828808.470942703,75635.1961896205,1935794.095477803,3689427.3462016513
UMD,8.027324027001947,12.122032756964467,172.6698389294651,90.75454376542865,524.1969909629943,1167.4512449567699,161.89615005309147,1725.7554400112654,278.76162497012405,676.9056716153609,737919.2406048581,2769.6374402928454,27666.0152169207,42962.08299801425
UWaveGestureLibraryAll,696.7781858166092,54.89798271108992,628.3593017238344,105076.25927942534,761484.6831613028,38835.43313035869,1228942.9035802505,99139.97557480996,2413737.447119803,674340.663193161,2955929.8718113145,1.0011806037570508E7,1778254.9814884071,3389265.739869444
UWaveGestureLibraryX,278.82380420814764,35.17119053541067,275.99082803259915,63110.42961329857,355775.4342957969,13335.438914460423,168654.48902188955,40914.32618391945,249509.49079926324,116386.58809829222,3450220.8481464577,518154.8567684409,1486504.8072305925,2799762.2412241115
UWaveGestureLibraryY,240.2966102955683,24.758697531337866,249.68296750625356,65648.23756719985,4349096.7424445525,30786.63194948594,232189.5991253812,41862.97704714772,366427.19429139624,109188.02135880126,3448322.87144914,335692.14102015144,1315400.3673964185,2540892.2535934616
UWaveGestureLibraryZ,249.22455599387638,26.68429733266235,313.92530154380006,42809.46642402147,1176348.296324897,15079.49392021663,131017.26293561292,50148.802708557225,356822.19396529766,94531.68775694707,3612487.049004856,419376.20190704556,1831794.6334258188,3511980.8136441885
Wafer,128.9494643952277,52.43084114763253,155.02077564552013,44550.383967059155,5428.169922679514,6459.7575475890535,36340.02751401733,10167.600847661944,141121.3603808133,21238.583749419875,4220911.00267767,107125.23407470412,2487740.274651041,3371231.5430052327
Wine,10.78872335932931,6.993017864311139,106.52531055953168,222.4526283057583,966.0510200661544,2466.126369281179,256.44832500961286,1912.8943849631296,1043.7766043196389,3123.603967229668,757066.082874676,7446.814193816707,67006.88845815836,127890.16609487993
WordSynonyms,48.209266052630724,6.767824486189196,234.13491647293074,1850.0379989848275,17024.897292245205,25679.0612503687,3796.519836876724,8656.158580523825,38959.50049626457,46018.8457046601,1723750.4549525941,155309.62080163154,262324.3106113758,505910.04793390975
Worms,115.05101816850295,6.310819026212777,412.96413766206064,16389.642100677007,81356.51964131698,10245.00447803143,48844.05572252221,3990.3521077448377,172660.98388869013,178125.33272143005,1294669.1828574,352558.63383010495,265864.3777370629,508912.1699147971
WormsTwoClass,57.347539004608194,7.902349425125522,312.7556857225326,4292.686279010386,31232.93193172055,11310.615077659553,29879.636966761893,9114.783204514819,164860.27142937726,101414.15536050352,1336421.0400237693,286267.57150601264,273584.1424885866,512108.3067036525
Yoga,102.07391957533159,20.712731383844826,184.02878785474385,4248.237299317409,8613.438357216968,9929.93242027874,41229.67406455932,8482.53286544526,109516.26188680257,42138.317531332934,1856245.0855043142,114639.10020188574,857361.2683078587,1620414.9526735567
