TRAINTrainTimesRANKS,ROCKET,ResNet,Catch22,cBOSS,WEASEL,TSF,BOSS,RISE,S-BOSS,ProximityForest,InceptionTime,TS-CHIEF,STC,HIVE-COTE v1.0
Earthquakes,2.0,1.0,3.0,4.0,6.0,5.0,8.0,7.0,11.0,10.0,9.0,13.0,12.0,14.0
ECG200,1.0,2.0,3.0,5.0,4.0,10.0,6.0,9.0,7.0,8.0,12.0,11.0,13.0,14.0
ECG5000,1.0,3.0,2.0,4.0,5.0,6.0,7.0,8.0,10.0,9.0,12.0,11.0,13.0,14.0
ECGFiveDays,1.0,9.0,2.0,4.0,3.0,7.0,5.0,10.0,6.0,8.0,14.0,11.0,12.0,13.0
ElectricDevices,3.0,1.0,2.0,7.0,14.0,5.0,9.0,6.0,12.0,4.0,8.0,10.0,11.0,13.0
EOGHorizontalSignal,3.0,1.0,2.0,4.0,7.0,5.0,9.0,6.0,12.0,13.0,8.0,14.0,10.0,11.0
EOGVerticalSignal,3.0,1.0,2.0,4.0,7.0,5.0,9.0,6.0,12.0,13.0,8.0,14.0,10.0,11.0
EthanolLevel,3.0,1.0,2.0,4.0,6.0,5.0,10.0,7.0,13.0,12.0,9.0,14.0,8.0,11.0
FaceAll,1.0,2.0,3.0,4.0,5.0,7.0,6.0,8.0,10.0,9.0,11.0,12.0,13.0,14.0
FaceFour,1.0,2.0,3.0,4.0,5.0,8.0,6.0,9.0,7.0,10.0,12.0,11.0,13.0,14.0
FacesUCR,1.0,2.0,3.0,4.0,6.0,9.0,5.0,8.0,7.0,10.0,11.0,12.0,13.0,14.0
FiftyWords,2.0,1.0,3.0,4.0,7.0,8.0,5.0,6.0,9.0,11.0,10.0,13.0,12.0,14.0
Fish,2.0,1.0,3.0,4.0,8.0,5.0,7.0,6.0,9.0,10.0,11.0,12.0,13.0,14.0
FordA,3.0,1.0,2.0,6.0,7.0,4.0,12.0,5.0,14.0,10.0,8.0,13.0,9.0,11.0
FreezerRegularTrain,1.0,3.0,2.0,4.0,6.0,5.0,8.0,7.0,10.0,9.0,12.0,11.0,13.0,14.0
FreezerSmallTrain,1.0,9.0,2.0,3.0,4.0,6.0,5.0,7.0,8.0,10.0,12.0,11.0,13.0,14.0
GunPoint,1.0,2.0,3.0,5.0,4.0,8.0,6.0,10.0,7.0,9.0,12.0,11.0,13.0,14.0
GunPointAgeSpan,2.0,1.0,3.0,5.0,4.0,7.0,6.0,8.0,10.0,9.0,12.0,11.0,13.0,14.0
GunPointMaleVersusFemale,2.0,1.0,3.0,5.0,4.0,7.0,6.0,9.0,10.0,8.0,12.0,11.0,13.0,14.0
GunPointOldVersusYoung,2.0,1.0,3.0,4.0,5.0,8.0,7.0,9.0,10.0,6.0,12.0,11.0,13.0,14.0
Ham,2.0,1.0,3.0,4.0,5.0,6.0,8.0,7.0,9.0,10.0,11.0,12.0,13.0,14.0
Haptics,2.0,1.0,3.0,4.0,6.0,5.0,8.0,7.0,10.0,11.0,9.0,14.0,12.0,13.0
Herring,2.0,1.0,3.0,4.0,5.0,6.0,8.0,7.0,9.0,10.0,11.0,12.0,13.0,14.0
HouseTwenty,2.0,1.0,3.0,4.0,7.0,5.0,8.0,6.0,9.0,11.0,10.0,14.0,12.0,13.0
InlineSkate,3.0,1.0,2.0,4.0,7.0,5.0,8.0,6.0,10.0,13.0,9.0,14.0,11.0,12.0
InsectEPGRegularTrain,2.0,1.0,3.0,4.0,8.0,5.0,7.0,6.0,10.0,9.0,11.0,12.0,13.0,14.0
InsectEPGSmallTrain,1.0,3.0,2.0,4.0,9.0,6.0,5.0,7.0,8.0,10.0,12.0,11.0,13.0,14.0
InsectWingbeatSound,1.0,2.0,3.0,4.0,8.0,7.0,5.0,6.0,9.0,10.0,11.0,12.0,13.0,14.0
ItalyPowerDemand,1.0,8.0,4.0,3.0,2.0,9.0,6.0,10.0,7.0,5.0,14.0,11.0,12.0,13.0
LargeKitchenAppliances,3.0,1.0,2.0,4.0,7.0,5.0,8.0,6.0,12.0,10.0,9.0,14.0,11.0,13.0
Lightning2,2.0,1.0,3.0,4.0,5.0,6.0,8.0,7.0,9.0,10.0,11.0,12.0,13.0,14.0
Lightning7,2.0,1.0,3.0,4.0,6.0,8.0,5.0,7.0,9.0,10.0,11.0,12.0,13.0,14.0
Mallat,2.0,3.0,1.0,4.0,8.0,5.0,7.0,6.0,9.0,11.0,10.0,12.0,13.0,14.0
Meat,2.0,1.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0
MedicalImages,2.0,1.0,3.0,4.0,5.0,10.0,6.0,8.0,9.0,7.0,12.0,11.0,13.0,14.0
MiddlePhalanxOutlineAgeGroup,2.0,1.0,3.0,5.0,4.0,9.0,6.0,8.0,10.0,7.0,12.0,11.0,13.0,14.0
MiddlePhalanxOutlineCorrect,2.0,1.0,3.0,5.0,4.0,8.0,6.0,9.0,10.0,7.0,12.0,11.0,13.0,14.0
MiddlePhalanxTW,2.0,1.0,3.0,5.0,4.0,10.0,6.0,8.0,9.0,7.0,12.0,11.0,13.0,14.0
MixedShapesRegularTrain,3.0,1.0,2.0,4.0,7.0,5.0,9.0,6.0,13.0,11.0,8.0,14.0,10.0,12.0
MixedShapesSmallTrain,2.0,3.0,1.0,4.0,7.0,5.0,8.0,6.0,9.0,11.0,10.0,14.0,12.0,13.0
MoteStrain,1.0,8.0,3.0,4.0,2.0,9.0,5.0,10.0,6.0,7.0,14.0,11.0,12.0,13.0
OliveOil,2.0,1.0,3.0,4.0,7.0,6.0,5.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0
OSULeaf,2.0,1.0,3.0,4.0,7.0,5.0,8.0,6.0,9.0,10.0,11.0,12.0,13.0,14.0
PhalangesOutlinesCorrect,2.0,1.0,3.0,5.0,4.0,7.0,9.0,8.0,10.0,6.0,12.0,11.0,13.0,14.0
Phoneme,2.0,1.0,3.0,4.0,9.0,6.0,7.0,5.0,11.0,13.0,8.0,14.0,10.0,12.0
PigAirwayPressure,2.0,1.0,3.0,4.0,9.0,7.0,5.0,6.0,10.0,13.0,8.0,14.0,11.0,12.0
PigArtPressure,2.0,1.0,3.0,4.0,9.0,7.0,5.0,6.0,10.0,13.0,8.0,14.0,11.0,12.0
PigCVP,2.0,1.0,3.0,4.0,9.0,7.0,6.0,5.0,10.0,13.0,8.0,14.0,11.0,12.0
Plane,1.0,2.0,3.0,4.0,6.0,7.0,5.0,9.0,8.0,10.0,12.0,11.0,13.0,14.0
PowerCons,1.0,2.0,3.0,5.0,4.0,6.0,7.0,8.0,10.0,9.0,12.0,11.0,13.0,14.0
ProximalPhalanxOutlineAgeGroup,1.0,2.0,3.0,5.0,4.0,9.0,6.0,8.0,10.0,7.0,12.0,11.0,13.0,14.0
