folds:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
ACSF1,267068.904637,280869.175241,285149.49432,287568.569702,278722.907334,283507.507725,285274.553333,277036.904507,275301.305653,281744.461616,282384.052785,290703.733553,292234.767584,272587.256437,288063.592776,281100.572259,276367.63212,286721.168477,275029.561742,287289.583864,278678.615312,284156.484136,284131.204928,288317.13645,287330.498043,292013.246689,270524.73498,289258.600653,300491.292412,295518.503837
Adiac,732545.344268,739857.785408,711353.654281,731742.311507,717572.608715,751739.475957,739866.626249,739734.30318,729142.935292,733631.159433,712715.380943,731763.830551,721783.90769,746653.574273,761511.871699,807793.577628,807797.432628,792902.174255,784521.746688,702665.438404,723304.548221,765821.992516,759829.665726,710927.82431,725004.809194,731831.499316,734989.439322,699501.285657,713354.238028,718648.652313
ArrowHead,15043.846188,13838.8139,18498.355478,16670.278939,19372.491102,19987.832359,18331.035484,21494.726808,18288.200506,20496.974261,19008.240108,20520.601556,16818.20641,20569.091056,21669.19157,22148.969406,18078.678866,19371.41834,19768.30962,16329.432384,16584.265142,15908.542725,15171.247535,15536.01213,16036.097379,15922.146976,16411.615738,15048.570078,15378.111444,20392.386751
Beef,35659.046138,33927.557474,35372.480455,35658.269691,37266.858181,34092.69439,34471.136181,35058.489194,36456.609861,34881.163861,34502.737983,32192.450769,35495.044298,34721.34363,38279.545531,39160.37978,40403.408928,36901.940109,33371.700974,40988.77741,38070.662654,37185.898856,36392.290266,40331.566649,38929.876911,38267.913087,39723.676716,38630.921486,39647.213296,28297.745473
BeetleFly,11895.568856,12498.497718,11956.446426,12535.192116,11692.655763,11619.414546,11835.632749,11968.333321,10871.073924,11361.511501,12211.710992,12352.128424,15355.361327,15893.054566,16593.280934,16552.761634,17383.475794,15447.185173,16365.332205,17049.817285,16146.263358,16297.242069,14726.86435,15377.601587,14129.026729,12862.775103,12122.426049,11229.374991,10639.951054,13004.852477
BirdChicken,13382.959804,10802.798234,12458.717021,11818.663204,13139.376888,12007.950191,12881.697488,11822.154605,11646.033256,11336.822211,12292.572709,11548.534194,13501.200878,12739.030507,12035.990252,12095.217377,12692.716612,11842.39629,12752.448994,11898.492252,11434.915107,12293.075423,12499.177494,11821.826876,11935.225233,11728.517959,11807.431251,12753.371647,13543.420131,15111.821317
BME,10421.808779,10489.600901,10009.916304,10139.739371,11028.074923,9954.022511,11003.940341,10563.78369,10810.918846,9590.807864,9884.448685,9967.042913,9289.522973,11545.030679,12764.283222,11035.463995,11315.217372,10434.495125,11424.05598,12280.820816,11319.243532,12796.856791,12643.877706,11674.194277,12929.259173,12531.688526,11164.975624,8490.468217,8281.523276,8356.659187
Car,50312.593306,48766.566955,54878.137201,53104.378149,49317.668314,51230.668358,50077.099284,56089.276633,52582.296894,54025.541331,51580.490301,51364.869748,50617.870585,53152.121625,50596.786453,52115.45773,51721.35342,52457.712368,46538.39269,50925.736091,48937.874329,49662.779706,54771.456141,52716.214209,52820.070827,54097.496353,51718.165959,63936.056102,59288.898761,55946.737594
CBF,9057.106341,9110.768386,8575.111861,7748.765187,9302.67267,7019.451555,8021.476723,7947.045268,7603.776057,7248.49496,7566.837166,7031.649134,7937.609217,8271.842772,7865.763536,8247.625161,7600.494743,7738.786856,7597.708061,6355.521994,7905.886648,7537.084265,7795.307598,7334.087642,7453.176655,6970.311981,7752.671616,7153.886095,7970.666751,7200.970481
Chinatown,2539.935449,2702.739837,2930.39147,2844.21674,2381.084528,2321.33251,2318.006959,2409.429948,1974.038305,1912.324803,2403.119598,2184.65942,2035.574486,2362.302274,2167.787458,2475.526162,2474.116565,2116.543585,2719.784245,2114.055923,2289.42071,2549.444918,1898.964956,2072.939376,1919.939528,2387.468985,2234.463263,2058.560838,2425.627602,1800.755831
ChlorineConcentration,272868.771631,290945.577562,294545.597825,290008.092272,302696.232114,285981.384349,295287.72446,295661.562111,305452.994351,260610.261535,289201.054156,291412.018993,290207.602413,288103.717253,346619.719646,339969.701808,326652.592738,345467.181734,340805.56689,334346.483526,323439.790939,315866.128479,319315.328179,345939.854942,355111.556533,325786.915972,312167.971765,322322.012615,300773.287053,293374.534943
CinCECGTorso,63542.672553,60834.173019,61519.605289,60658.307387,62392.496963,63994.563015,60622.358052,61709.974571,63147.09595,61483.27809,67105.84015,63841.727202,66468.612856,63114.413954,67432.41037,66854.726153,121716.679368,113506.805027,110169.262021,109782.335678,106675.626248,102491.814892,102635.941198,112352.661976,109058.618209,101665.031375,119358.154399,121661.57939,108259.417055,112422.895929
Coffee,7607.65312,7485.243497,8744.456737,8964.599881,10121.716569,9176.403327,9230.045566,8317.5866,7501.156019,7121.775283,7352.983905,7372.851413,7314.264679,7614.912613,7707.254784,8278.130238,7796.869723,6997.34056,7213.376905,6605.362034,6958.848979,7303.128706,7235.924893,7402.949869,7861.727734,7346.953597,8099.975028,7725.398361,7275.763027,7592.806757
Computers,253449.495413,267587.248172,279731.230449,268336.254262,274174.858034,275336.648808,256934.54876,270036.204034,272645.290278,274672.178356,261550.426481,255000.868214,286787.653936,277040.987676,271020.475975,275734.926416,274994.073616,310342.337612,317119.8389,297933.348804,310239.624039,299339.623687,290115.155493,316980.992551,298381.997809,295139.067907,310857.773164,328035.237888,305466.917479,257894.435886
CricketX,411738.011997,428624.037255,413703.09444,437657.631177,427499.893131,428982.368193,431444.619899,431834.987704,432727.702957,447365.820411,454854.048238,447931.759966,454702.377991,442327.862917,439552.632247,446495.971607,410167.193015,429529.031254,418824.183654,443762.675076,427232.628235,425722.946409,428626.112969,433271.395637,432194.456747,428767.873557,432243.852399,435982.65222,438284.698579,434099.703867
CricketY,429472.397361,466807.216179,462693.671287,461640.163897,445493.869065,443321.733651,450041.85824,468530.548018,426023.647847,421542.875049,423947.250847,414645.921899,420051.822275,418670.990141,427172.678711,449662.893509,454480.746008,457195.11482,457899.200618,453060.568517,449918.741461,464042.333658,450781.311367,461332.647994,453394.182991,461087.598641,410001.027336,404076.296024,425363.24962,416930.189911
CricketZ,450589.547618,459467.081575,464277.72352,459092.960939,469548.759677,458134.66684,459921.207121,466917.852773,440683.413485,420778.635493,432603.692607,437209.54619,431845.954281,434157.111963,428957.441577,424148.235241,436361.674747,441805.449472,433793.453684,438542.133618,437233.105298,440697.953853,433248.166605,410355.211664,416922.278726,423885.548945,427734.082724,418499.107165,422036.078306,430328.405794
Crop,4184100.787496,4164623.715894,4166652.648837,4195666.400471,4217932.188914,4171331.292829,4222199.032077,4066115.912994,4088414.766896,4146665.498417,4103509.803012,4112173.697995,4137413.206266,4100750.303498,4124315.915523,4134485.961223,4011908.42329,4025826.901363,3963708.672116,4011131.758991,4024650.994022,3990509.174851,4019082.663003,4016935.576259,3993950.994582,4015219.666174,3992366.121045,3966819.904183,4049812.516416,3939001.269077
DiatomSizeReduction,11197.492659,10045.651072,9814.395104,9853.329818,10123.617375,10093.091002,10067.051294,9964.096323,10015.629304,10027.288705,9706.455623,9872.237501,10154.934983,9743.897006,10073.31215,9628.977413,9619.806754,10116.481577,10230.680957,10184.901891,10241.666142,10068.147243,10176.04699,10036.109659,10092.6843,10162.570243,10701.072859,11231.313988,11309.202378,11319.331604
DistalPhalanxOutlineAgeGroup,75540.110379,81572.665758,82522.943536,85648.411585,77252.974398,78052.930155,81081.83245,82872.154043,74630.823117,79376.731438,78979.43021,82162.64251,80641.762822,79167.857572,83747.828443,81852.573592,78950.885326,77723.98207,76332.777068,84954.347479,82258.631187,85441.53441,80004.504179,85211.264203,78826.5927,83109.117638,81287.48789,84911.468733,89612.764449,90886.727993
DistalPhalanxOutlineCorrect,158713.86262,161072.570592,172235.131896,165914.543762,164329.691089,172039.097162,168112.211431,162994.187911,171298.056425,163999.982785,163865.085849,163992.850749,162976.475028,167357.789293,160071.741002,161250.872741,164189.010412,146580.349352,158264.22689,150554.411319,154523.996593,157461.169319,152689.815946,159716.573265,160481.977196,156846.227314,155523.580523,158264.36142,158557.022047,158822.751145
DistalPhalanxTW,94678.097588,95841.661993,99472.166276,100249.455944,98576.961768,96201.8665,101692.641959,96895.260565,100427.493407,96484.55555,94625.399439,98594.611664,100671.816398,95702.38569,98637.708982,96445.556278,98309.68993,90983.301975,94966.1395,96228.552165,94886.676291,98104.05742,99486.185759,93373.634692,94654.076067,104507.650913,97730.830067,109964.248797,105402.364216,97469.868149
Earthquakes,241130.26019,236254.432041,233561.881455,235144.934808,240339.512379,231315.654884,237406.075148,215767.192547,227664.258078,232907.828369,233365.081299,221543.622696,223091.283276,228862.060787,228119.590738,219640.67245,206784.662711,212632.180552,212058.824731,216725.421969,219526.046207,221967.760567,219534.011094,215974.075485,214385.416413,224681.062553,215462.608441,219207.493912,226061.485522,211413.168277
ECG200,16692.299556,15002.250946,20902.29328,18454.923483,22141.210492,21105.545129,18315.13156,20164.166145,20264.319153,20698.3532,18709.981696,17119.730214,17385.967531,19775.287435,18124.799039,17726.532751,17010.437018,17272.598912,18665.416026,15295.544218,15583.457583,18328.400473,17617.054019,18558.628204,15551.382046,18153.619498,17456.004642,17600.637926,15330.765469,17277.551478
ECG5000,101931.322705,111383.546985,106056.103788,106551.212005,111512.767881,103689.331014,107134.653547,107119.914851,109903.806604,103337.637417,118242.208526,100785.113926,119497.698535,129783.477153,120236.629599,111975.202574,113411.085092,115601.847522,119531.730533,122337.015095,103017.47183,97122.152919,105390.76552,107669.088161,102985.367588,106644.241026,114471.507399,133405.691663,122572.230549,126405.625705
