folds:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
ACSF1,533704.928282,542359.894598,536071.554963,533335.507047,536974.349399,535022.111191,537596.159017,536472.806812,526019.167492,503787.096527,520988.20178,522189.673249,521105.231891,518422.507497,524362.876923,515664.051639,511283.806766,504460.245607,546643.437048,532321.453499,521695.962892,523033.019629,545374.521904,526069.361583,545577.381944,523151.522605,496908.357824,517237.490805,514705.128467,504018.091555
Adiac,94212.947818,93996.782438,95763.221754,100387.346705,94093.587741,93384.38363,93738.331177,95142.182565,93610.872609,95773.338675,94987.750073,92549.589577,96492.385246,96856.953391,96725.272999,95739.536188,97437.363853,92882.059576,91479.827915,93045.612464,95552.715667,101195.061283,96652.608782,93800.521468,92655.996589,97649.005633,93603.695979,100221.322598,92731.266622,95051.549091
ArrowHead,6218.510337,6066.601243,5826.293848,5819.523515,6330.775554,6094.00495,6068.098235,6236.572549,6150.343555,6074.791825,6035.32227,6045.93667,6084.331612,6254.39305,6213.209471,6348.051812,6130.517502,6204.66243,6083.204925,6048.398338,6134.544136,6117.895324,6150.793264,6167.880523,6279.564812,6154.768526,6219.819349,6133.246518,6129.28591,6033.708061
Beef,15563.301803,15180.71693,15106.444263,15116.941023,15362.13461,15156.121479,15195.224506,15191.165866,15219.203668,15306.287471,15059.62082,15216.123208,15450.647255,14972.149914,15245.010489,15090.21374,15256.102217,15269.714271,15260.736098,15272.857791,15105.741795,15299.358003,15258.452298,15257.340127,15087.679223,15287.07554,15702.738293,15194.02639,15489.862166,15324.7973
BeetleFly,11316.212828,10931.266627,11185.59754,11058.897315,11036.507283,11334.415991,11141.951109,11205.945111,11183.133737,11159.972938,11135.80273,11327.443735,11194.488166,11037.047865,11159.772544,11116.41099,11125.998355,11008.499688,11032.712862,10924.922512,11160.337123,11191.320961,11176.40943,11004.699426,11164.036914,11183.936784,11227.587706,11103.4439,11202.46902,10959.275275
BirdChicken,10597.925353,10545.401156,10400.488137,10598.412658,10538.985561,10362.935763,10556.550987,10587.266186,10553.643158,10407.181601,10428.300852,10354.970966,10288.191825,10327.749109,10466.459504,10622.903925,10652.277498,10501.423579,10557.15421,10452.634658,10710.046467,10452.619027,10311.720808,10352.764831,10523.174171,10515.905752,10673.960629,10637.576319,10240.461606,10451.551805
BME,1392.431174,1409.663502,1392.752843,1611.409786,1719.223521,1841.857369,1625.359825,1703.911647,1755.183078,1661.733567,1588.362483,1678.584407,1775.930911,1594.423818,1623.911815,1707.416137,1658.19827,1638.40051,1356.072493,1403.07763,1657.083882,1836.017043,1545.825902,1746.204124,1572.056375,1555.570068,1693.193473,1477.234033,1499.064696,1444.318408
Car,54190.37631,55285.725753,54376.993758,55078.103286,54887.816841,55245.449344,54191.955681,54703.548147,54684.527386,55499.168527,53698.840968,55157.611015,54234.978871,55167.189064,55414.140566,55147.468633,54993.992928,54696.794671,55609.984697,55680.063506,54151.250239,54723.496321,54781.956986,54628.523628,55227.980232,54590.687509,54348.199443,54562.77275,54394.231392,55293.227121
CBF,1699.991833,1778.870242,1682.8104,1725.763427,1772.932525,1757.711195,1685.041319,1651.769311,1954.064457,1691.104128,1932.041554,1873.277832,1881.267016,1695.91103,1960.855553,1755.538114,1803.261408,1807.724562,2011.625768,1765.671777,1798.040589,1810.987864,1651.73404,1662.048479,1692.325439,1751.773113,1818.002323,1687.882817,1724.679591,1764.976047
Chinatown,244.992643,244.600979,314.89659,217.7129,245.005114,202.208209,213.767191,180.219176,185.53937,219.540824,183.256624,224.260827,232.764889,181.623001,164.263816,250.855226,257.037432,283.980755,260.49614,196.23279,266.592922,122.253484,233.956906,322.692359,202.9029,183.125017,266.700244,236.015279,285.581987,235.654426
ChlorineConcentration,158588.835348,167850.621108,159371.612564,158802.003674,167494.7166,166716.412715,160465.808625,168791.187738,162712.339695,156467.098438,153749.331877,163960.70951,166055.656461,172473.905864,157527.511618,161829.614974,164403.187722,163305.903939,155111.9652,169850.795423,168684.521059,174724.190468,176041.530895,164665.633308,160384.406293,153420.2832,170030.583306,153900.922216,166955.334375,165669.53172
CinCECGTorso,214408.700869,218066.096753,217867.828995,216734.295353,217638.006643,214227.629215,217314.55664,216658.769221,216950.671704,214550.534536,213189.628289,212452.421944,215945.297331,213992.186343,215915.762923,215969.013459,213172.899337,214804.42091,210633.562414,216636.8678,214757.129276,215274.69055,216530.153844,216740.33803,216048.426554,215077.525637,217208.260147,215885.191171,217733.19578,213941.172457
Coffee,6100.457093,5922.163745,5980.622444,5903.068531,6060.096359,6005.531155,5737.190161,5779.135281,5932.060264,5770.382171,5834.478884,5908.537447,5942.714789,5934.262088,5914.319464,5837.099112,5666.137611,5766.73706,5817.369297,5894.154007,5917.15225,5802.798327,5849.310939,5699.925698,5888.133454,5889.391506,5964.684967,5648.309471,6098.632941,5939.353928
