folds:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
ACSF1,1910324.611226,1902562.055023,1930156.0079,1876926.581518,1845252.448985,1919262.556698,1871514.382845,1851097.718068,1839452.495104,1843029.986793,1894717.161053,1996721.398179,1899476.379113,1766000.438088,1794532.043295,1926653.522989,1835900.025606,1766073.309977,1821764.844455,1980289.321272,1792837.439778,1729444.612974,1887205.024957,1774735.821973,1709978.556303,2056124.095974,1606930.161568,1911880.133639,1699776.884726,1750547.716545
Adiac,604032.569379,571096.114039,571184.514276,568125.500251,582336.758016,570446.707981,568576.819086,586317.310324,583697.71584,582319.430442,584915.109316,567935.081904,554162.211216,580998.450045,571580.065424,592895.838025,571697.442702,553453.9537,582566.397411,596654.200504,597614.181885,595451.435099,579062.429612,601745.045117,591741.228148,578936.768069,596640.49193,571498.248446,578866.989206,584406.846633
ArrowHead,11924.645355,11983.967156,12097.852809,12478.664018,11471.641714,12020.89164,11598.689113,11883.609206,11856.325571,12216.866822,12088.619203,11977.612206,11623.281555,11963.230409,12248.289596,12687.571753,12248.905151,11671.324634,11477.963826,11968.87743,11625.555323,11942.062957,11664.048476,11846.515428,12220.935744,11935.424658,11813.343382,11904.966859,12160.194003,12265.522007
Beef,30556.509524,31818.781235,30064.918357,30592.934185,31464.586,32336.549911,31704.294283,30807.135968,31068.940757,30455.906446,31621.823089,30643.510259,30326.319483,32492.4323,30933.959932,32467.984824,31883.120264,32910.797125,30071.613126,30716.071896,31885.519869,31367.596233,32511.496482,31525.330141,31429.150272,30639.263113,31042.677007,29823.650034,30567.489489,30514.667643
BeetleFly,18485.613413,18436.138975,18470.053719,18306.750862,18564.940648,18274.592404,18454.455688,18252.324917,18475.195272,18873.263157,18437.206818,18654.129797,18156.895499,18688.179038,18276.236102,18297.573468,18299.072221,18508.80375,18041.566115,18599.839196,18164.802501,18275.052411,18523.87392,18143.440824,18265.930522,18448.583856,18267.615534,18476.138272,18608.03811,18325.385218
BirdChicken,16928.383173,16492.389975,16833.069519,17419.954037,17070.940408,17338.876942,17324.541174,16535.574344,16788.672579,17050.727649,16661.783971,16931.152792,17248.984206,16500.369062,16584.395651,16901.541279,16901.781221,16564.22006,16657.528635,17062.371396,16432.165627,17148.49224,16824.872841,16626.334673,17191.540253,16915.736029,16630.237812,16663.571678,17060.997985,17106.629886
BME,2697.542598,2734.632964,2714.590065,2737.406442,2783.283817,2663.067239,2693.543289,2725.763041,2813.678472,2886.531252,2792.080462,2740.007294,2770.564631,2774.761522,2752.609464,2789.477861,2761.301626,2701.217423,2714.716754,2714.666158,2740.921452,2783.869801,2754.094046,2773.614922,2725.561566,2696.662149,2725.759854,2710.140596,2724.021356,2750.683347
Car,134146.972866,127271.233191,125159.805847,133220.470755,124104.915384,124129.833959,119022.166178,122305.74921,124800.576217,125013.174012,124192.708808,129332.026194,119564.44547,129556.650013,125129.739495,125098.210752,118988.552751,127049.758876,126949.609403,129728.85679,132829.712375,127646.803095,131714.155928,129062.530287,128912.2396,129886.11036,125848.52152,128000.745296,128369.202027,129321.183717
CBF,2993.029027,3015.831954,3143.821328,3094.772876,3107.775199,3022.01341,2931.590423,3119.802131,2862.70868,3061.758553,3013.547421,2998.421397,2903.819553,3111.939777,2864.068392,3087.76464,3077.266888,2995.945514,2921.641743,2967.555939,3091.471821,3107.52864,3070.228656,3019.691365,3160.756463,3088.558846,2932.117889,3011.708397,3108.117408,3016.500534
Chinatown,220.24423,204.37626,184.511992,188.407957,211.514845,197.207077,159.66852599999999,199.020569,175.863618,196.015663,173.624132,168.652409,203.834368,177.805292,147.160548,196.8883,193.191804,167.493686,215.957468,154.52169,214.987155,184.130955,188.419473,198.982343,175.690605,166.69752,190.633015,175.028575,200.923909,159.535182
