BOSS,Catch22,cBOSS,HIVE-COTE v1.0,InceptionTime,ProximityForest,ResNet,RISE,ROCKET,S-BOSS,STC,TS-CHIEF,TSF,WEASEL
533704.928282,2081.52472,42904.467325,6422395.181105,1537929.0,5952306.991311,1410.0,292110.72273,2703.0,1910324.611226,4503278.415199,4.0791314157717E7,267068.904637,2235155.998929
542359.894598,2039.450096,43467.559917,6264369.922586,1558767.0,5649100.961932,1411.0,289110.814028,2376.0,1902562.055023,4413403.984434,1.7763167394318E7,280869.175241,2585776.467332
536071.554963,2175.469173,44501.18378,6686805.506112,1542736.0,5595552.589006,1404.0,289030.095616,2334.0,1930156.0079,4640746.751997,1.769773531193E7,285149.49432,2151766.184309
533335.507047,2299.360635,44572.537391,6839158.303953,1772359.0,5834217.542937,1402.0,294414.249706,2334.0,1876926.581518,4715706.64196,1.7535310673295E7,287568.569702,2189043.92277
536974.349399,2360.861538,41854.659475,6633230.790173,1565971.0,5804709.067635,1394.0,286963.11741,2323.0,1845252.448985,4617546.354713,1.724362775422E7,278722.907334,2777571.914635
535022.111191,2568.242336,43254.40162,6798880.690375,1765195.0,5721099.929154,1409.0,296735.667533,2333.0,1919262.556698,4677938.097479,4.0578320706017E7,283507.507725,1982322.041655
537596.159017,2580.373543,42629.261588,6749149.491587,1542011.0,6142189.401907,1404.0,284272.578622,2332.0,1871514.382845,4672237.702245,1.724257366359E7,285274.553333,2773233.015563
536472.806812,2169.016332,44674.231712,6725594.452625,1766469.0,4129816.065968,1410.0,290167.682379,2427.0,1851097.718068,4656839.263812,1.6968800367137E7,277036.904507,1972715.109019
526019.167492,2647.458385,43360.927208,6473650.797496,1547940.0,4195864.787135,1417.0,283613.786416,2326.0,1839452.495104,4531743.59738,1.6977925736696E7,275301.305653,2301938.66129
503787.096527,2281.175754,43704.737661,6816888.633771,1766665.0,4141443.65407,1403.0,285139.187528,2662.0,1843029.986793,4706522.62909,1.7120427245745E7,281744.461616,2029645.647596
520988.20178,2412.158505,45886.975606,6894388.476551,1550269.0,5078494.750241,1419.0,285188.138011,2343.0,1894717.161053,4747976.428215,1.6325351041496E7,282384.052785,2437048.796727
522189.673249,2025.641054,45037.770263,6335161.967449,1768026.0,4713176.383781,1409.0,288998.548077,2325.0,1996721.398179,4449917.304623,1.8344869752679E7,290703.733553,2181069.827193
521105.231891,2164.268285,45820.041811,6430418.912214,1580625.0,5099572.246923,1407.0,293176.949227,2409.0,1899476.379113,4488944.961352,1.8322679959487E7,292234.767584,2463367.132493
518422.507497,1979.191906,44827.48652,6701235.740336,1560592.0,4461243.858298,1405.0,288089.789529,2319.0,1766000.438088,4670186.583818,1.7675676063685E7,272587.256437,2089712.875533
524362.876923,2148.615422,44051.736161,6606873.498398,1562903.0,4889102.827441,1409.0,297902.026575,2334.0,1794532.043295,4580397.121481,1.7094208193839E7,288063.592776,2515528.712287
515664.051639,2088.287012,40971.403397,6564649.392861,1535816.0,4292843.325722,1409.0,265725.187347,2335.0,1926653.522989,4593130.761178,1.7854745699452E7,281100.572259,2214134.428931
511283.806766,2217.384398,46495.685261,6686627.141933,1531448.0,4265803.315554,1401.0,268720.527451,2363.0,1835900.025606,4662325.797591,1.785069844949E7,276367.63212,2576365.147065
504460.245607,2397.695245,44614.930155,6563748.01034,1762951.0,4193667.589093,1406.0,265033.891836,2340.0,1766073.309977,4604992.328059,1.7898893624776E7,286721.168477,2245555.725606
546643.437048,2124.188902,45731.363498,6629656.885423,1539419.0,4519714.947411,1407.0,268929.313784,2349.0,1821764.844455,4645133.356923,1.9381657987169E7,275029.561742,2377519.541091
532321.453499,2397.2072,43363.654725,6566881.492533,1532002.0,4565538.11677,1405.0,265756.532914,2382.0,1980289.321272,4592626.711689,1.656007544304E7,287289.583864,2338424.539269
521695.962892,2421.404526,43860.280633,6479152.548117,1541355.0,4375052.085751,1413.0,266340.691632,2328.0,1792837.439778,4555966.983714,1.7515697512687E7,278678.615312,2144333.603793
523033.019629,2141.583185,45873.469024,6407788.809437,1544379.0,5175212.193641,1409.0,265649.318572,2328.0,1729444.612974,4517135.962108,1.7064514285966E7,284156.484136,2216188.396261
545374.521904,2213.066659,42348.334651,6654006.31416,1539170.0,5049806.831211,1404.0,284040.238579,2324.0,1887205.024957,4629076.740863,1.6336859838461E7,284131.204928,2465571.406564
526069.361583,2303.158697,43187.876715,6543825.835146,1786161.0,5354939.086262,1404.0,285598.423996,2334.0,1774735.821973,4564032.892694,1.7435985431021E7,288317.13645,2617809.87873
545577.381944,2325.219405,46922.324477,6495082.338074,1542544.0,5089626.668191,1410.0,293760.644679,2365.0,1709978.556303,4524596.785694,1.8359187139285E7,287330.498043,2282108.975765
523151.522605,2478.911951,43581.670931,6227382.888257,1544397.0,4978389.026048,1406.0,288576.890552,2350.0,2056124.095974,4384351.904125,1.8147393701612E7,292013.246689,2440935.357134
496908.357824,2583.99456,42574.00243,6179542.195576,1763936.0,5197815.255497,1412.0,296832.210053,2324.0,1606930.161568,4375755.625433,1.6192267739728E7,270524.73498,2014339.688815
517237.490805,2131.255066,43559.443061,6583050.612187,4550418.0,4898324.102425,1408.0,286448.842112,2337.0,1911880.133639,4578787.458961,1.7055379868048E7,289258.600653,2405840.725234
514705.128467,2360.294577,44134.611711,6375190.306229,1760377.0,4773919.149648,1408.0,284701.730126,2734.0,1699776.884726,4469935.86707,1.7731251618507E7,300491.292412,2148944.033965
504018.091555,2591.800959,43283.707052,6707267.205093,4542958.0,4388563.804134,1406.0,287332.466806,2339.0,1750547.716545,4635468.213355,1.637923948355E7,295518.503837,2313233.383824
94212.947818,3149.122428,34516.338756,1.4751059107105E7,1335633.0,971560.701307,1707.0,510347.479428,1299.0,604032.569379,8159402.200713,4340052.816777,732545.344268,648301.510773
93996.782438,3641.502889,34090.655639,1.450584523941E7,1337610.0,985321.680398,1713.0,500597.579425,1261.0,571096.114039,8042733.971589,4414742.456883,739857.785408,529156.707042
95763.221754,3433.383648,33117.653746,1.2732524858692E7,1337236.0,956323.078194,1682.0,489526.77931,1262.0,571184.514276,7142018.800729,4226063.144203,711353.654281,575089.369675
100387.346705,3561.250889,34772.887551,1.3108335081965E7,1482731.0,978068.028924,1709.0,491556.192081,1252.0,568125.500251,7343405.176398,4160364.694907,731742.311507,615565.511714
94093.587741,3522.243917,32765.443078,1.3280294414089E7,1354195.0,979260.639787,1694.0,506340.051287,1253.0,582336.758016,7406153.826758,4187492.768045,717572.608715,599419.277308
93384.38363,3800.752314,33831.978201,1.3280139546777E7,1471239.0,957039.056458,1710.0,499933.167627,1282.0,570446.707981,7391924.693021,4185587.463195,751739.475957,632699.207497
93738.331177,3513.420844,34990.369183,1.3168596178826E7,1323913.0,935768.178637,1703.0,488790.109309,1256.0,568576.819086,7362430.762771,4137236.663866,739866.626249,584272.695135
95142.182565,3073.906167,38048.097805,1.4010883288989E7,1493070.0,1007439.521115,1695.0,473669.93466,1274.0,586317.310324,7811924.688237,4272176.869885,739734.30318,584875.281417
93610.872609,3286.028542,36457.009985,1.4120294504538E7,1329236.0,1068808.020926,1703.0,452732.677844,1258.0,583697.71584,7880577.526601,4076204.087,729142.935292,650448.362651
95773.338675,3192.383199,36991.274811,1.3381206911485E7,1497644.0,1001940.709176,1685.0,482064.594589,1291.0,582319.430442,7490683.219446,4223709.522037,733631.159433,591370.336474
94987.750073,3019.509102,37262.161478,1.4435948851212E7,1320814.0,922159.040429,1693.0,478598.747592,1284.0,584915.109316,8069755.840865,4110742.30488,712715.380943,581516.175733
92549.589577,3089.044743,37543.137016,1.4434649965945E7,1488695.0,1007349.910274,1712.0,475914.393956,1263.0,567935.081904,8054376.782678,4145298.164557,731763.830551,594821.412312
96492.385246,3050.264499,36250.195395,1.3616030406504E7,1339340.0,955195.89034,1692.0,459291.485668,1269.0,554162.211216,7633313.520375,4209264.527988,721783.90769,591609.554838
96856.953391,3013.071388,37470.898726,1.3305246556728E7,1363632.0,994902.14667,1706.0,467200.764959,1274.0,580998.450045,7437862.074008,4194052.621354,746653.574273,568230.555103
96725.272999,3078.540731,37392.502352,1.2787201878785E7,1338709.0,1045263.710927,1705.0,479156.559175,1270.0,571580.065424,7138038.590545,4083552.778934,761511.871699,582720.396524
95739.536188,3682.328376,38574.197835,1.376436332903E7,1333275.0,1052828.865725,1712.0,470937.87908,1286.0,592895.838025,7612769.649068,4143391.789658,807793.577628,511382.217592
97437.363853,3493.2211,37210.993941,1.3309629238762E7,1323717.0,930130.968125,1709.0,454519.625475,1303.0,571697.442702,7403088.906705,4226339.553848,807797.432628,494075.27055
92882.059576,3330.420005,37593.081235,1.642626926549E7,1563245.0,934861.311006,1694.0,477069.417785,1400.0,553453.9537,9048384.099586,4265881.805562,792902.174255,505170.019641
91479.827915,3393.011889,38690.108291,1.6157442622799E7,1325975.0,940011.980122,1697.0,465078.567815,1278.0,582566.397411,8922902.314611,4075740.993824,784521.746688,496890.501245
93045.612464,3383.865463,37658.942794,1.6338632442191E7,1333590.0,908466.541377,1689.0,485239.277283,1312.0,596654.200504,9093614.267259,4432146.795997,702665.438404,487773.954731
95552.715667,3130.846523,36230.351384,1.6323699294128E7,1340569.0,917346.966022,1699.0,488581.041986,1273.0,597614.181885,9044592.837028,4415026.781426,723304.548221,496258.394619
101195.061283,3569.679847,36188.765411,1.6524922266392E7,1332893.0,975679.459174,1691.0,505419.364102,1293.0,595451.435099,9104433.837463,4309243.027807,765821.992516,493099.99106
96652.608782,3457.620849,35384.780614,1.5031792933444E7,1341742.0,908093.175912,1695.0,491520.919633,1537.0,579062.429612,8309906.252404,4616541.786648,759829.665726,524123.628274
93800.521468,2976.305374,35412.058867,1.4982519499717E7,1592215.0,925845.772709,1689.0,496927.734263,1281.0,601745.045117,8336992.282469,4455516.336445,710927.82431,553984.622838
92655.996589,3148.28364,35703.986196,1.4584421282672E7,1337991.0,966731.446511,1699.0,477795.39961,1296.0,591741.228148,8121244.117383,4533721.906914,725004.809194,537483.19561
97649.005633,3297.744055,34802.269445,1.367263930995E7,1338771.0,930619.697671,1726.0,491250.349681,1282.0,578936.768069,7624686.492331,4295741.298103,731831.499316,546475.901914
93603.695979,3410.305591,35521.334298,1.2895001338335E7,1497800.0,962169.788743,1698.0,483049.088411,1274.0,596640.49193,7232493.490557,4522862.252256,734989.439322,564248.810814
100221.322598,3010.638522,34470.389651,1.3324295490073E7,7784386.0,881104.876117,1695.0,482660.716598,1408.0,571498.248446,7479344.471461,4582949.796289,699501.285657,549367.997178
92731.266622,3451.086133,35290.302874,1.3238091995183E7,1572080.0,907142.884742,1693.0,500439.15202,1277.0,578866.989206,7404421.557657,4431141.855246,713354.238028,550647.536928
95051.549091,3393.7284,35342.560734,1.2200414421096E7,7685340.0,958634.053679,1696.0,488130.736156,1287.0,584406.846633,6865703.400662,4412427.659154,718648.652313,543833.388466
6218.510337,462.15783,3039.927096,3880858.335058,216367.0,30391.168538,1278.0,19146.231136,213.0,11924.645355,3720395.226752,114816.362757,15043.846188,8135.437561
6066.601243,491.04962,2982.959445,3881189.819207,214594.0,26338.801442,1283.0,19752.919376,206.0,11983.967156,3723328.482557,121123.098119,13838.8139,7940.176797
5826.293848,497.490494,3112.961969,3883286.389901,215938.0,31491.810509,1292.0,20129.647493,208.0,12097.852809,3718564.782518,129547.239227,18498.355478,8473.49778
5819.523515,541.842634,2876.667391,3963398.043816,245310.0,30334.531814,1306.0,19773.518072,206.0,12478.664018,3762482.894416,135781.773898,16670.278939,8349.477812
6330.775554,473.05341,3018.459902,3873445.948296,219801.0,32377.729213,1283.0,20866.987487,207.0,11471.641714,3712338.704411,138032.270974,19372.491102,8060.414921
6094.00495,471.438466,2968.687707,3917530.903845,248831.0,29191.385193,1273.0,19685.096836,208.0,12020.89164,3733742.478103,121426.243944,19987.832359,8067.15672
6068.098235,551.390956,2951.639775,3933191.781977,214472.0,28147.837198,1273.0,21005.694486,206.0,11598.689113,3743150.042697,119900.47293,18331.035484,8403.41361
6236.572549,456.946097,3032.404056,3888443.148727,245641.0,33298.802441,1306.0,23403.850943,207.0,11883.609206,3715663.109015,129036.025736,21494.726808,7081.604323
6150.343555,483.270382,2954.548753,3865235.620396,215589.0,29939.232971,1276.0,23732.98683,205.0,11856.325571,3696839.418825,151846.45236,18288.200506,7382.711152
6074.791825,489.496627,3141.311541,3873605.060722,244602.0,31991.761215,1272.0,24283.019005,207.0,12216.866822,3697480.144406,155479.375263,20496.974261,7446.365213
6035.32227,487.520122,3073.785177,3901078.398195,213528.0,30595.299298,1353.0,23003.805086,237.0,12088.619203,3724411.928691,139038.599369,19008.240108,7480.113904
6045.93667,481.77319,3179.292799,3968809.654626,242563.0,30215.545347,1315.0,23848.434542,207.0,11977.612206,3753345.939064,147904.265478,20520.601556,7477.351555
6084.331612,468.558332,3176.695684,3923352.499607,217094.0,28954.244632,1279.0,21790.951642,206.0,11623.281555,3728573.874105,147969.407901,16818.20641,7397.341488
6254.39305,495.892979,3182.005516,3934287.913278,226086.0,30577.41068,1293.0,22996.581736,209.0,11963.230409,3730083.989554,151994.309544,20569.091056,7466.570597
6213.209471,539.647434,3265.015242,3967380.143685,216805.0,30921.471154,1270.0,23387.313713,216.0,12248.289596,3754395.296827,154385.942032,21669.19157,7598.486996
6348.051812,481.16828,3142.930959,3976272.005358,216367.0,34234.070394,1283.0,25101.244494,208.0,12687.571753,3755941.859418,159542.968455,22148.969406,7190.097201
6130.517502,487.354824,3160.477324,3959565.523092,214001.0,28104.228157,1291.0,22045.804214,229.0,12248.905151,3756582.642658,141956.016234,18078.678866,7755.767118
6204.66243,530.505832,3053.398773,4015222.317629,298939.0,30097.903652,1300.0,22948.762936,217.0,11671.324634,3783391.110575,147245.395908,19371.41834,7399.240195
6083.204925,472.702423,3142.358418,3987294.88637,213461.0,31448.163799,1288.0,23250.913877,214.0,11477.963826,3768051.070847,151243.318266,19768.30962,7394.377979
6048.398338,473.228171,3064.798961,3963556.385173,216540.0,26704.034442,1301.0,22633.862851,224.0,11968.87743,3756633.359435,147407.331451,16329.432384,7150.442269
6134.544136,476.805238,3049.313278,3965119.149797,216722.0,33874.52468,1316.0,22504.175118,205.0,11625.555323,3759139.450553,164547.563942,16584.265142,7264.095373
6117.895324,541.226422,3166.726121,3934847.036437,216399.0,28686.057773,1296.0,15877.579437,216.0,11942.062957,3751100.174234,147869.232846,15908.542725,7771.100709
6150.793264,536.050639,2978.12618,3917382.846348,217049.0,28821.242061,1278.0,15973.655628,209.0,11664.048476,3739728.846998,146808.212521,15171.247535,7360.83718
6167.880523,567.619134,3096.157354,3940271.528051,311263.0,29024.556303,1281.0,15798.625693,208.0,11846.515428,3753699.069795,148509.159699,15536.01213,7132.862101
6279.564812,481.766149,3063.054094,3922090.442869,216430.0,29783.901848,1317.0,16080.131394,214.0,12220.935744,3742714.731079,156648.524635,16036.097379,7719.177261
6154.768526,462.555015,3058.878251,3932152.29389,216978.0,31942.248337,1302.0,16132.013448,222.0,11935.424658,3749093.597979,157963.669435,15922.146976,7553.375167
6219.819349,510.598362,3177.384772,4018613.099891,277232.0,30613.630724,1271.0,16319.557227,217.0,11813.343382,3794533.265466,160541.843729,16411.615738,7756.764574
6133.246518,568.097199,3244.077522,4020992.650544,2562545.0,29565.858915,1284.0,16384.49943,252.0,11904.966859,3796001.940161,151925.111778,15048.570078,7237.883817
6129.28591,494.445448,3065.69714,3861023.550482,301991.0,30620.635351,1302.0,16283.05143,221.0,12160.194003,3712849.989323,152990.046728,15378.111444,7445.003923
6033.708061,445.601835,3116.048783,3928361.195942,2599308.0,31780.007747,1300.0,16156.370846,204.0,12265.522007,3743647.109049,153436.390995,20392.386751,7381.31371
15563.301803,587.389437,4562.036935,3987000.974104,260483.0,95503.956514,667.0,23616.796672,353.0,30556.509524,3787716.852201,494747.495206,35659.046138,20195.858072
15180.71693,560.822295,4370.628757,3936820.652991,259290.0,98911.469309,664.0,24260.165398,352.0,31818.781235,3736568.451344,469644.836153,33927.557474,14856.440462
15106.444263,584.289972,4611.319468,3954920.495187,260336.0,102191.635454,666.0,24715.570894,352.0,30064.918357,3745341.01385,480856.344629,35372.480455,14495.856593
15116.941023,626.50182,4610.872544,3923001.636579,298180.0,99315.151213,663.0,24258.406563,357.0,30592.934185,3721437.64165,484956.050159,35658.269691,14300.310926
