folds:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
ACSF1,4503278.415199,4413403.984434,4640746.751997,4715706.64196,4617546.354713,4677938.097479,4672237.702245,4656839.263812,4531743.59738,4706522.62909,4747976.428215,4449917.304623,4488944.961352,4670186.583818,4580397.121481,4593130.761178,4662325.797591,4604992.328059,4645133.356923,4592626.711689,4555966.983714,4517135.962108,4629076.740863,4564032.892694,4524596.785694,4384351.904125,4375755.625433,4578787.458961,4469935.86707,4635468.213355
Adiac,8159402.200713,8042733.971589,7142018.800729,7343405.176398,7406153.826758,7391924.693021,7362430.762771,7811924.688237,7880577.526601,7490683.219446,8069755.840865,8054376.782678,7633313.520375,7437862.074008,7138038.590545,7612769.649068,7403088.906705,9048384.099586,8922902.314611,9093614.267259,9044592.837028,9104433.837463,8309906.252404,8336992.282469,8121244.117383,7624686.492331,7232493.490557,7479344.471461,7404421.557657,6865703.400662
ArrowHead,3720395.226752,3723328.482557,3718564.782518,3762482.894416,3712338.704411,3733742.478103,3743150.042697,3715663.109015,3696839.418825,3697480.144406,3724411.928691,3753345.939064,3728573.874105,3730083.989554,3754395.296827,3755941.859418,3756582.642658,3783391.110575,3768051.070847,3756633.359435,3759139.450553,3751100.174234,3739728.846998,3753699.069795,3742714.731079,3749093.597979,3794533.265466,3796001.940161,3712849.989323,3743647.109049
Beef,3787716.852201,3736568.451344,3745341.01385,3721437.64165,3715020.156157,3721933.489124,3731745.031104,3681736.719803,3768580.84168,3786509.284198,3789938.164048,3718008.782655,3725999.722185,3726071.647485,3740251.975248,3711261.740678,3724675.30985,3710678.905609,3728172.561899,3725689.126248,3716461.017971,3774440.344172,3703176.862356,3714241.177611,3788959.931605,3696860.48263,3750011.433968,3762327.945819,3763079.755313,3786460.257945
BeetleFly,3734228.222072,3756587.658099,3708346.919674,3695432.838347,3705107.744005,3727474.737719,3785078.490358,3720721.226719,3715972.75886,3724282.139491,3703303.202742,3711251.119975,3696920.134422,3731364.348177,3696740.022361,3748597.011604,3730275.630216,3720912.167329,3703294.014324,3727828.019776,3703340.551452,3695972.268471,3758085.043733,3729121.394851,3726352.905919,3751510.677603,3720877.20875,3705880.098454,3698886.885288,3696356.720422
BirdChicken,3700242.910441,3704589.378325,3750798.062397,3732899.174217,3713131.176075,3721914.39863,3748074.614346,3750025.802747,3728742.330179,3695126.997598,3728413.559294,3752515.163454,3710669.366146,3700427.46234,3713957.408055,3699992.413412,3695393.025597,3715938.663685,3715493.270838,3751485.030767,3744031.098842,3728670.100078,3667439.845959,3695468.153335,3691190.067569,3748967.518474,3658561.399741,3654401.247657,3654005.062313,3679488.240651
BME,187959.779118,184990.015368,171789.778067,179351.576779,177746.276397,183350.016034,182315.134505,170827.080106,167204.600969,180092.808458,181210.023846,194339.436916,191208.809573,194106.636319,178772.065219,199854.469991,186998.461817,181400.819987,194843.733718,191841.518545,190638.163273,188166.138414,183054.754229,190465.668777,192522.368301,186079.584905,157665.911726,161599.074319,157973.642124,160135.555567
Car,3953819.223228,4017595.457086,4018961.541203,3976093.745328,3946088.921419,3958646.52191,3966079.369311,4017860.973244,3943185.848065,3977379.870351,3940578.250981,4042935.608374,4127301.037876,4111212.192524,4102226.344913,4106409.731094,4127919.64378,4056040.876766,4118216.331944,4057540.238816,4048139.518107,4124073.004952,4108471.202616,4064410.334638,4072168.096003,4044130.18923,3915140.180615,3914090.179955,3849861.275328,3910678.826441
CBF,182815.356738,177989.387236,172837.781052,184313.240269,183843.458295,182318.732066,183411.56547,191036.753887,178820.54143,188056.470121,185313.570437,192636.877602,184109.858796,199898.167997,203226.071684,197239.459068,194756.009612,198791.80444,192589.211124,198882.46986,195163.622061,197535.636985,207642.583904,200381.909625,201676.555658,199507.27943,145494.981728,144441.483247,141136.205338,146560.634178
Chinatown,28678.311154,31399.890598,32046.13657,31497.894259,33911.478361,33293.471766,32430.043816,30217.55083,29940.283251,31518.599656,30336.810298,35211.077369,35917.6274,35510.5543,33751.62962,37112.443536,37485.46194,34959.358437,34595.061224,37699.374327,36275.724269,35529.120444,37356.704547,33578.717855,36721.948318,35224.365175,13731.102632,15562.328811,13434.107198,14273.681378
