folds:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
ACSF1,1537929.0,1558767.0,1542736.0,1772359.0,1565971.0,1765195.0,1542011.0,1766469.0,1547940.0,1766665.0,1550269.0,1768026.0,1580625.0,1560592.0,1562903.0,1535816.0,1531448.0,1762951.0,1539419.0,1532002.0,1541355.0,1544379.0,1539170.0,1786161.0,1542544.0,1544397.0,1763936.0,4550418.0,1760377.0,4542958.0
Adiac,1335633.0,1337610.0,1337236.0,1482731.0,1354195.0,1471239.0,1323913.0,1493070.0,1329236.0,1497644.0,1320814.0,1488695.0,1339340.0,1363632.0,1338709.0,1333275.0,1323717.0,1563245.0,1325975.0,1333590.0,1340569.0,1332893.0,1341742.0,1592215.0,1337991.0,1338771.0,1497800.0,7784386.0,1572080.0,7685340.0
ArrowHead,216367.0,214594.0,215938.0,245310.0,219801.0,248831.0,214472.0,245641.0,215589.0,244602.0,213528.0,242563.0,217094.0,226086.0,216805.0,216367.0,214001.0,298939.0,213461.0,216540.0,216722.0,216399.0,217049.0,311263.0,216430.0,216978.0,277232.0,2562545.0,301991.0,2599308.0
Beef,260483.0,259290.0,260336.0,298180.0,263640.0,299612.0,258727.0,297976.0,259791.0,297212.0,258292.0,297120.0,261677.0,263546.0,261411.0,260784.0,257889.0,376500.0,258502.0,260072.0,260580.0,260303.0,260656.0,392369.0,261537.0,261088.0,358027.0,2610901.0,380512.0,2654267.0
BeetleFly,228523.0,226859.0,229227.0,264029.0,232371.0,265665.0,227276.0,264109.0,228616.0,262027.0,226223.0,261416.0,229668.0,231482.0,229865.0,229054.0,226668.0,377506.0,226446.0,228945.0,229602.0,228681.0,229825.0,396245.0,230331.0,229588.0,360522.0,2685195.0,386199.0,2724257.0
BirdChicken,228463.0,228278.0,229295.0,262572.0,232138.0,263314.0,226529.0,263239.0,228126.0,263171.0,226335.0,261770.0,229788.0,228782.0,229266.0,228509.0,226609.0,406293.0,226545.0,228960.0,229864.0,228216.0,229586.0,427232.0,229329.0,229573.0,389607.0,2721468.0,445561.0,2768527.0
BME,175158.0,173159.0,175281.0,199106.0,177056.0,194390.0,174300.0,199518.0,174418.0,198539.0,171923.0,197306.0,174904.0,175373.0,174428.0,175318.0,174730.0,397620.0,173901.0,175571.0,176318.0,175420.0,179979.0,414181.0,176231.0,176163.0,376032.0,2684115.0,450967.0,2750092.0
Car,440129.0,441045.0,441151.0,501254.0,447184.0,498241.0,439525.0,502349.0,443074.0,500239.0,439434.0,501140.0,445048.0,441087.0,446445.0,439733.0,436702.0,687041.0,438253.0,439103.0,440396.0,440268.0,439379.0,720074.0,441440.0,440364.0,678217.0,3006557.0,767404.0,3041187.0
CBF,175514.0,174259.0,175504.0,198635.0,176877.0,196275.0,173198.0,200004.0,175017.0,199937.0,172345.0,198647.0,176663.0,175830.0,174934.0,175478.0,174822.0,453650.0,174595.0,175142.0,176649.0,175456.0,178605.0,482594.0,176537.0,175660.0,447027.0,2816884.0,545769.0,2854327.0
Chinatown,158706.0,156495.0,159620.0,175863.0,160174.0,177902.0,157032.0,180959.0,159403.0,179656.0,154709.0,175344.0,158807.0,160393.0,157468.0,159648.0,157838.0,489378.0,156550.0,158311.0,160776.0,159071.0,164216.0,521266.0,160191.0,161442.0,533009.0,2861491.0,582820.0,2919156.0
