folds:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
ACSF1,2235155.998929,2585776.467332,2151766.184309,2189043.92277,2777571.914635,1982322.041655,2773233.015563,1972715.109019,2301938.66129,2029645.647596,2437048.796727,2181069.827193,2463367.132493,2089712.875533,2515528.712287,2214134.428931,2576365.147065,2245555.725606,2377519.541091,2338424.539269,2144333.603793,2216188.396261,2465571.406564,2617809.87873,2282108.975765,2440935.357134,2014339.688815,2405840.725234,2148944.033965,2313233.383824
Adiac,648301.510773,529156.707042,575089.369675,615565.511714,599419.277308,632699.207497,584272.695135,584875.281417,650448.362651,591370.336474,581516.175733,594821.412312,591609.554838,568230.555103,582720.396524,511382.217592,494075.27055,505170.019641,496890.501245,487773.954731,496258.394619,493099.99106,524123.628274,553984.622838,537483.19561,546475.901914,564248.810814,549367.997178,550647.536928,543833.388466
ArrowHead,8135.437561,7940.176797,8473.49778,8349.477812,8060.414921,8067.15672,8403.41361,7081.604323,7382.711152,7446.365213,7480.113904,7477.351555,7397.341488,7466.570597,7598.486996,7190.097201,7755.767118,7399.240195,7394.377979,7150.442269,7264.095373,7771.100709,7360.83718,7132.862101,7719.177261,7553.375167,7756.764574,7237.883817,7445.003923,7381.31371
Beef,20195.858072,14856.440462,14495.856593,14300.310926,20069.17475,23136.926524,23236.565665,23538.396063,13274.068526,22831.103165,21389.683798,12449.899526,44317.024896,23627.751203,15648.048332,21511.55178,23753.678309,44482.449404,15459.432652,23722.776745,43206.736907,20429.120822,23635.449799,15313.013681,15501.582759,22814.288032,22821.412683,15240.691049,15316.954623,23276.345432
BeetleFly,12570.393002,9454.100156,9591.043358,9480.504789,9554.310412,9411.752902,9417.030701,10279.6648,9322.394213,8957.911117,7683.498757,7703.27907,9413.103065,9640.286357,9228.098139,10314.172896,9515.707915,8750.721976,9976.516918,8248.846158,9463.945871,9811.666996,9295.408575,12002.111021,15059.704123,7652.327085,8978.423956,8856.032241,8641.379989,8900.496322
BirdChicken,8797.229047,8397.712412,13723.807478,8680.349027,9193.63194,11816.056306,8423.377861,9043.078107,8816.565367,9534.830732,7880.084361,8922.922212,9707.020308,8820.06102,8629.261203,14324.434607,9166.776641,13596.499473,9466.622719,9707.223203,9484.774667,12687.458638,13904.048486,8879.121727,9269.463865,8826.98186,9756.971324,9411.109516,9083.519574,9999.91716
BME,988.542844,1575.190984,870.14763,864.630509,904.381215,961.036885,1457.41925,943.335158,845.219574,1431.666612,825.070802,850.011098,853.619587,1484.010768,872.660851,1009.247052,984.980167,1465.18639,1020.175393,1516.044603,1437.034841,909.94436,818.791768,847.640668,856.337233,894.180166,859.544838,1513.878264,909.915869,853.873878
Car,56265.427956,53912.39041,65828.791643,62135.1857,64283.383138,61628.864123,63490.906011,62950.284948,62546.747367,64512.955512,66303.221848,64380.168665,64375.694221,60666.123326,64818.974079,41287.694674,61969.330479,58830.36745,58042.900075,55967.050976,58654.036428,57729.019125,59032.416294,56200.249024,55110.837654,60977.934442,58291.809356,58022.43787,55463.187158,56464.363929
CBF,1765.285375,1485.18454,1577.044983,900.882103,938.658347,1123.756078,939.348006,889.431113,1544.142779,1025.326522,908.619318,1122.310916,884.910435,910.963796,1694.663645,975.487656,1718.026949,1170.57146,1008.818099,1166.74698,1062.795268,1888.315016,1202.120373,1128.361101,1727.510301,960.512675,1180.876827,1190.880978,1705.464024,1029.315942
Chinatown,82.277669,144.683137,59.299969,58.063809,94.375557,58.6134,83.888041,194.80005,82.008158,64.937656,185.347827,74.351109,53.20078,57.442234,95.327747,63.380478,201.257427,70.172977,152.507298,79.457294,56.332494,172.008527,47.50709,99.177896,60.23662,50.887968,48.159036,243.22147,131.563704,55.856012
