folds:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
ACSF1,5952306.991311,5649100.961932,5595552.589006,5834217.542937,5804709.067635,5721099.929154,6142189.401907,4129816.065968,4195864.787135,4141443.65407,5078494.750241,4713176.383781,5099572.246923,4461243.858298,4889102.827441,4292843.325722,4265803.315554,4193667.589093,4519714.947411,4565538.11677,4375052.085751,5175212.193641,5049806.831211,5354939.086262,5089626.668191,4978389.026048,5197815.255497,4898324.102425,4773919.149648,4388563.804134
Adiac,971560.701307,985321.680398,956323.078194,978068.028924,979260.639787,957039.056458,935768.178637,1007439.521115,1068808.020926,1001940.709176,922159.040429,1007349.910274,955195.89034,994902.14667,1045263.710927,1052828.865725,930130.968125,934861.311006,940011.980122,908466.541377,917346.966022,975679.459174,908093.175912,925845.772709,966731.446511,930619.697671,962169.788743,881104.876117,907142.884742,958634.053679
ArrowHead,30391.168538,26338.801442,31491.810509,30334.531814,32377.729213,29191.385193,28147.837198,33298.802441,29939.232971,31991.761215,30595.299298,30215.545347,28954.244632,30577.41068,30921.471154,34234.070394,28104.228157,30097.903652,31448.163799,26704.034442,33874.52468,28686.057773,28821.242061,29024.556303,29783.901848,31942.248337,30613.630724,29565.858915,30620.635351,31780.007747
Beef,95503.956514,98911.469309,102191.635454,99315.151213,97412.875634,91818.598974,94393.691495,100885.086402,98358.923259,97015.732095,99934.670948,97420.101464,90933.609878,92224.12028,100307.44921,96231.00006,103680.058583,92759.500955,90253.736135,93996.692347,96404.868338,97677.113046,94911.137089,92843.26225,96927.520193,91023.418398,101865.94305,96046.879628,96922.821784,98569.447051
BeetleFly,51733.074309,50997.089225,49763.17396,52732.168438,45909.636239,48869.742652,52144.53428,47033.029063,43422.252884,50033.395355,54592.293028,50734.246258,48335.254831,45010.881405,48137.772556,52175.772172,48879.093874,48234.833258,49585.928815,49947.110511,50421.357917,50924.327354,48519.369074,51827.446331,51491.272132,50527.945237,52085.588436,46948.423819,42855.621301,52055.634045
BirdChicken,45727.18685,44570.832752,49361.518521,45949.540133,47746.349513,48908.354058,48474.310197,47322.450384,40365.063729,43582.319117,47547.998284,44361.474181,47990.86497,47780.221507,46373.456459,44912.43147,47947.804927,46316.385641,47923.031467,49045.541232,43014.50175,50672.849387,48535.765459,48182.862042,46241.302311,48123.527731,45721.562956,46731.177373,41155.596633,46744.823656
BME,4917.290379,5053.414995,4875.477794,5018.001697,4918.54738,4488.204357,5278.758943,8758.125216,5314.5097,5645.698173,5524.381323,5126.75956,4993.018064,6672.585213,6464.949587,6446.420853,6364.905964,6490.36051,6559.716158,6430.029593,6415.106071,6615.532698,6445.323268,6363.217734,6413.403736,6100.446728,6068.131739,6469.46329,6113.436485,6443.954932
Car,364853.485191,361792.786037,318011.903132,336888.104313,326477.444674,322881.590982,324555.570017,347095.271826,340212.349948,341385.120467,341008.282773,320923.619939,335708.751698,329508.942987,329199.198827,338487.772552,298402.149395,315836.526591,299533.043233,301947.536765,319387.459762,297769.365023,317689.277027,317735.843836,294719.28707,286600.674082,307865.765157,322542.538274,295526.414249,292825.700769
CBF,6633.614416,5942.057441,5875.327851,6047.250214,6488.77521,6102.976195,6155.379532,6590.71941,6007.709728,6736.962609,6122.214686,5417.642278,6663.597114,7271.941819,6183.677305,6663.621597,6485.664078,6470.620872,6228.083823,5847.53298,6379.026879,6232.903018,6418.678892,5997.7258,6252.467448,6124.475419,6464.539541,6175.323042,6211.371365,6259.025866
Chinatown,94.710438,107.886953,78.654829,95.077723,96.376094,103.884191,104.245138,109.872494,108.672915,120.648475,108.469678,79.923866,101.542463,112.271983,69.575374,73.713461,98.056092,93.783185,110.671511,96.874562,72.800039,105.813153,103.800338,95.013589,58.77075,82.173,83.583807,67.598395,94.288837,117.73525
