folds:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
ACSF1,292110.72273,289110.814028,289030.095616,294414.249706,286963.11741,296735.667533,284272.578622,290167.682379,283613.786416,285139.187528,285188.138011,288998.548077,293176.949227,288089.789529,297902.026575,265725.187347,268720.527451,265033.891836,268929.313784,265756.532914,266340.691632,265649.318572,284040.238579,285598.423996,293760.644679,288576.890552,296832.210053,286448.842112,284701.730126,287332.466806
Adiac,510347.479428,500597.579425,489526.77931,491556.192081,506340.051287,499933.167627,488790.109309,473669.93466,452732.677844,482064.594589,478598.747592,475914.393956,459291.485668,467200.764959,479156.559175,470937.87908,454519.625475,477069.417785,465078.567815,485239.277283,488581.041986,505419.364102,491520.919633,496927.734263,477795.39961,491250.349681,483049.088411,482660.716598,500439.15202,488130.736156
ArrowHead,19146.231136,19752.919376,20129.647493,19773.518072,20866.987487,19685.096836,21005.694486,23403.850943,23732.98683,24283.019005,23003.805086,23848.434542,21790.951642,22996.581736,23387.313713,25101.244494,22045.804214,22948.762936,23250.913877,22633.862851,22504.175118,15877.579437,15973.655628,15798.625693,16080.131394,16132.013448,16319.557227,16384.49943,16283.05143,16156.370846
Beef,23616.796672,24260.165398,24715.570894,24258.406563,24867.790521,24421.979377,24759.802071,23822.463218,25326.540631,24314.99141,24942.437543,23647.59578,24801.377418,23611.340149,25196.950632,24973.34493,25413.812835,24006.808179,23677.86128,31286.367273,31823.927732,31817.804801,30305.720472,31586.324784,31993.121303,30315.700432,30625.963251,31758.448291,32346.572565,31043.080142
BeetleFly,20329.937181,21687.760646,20546.739984,19430.098407,14374.118834,14377.821741,14177.531903,14567.985066,14079.909915,14831.92057,14381.282464,21390.590358,21275.872678,20384.556418,21693.483912,21427.917512,21510.185373,20052.504918,23092.838331,21300.653463,20678.957263,21789.158659,22486.76957,21917.627435,21308.914816,21655.981907,14903.96968,14531.517452,13924.217796,14655.945759
BirdChicken,14348.602987,14062.902057,14096.062918,14162.125934,13964.017377,14325.111328,14487.927451,13895.177133,14352.674905,14432.884888,21785.609237,22227.743816,19645.50814,19255.866983,21117.89973,21913.664873,20846.579172,21348.251277,21573.542939,21094.505475,18881.139323,20993.948351,20015.229522,19951.053019,19853.610748,13039.055445,14000.644743,13484.945297,13833.467351,14200.504375
BME,9015.988778,8844.564484,9241.953853,10036.258345,9843.785278,10047.28613,8945.452786,9726.628241,9706.796417,10198.263726,8966.028475,9311.33353,8901.698415,9260.002,9035.421145,8903.155278,10172.95453,9791.183371,9969.909907,14462.482139,15512.809155,14001.806528,14470.521976,13669.593791,14387.434042,13813.112334,14237.403365,15664.882074,13793.865746,14839.890396
Car,58333.138647,57066.659931,59395.282477,57726.36231,56345.265447,56376.717268,57818.438948,56562.840118,57347.425352,58133.080036,56247.175658,56706.75275,57779.195891,58688.422639,57540.705106,57940.990975,58662.292988,58109.804798,64376.761635,66676.367067,65725.76628,67018.466893,66718.236795,64988.003627,66954.713434,67423.125266,66401.591579,65020.103771,67825.69374,65636.157897
CBF,12502.876625,13290.091227,8485.745645,8656.165627,8979.334293,8886.470772,8473.314597,8487.99575,8349.10121,8397.165033,7999.746982,7996.348974,8286.963667,13755.415979,15323.393081,15562.148795,13739.317572,14832.253778,16099.248877,13237.354298,15169.476187,14758.7421,12700.569053,13420.246249,7451.282575,7456.176559,12852.990175,12125.768754,12787.676028,8718.112588
Chinatown,3117.372534,3718.319177,3566.815122,4242.752335,3624.113465,4271.42571,3743.657979,4112.112619,4897.311939,4991.565754,4682.292766,3720.463774,4617.624636,3891.583831,4834.700379,3760.969349,4719.401171,4426.110901,4243.311175,3451.346726,3577.903995,3266.825351,3526.894204,2363.28643,4305.839166,4465.961802,3471.160146,4233.29968,3940.426552,4209.474075
