folds:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
ACSF1,2081.52472,2039.450096,2175.469173,2299.360635,2360.861538,2568.242336,2580.373543,2169.016332,2647.458385,2281.175754,2412.158505,2025.641054,2164.268285,1979.191906,2148.615422,2088.287012,2217.384398,2397.695245,2124.188902,2397.2072,2421.404526,2141.583185,2213.066659,2303.158697,2325.219405,2478.911951,2583.99456,2131.255066,2360.294577,2591.800959
Adiac,3149.122428,3641.502889,3433.383648,3561.250889,3522.243917,3800.752314,3513.420844,3073.906167,3286.028542,3192.383199,3019.509102,3089.044743,3050.264499,3013.071388,3078.540731,3682.328376,3493.2211,3330.420005,3393.011889,3383.865463,3130.846523,3569.679847,3457.620849,2976.305374,3148.28364,3297.744055,3410.305591,3010.638522,3451.086133,3393.7284
ArrowHead,462.15783,491.04962,497.490494,541.842634,473.05341,471.438466,551.390956,456.946097,483.270382,489.496627,487.520122,481.77319,468.558332,495.892979,539.647434,481.16828,487.354824,530.505832,472.702423,473.228171,476.805238,541.226422,536.050639,567.619134,481.766149,462.555015,510.598362,568.097199,494.445448,445.601835
Beef,587.389437,560.822295,584.289972,626.50182,566.614716,559.942922,580.249533,615.207958,636.1544,586.496488,592.270404,580.037636,660.815923,612.400219,630.11777,629.894906,754.543452,782.41982,739.653396,577.450027,616.268089,650.805521,550.290448,713.338647,696.654936,732.928773,652.193873,537.508064,713.367284,616.843819
BeetleFly,474.975856,486.472586,542.809919,502.261828,488.3443,438.984507,479.836386,527.409203,461.185258,716.70757,486.60029,449.909727,462.540722,464.855013,475.674074,426.607464,558.230428,449.464232,497.764833,446.004824,457.755067,646.3567,621.965735,440.286433,475.720901,466.476983,450.974414,470.078431,514.230986,655.113136
BirdChicken,600.307572,473.492646,642.616565,474.741174,407.854264,434.218106,483.63838,441.557287,436.782253,472.220376,438.297164,591.779039,541.557469,434.600284,412.081715,435.205852,450.249229,423.522111,401.74748,441.34695,496.599246,426.841327,472.615429,510.963864,448.170777,432.842559,431.405927,506.720016,419.266268,415.503729
BME,394.021512,515.118612,622.979957,363.500086,450.990421,433.834248,431.96718,510.170811,370.081415,425.811279,445.267038,593.555277,583.811811,382.689948,627.823114,596.384577,379.976441,400.041721,598.203378,662.736194,411.468788,570.085075,750.010031,554.454546,713.46068,442.435699,658.569669,918.835825,687.686697,431.491721
Car,974.4714,886.90489,917.63057,922.859023,930.179587,973.016707,936.489393,977.340715,862.366414,952.984,913.664311,962.682017,889.835634,970.330381,930.588524,954.594375,921.914241,1055.007643,944.624547,997.943901,1006.316647,920.66959,927.015588,948.702063,848.688012,952.209347,851.911628,967.649443,936.979987,1004.203687
CBF,356.420054,418.918322,438.023619,395.984988,395.73795,458.521845,369.947707,422.781507,438.792813,474.185392,455.904082,409.986943,398.230145,392.561874,398.679959,393.12704,468.99348,502.995448,421.113283,400.197441,421.91906,369.144802,398.939398,422.951014,440.038301,400.615,517.034122,496.84095,411.695066,404.521995
Chinatown,248.634061,242.054333,221.630161,258.608389,318.05758,330.280102,347.90026,261.116424,266.027102,263.509964,260.695411,307.742537,415.759481,296.454704,349.744658,284.34529,237.795727,241.353373,242.815687,233.772915,346.479879,344.719912,328.102592,329.76886,346.366167,384.071509,279.074758,335.296985,250.55569500000001,244.806779
