folds:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
ACSF1,42904.467325,43467.559917,44501.18378,44572.537391,41854.659475,43254.40162,42629.261588,44674.231712,43360.927208,43704.737661,45886.975606,45037.770263,45820.041811,44827.48652,44051.736161,40971.403397,46495.685261,44614.930155,45731.363498,43363.654725,43860.280633,45873.469024,42348.334651,43187.876715,46922.324477,43581.670931,42574.00243,43559.443061,44134.611711,43283.707052
Adiac,34516.338756,34090.655639,33117.653746,34772.887551,32765.443078,33831.978201,34990.369183,38048.097805,36457.009985,36991.274811,37262.161478,37543.137016,36250.195395,37470.898726,37392.502352,38574.197835,37210.993941,37593.081235,38690.108291,37658.942794,36230.351384,36188.765411,35384.780614,35412.058867,35703.986196,34802.269445,35521.334298,34470.389651,35290.302874,35342.560734
ArrowHead,3039.927096,2982.959445,3112.961969,2876.667391,3018.459902,2968.687707,2951.639775,3032.404056,2954.548753,3141.311541,3073.785177,3179.292799,3176.695684,3182.005516,3265.015242,3142.930959,3160.477324,3053.398773,3142.358418,3064.798961,3049.313278,3166.726121,2978.12618,3096.157354,3063.054094,3058.878251,3177.384772,3244.077522,3065.69714,3116.048783
Beef,4562.036935,4370.628757,4611.319468,4610.872544,4624.217449,4668.746801,4592.009682,4646.56948,4330.790222,4438.97115,4558.764236,4445.721939,4686.217044,4574.371454,4489.408075,4538.838278,4324.488447,4516.070591,4636.769333,4681.147393,4761.365894,4446.807041,4674.413572,4534.106951,4374.227364,4289.760405,4415.113296,4368.255977,4371.900486,4305.9771
BeetleFly,3280.51331,3201.386064,3379.854207,3287.268505,3447.956511,3376.057647,3360.106514,3333.747032,3380.529233,3286.594766,3297.91987,3428.679551,3524.519884,3257.803278,3323.305046,3639.518718,3436.735785,3121.17558,3515.32372,3207.423188,3454.62783,3502.49046,3120.50557,3395.811712,3382.961162,3431.232264,3276.316766,3311.258487,3289.008552,3373.423222
BirdChicken,3574.052707,2719.862784,2772.724125,2900.935697,3016.091962,3182.928476,3324.274444,3129.623573,3407.370613,3277.100553,3297.093233,3370.618639,3256.679099,3290.708531,3363.171137,3439.597395,3479.003866,3187.94929,3304.907214,2832.582781,3324.969641,3397.628087,3161.721418,3453.371314,3399.564341,3471.926537,3067.807239,3343.888868,3174.046234,3403.545074
BME,1546.262738,1387.875076,1682.342582,1695.163368,1657.343331,1444.722297,1457.278566,1434.022749,1573.476265,1702.638274,1631.039351,1544.03427,1651.462572,1308.725255,1405.337876,1400.501655,1346.081345,1443.878119,1390.554274,1603.060083,1522.116303,1435.125749,1414.40666,1650.308694,1926.538938,1807.420471,1518.51632,1459.590653,1542.642387,1490.720163
Car,11271.804602,11164.789387,11848.608584,11245.023725,11170.271684,11307.685387,10385.537346,11222.215676,10506.733485,10983.494935,11083.528287,11121.483477,11240.871978,11420.415031,10653.063701,10928.393901,10486.229129,10929.920336,10613.277784,11087.898812,10935.19745,10917.382341,11228.57374,9558.882168,11252.693582,10616.82546,11193.44508,11047.588245,11087.381549,11192.82957
CBF,1777.738351,1488.382174,1404.85858,1382.587491,1373.452638,1486.086279,1601.402173,1493.020172,1533.968767,1497.591848,1518.641809,1445.326703,1311.411967,1289.752227,1307.513403,1494.544579,1494.769419,1462.898654,1502.567894,1484.468478,1491.086159,1439.606566,1472.620414,1471.609489,1479.716647,1446.637518,1483.133531,1433.595215,1481.946113,1521.069858
Chinatown,206.402944,174.532174,151.92958,174.29681,166.539308,460.58946100000003,328.76209,260.914239,262.641215,359.105878,302.573238,343.898492,221.618505,306.117479,209.691148,247.09904,155.496796,143.124722,198.591209,192.773886,140.363669,173.42111,212.079711,190.126062,150.69169,263.317299,170.904531,463.929259,150.706299,160.172782
