TRAINTrainTimesBenchmarked,HIVE-COTE v1.0,TS-CHIEF,InceptionTime,ProximityForest,cBOSS,Catch22,ResNet,ROCKET,WEASEL,TSF,BOSS,RISE,S-BOSS,STC
AvgTRAINTrainTimesBenchmarkedOverDsets:,-1.467586509228946E7,-1.9433347652014162E7,-2163384.7314814813,-5230596.461071529,-339902.8392331158,-3739.9462635879627,-3491.4768518518517,-4387.759259259259,-2487377.679699036,576.3607470392623,4150.208895096269,653.6862789686628,12032.390225011484,9980.350134816024
AvgTRAINTrainTimesBenchmarkedRankOverDsets:,1.4351851851851851,2.1944444444444446,2.8055555555555554,3.712962962962963,5.12037037037037,6.537037037037037,6.935185185185185,7.333333333333333,10.157407407407407,10.49074074074074,10.768518518518519,11.055555555555555,12.648148148148149,13.805555555555555
StddevOfTRAINTrainTimesBenchmarkedOverDsets:,3.2692638776380137E7,4.194568441839656E7,3606541.6806691242,1.1465645915120427E7,1723927.064786976,7861.031770621228,5660.846600179834,15728.754460119715,2.586301178051445E7,1133.362868289648,20602.133365334084,1236.6943017834576,62341.72443873653,17998.71810397666
AvgOfStddevsOfTRAINTrainTimesBenchmarkedOverDsetFolds:,1625432.8353868027,1511560.4575146602,1906425.351891451,277047.0616427057,40869.58923989358,316.9582790087428,449.0152912560094,155.6876557718673,311999.1527090415,52.263201906385135,261.3346717683394,46.66456771718463,1790382.085144579,1818.3395968561988
StddevsOfTRAINTrainTimesBenchmarkedRanksOverDsets:,0.6735753140545632,0.8367531076965744,0.951715944951743,0.8433458722835373,0.4036652771001116,0.6328385234372816,1.24760067410268,0.7362445753731265,1.5356330670378673,1.356847434383777,1.219824420347571,1.1747605310427958,0.9888614695114732,0.5546461924090837

flat,HIVE-COTE v1.0,TS-CHIEF,InceptionTime,ProximityForest,cBOSS,Catch22,ResNet,ROCKET,WEASEL,TSF,BOSS,RISE,S-BOSS,STC
HIVE-COTE v1.0,0|108|0,28|0|80,7|0|101,11|0|97,0|0|108,0|0|108,0|0|108,0|0|108,1|0|107,0|0|108,0|0|108,0|0|108,0|0|108,0|0|108
TS-CHIEF,80|0|28,0|108|0,47|0|61,0|0|108,0|0|108,0|0|108,1|0|107,0|0|108,1|0|107,0|0|108,0|0|108,0|0|108,0|0|108,0|0|108
InceptionTime,101|0|7,61|0|47,0|108|0,32|0|76,0|0|108,0|0|108,0|0|108,0|0|108,1|0|107,0|0|108,0|0|108,0|0|108,0|0|108,0|0|108
ProximityForest,97|0|11,108|0|0,76|0|32,0|108|0,3|0|105,1|0|107,7|0|101,0|0|108,1|0|107,0|0|108,0|0|108,0|0|108,0|0|108,0|0|108
cBOSS,108|0|0,108|0|0,108|0|0,105|0|3,0|108|0,3|0|105,12|0|96,0|0|108,1|0|107,0|0|108,0|0|108,0|0|108,0|0|108,0|0|108
Catch22,108|0|0,108|0|0,108|0|0,107|0|1,105|0|3,0|108|0,38|0|70,23|0|85,1|0|107,0|0|108,0|0|108,0|0|108,0|0|108,0|0|108
ResNet,108|0|0,107|0|1,108|0|0,101|0|7,96|0|12,70|0|38,0|108|0,50|0|58,1|0|107,0|0|108,0|0|108,0|0|108,0|0|108,0|0|108
ROCKET,108|0|0,108|0|0,108|0|0,108|0|0,108|0|0,85|0|23,58|0|50,0|108|0,1|0|107,0|0|108,0|0|108,0|0|108,0|0|108,0|0|108
WEASEL,107|0|1,107|0|1,107|0|1,107|0|1,107|0|1,107|0|1,107|0|1,107|0|1,0|108|0,50|0|58,33|0|75,43|0|65,7|0|101,0|0|108
TSF,108|0|0,108|0|0,108|0|0,108|0|0,108|0|0,108|0|0,108|0|0,108|0|0,58|0|50,0|108|0,52|0|56,29|0|79,22|0|86,0|0|108
BOSS,108|0|0,108|0|0,108|0|0,108|0|0,108|0|0,108|0|0,108|0|0,108|0|0,75|0|33,56|0|52,0|108|0,50|0|58,2|0|106,8|0|100
RISE,108|0|0,108|0|0,108|0|0,108|0|0,108|0|0,108|0|0,108|0|0,108|0|0,65|0|43,79|0|29,58|0|50,0|108|0,20|0|88,0|0|108
S-BOSS,108|0|0,108|0|0,108|0|0,108|0|0,108|0|0,108|0|0,108|0|0,108|0|0,101|0|7,86|0|22,106|0|2,88|0|20,0|108|0,13|0|95
STC,108|0|0,108|0|0,108|0|0,108|0|0,108|0|0,108|0|0,108|0|0,108|0|0,108|0|0,108|0|0,100|0|8,108|0|0,95|0|13,0|108|0



p=0.01,HIVE-COTE v1.0,TS-CHIEF,InceptionTime,ProximityForest,cBOSS,Catch22,ResNet,ROCKET,WEASEL,TSF,BOSS,RISE,S-BOSS,STC
HIVE-COTE v1.0,0|108|0,26|3|79,2|12|94,11|0|97,0|0|108,0|0|108,0|0|108,0|0|108,1|0|107,0|0|108,0|0|108,0|0|108,0|1|107,0|0|108
TS-CHIEF,79|3|26,0|108|0,38|23|47,0|0|108,0|0|108,0|0|108,0|1|107,0|0|108,1|0|107,0|0|108,0|0|108,0|0|108,0|1|107,0|0|108
InceptionTime,94|12|2,47|23|38,0|108|0,26|11|71,0|0|108,0|0|108,0|0|108,0|0|108,1|0|107,0|0|108,0|0|108,0|0|108,0|1|107,0|0|108
ProximityForest,97|0|11,108|0|0,71|11|26,0|108|0,2|1|105,1|1|106,6|1|101,0|0|108,1|0|107,0|0|108,0|0|108,0|0|108,0|1|107,0|0|108
cBOSS,108|0|0,108|0|0,108|0|0,105|1|2,0|108|0,3|0|105,12|1|95,0|0|108,1|0|107,0|0|108,0|0|108,0|0|108,0|0|108,0|0|108
Catch22,108|0|0,108|0|0,108|0|0,106|1|1,105|0|3,0|108|0,34|7|67,15|10|83,1|0|107,0|0|108,0|0|108,0|0|108,0|0|108,0|0|108
ResNet,108|0|0,107|1|0,108|0|0,101|1|6,95|1|12,67|7|34,0|108|0,39|12|57,1|0|107,0|0|108,0|0|108,0|0|108,0|0|108,0|0|108
ROCKET,108|0|0,108|0|0,108|0|0,108|0|0,108|0|0,83|10|15,57|12|39,0|108|0,1|0|107,0|0|108,0|0|108,0|0|108,0|0|108,0|0|108
WEASEL,107|0|1,107|0|1,107|0|1,107|0|1,107|0|1,107|0|1,107|0|1,107|0|1,0|108|0,46|8|54,30|10|68,41|9|58,6|3|99,0|2|106
TSF,108|0|0,108|0|0,108|0|0,108|0|0,108|0|0,108|0|0,108|0|0,108|0|0,54|8|46,0|108|0,50|5|53,20|26|62,21|1|86,0|0|108
BOSS,108|0|0,108|0|0,108|0|0,108|0|0,108|0|0,108|0|0,108|0|0,108|0|0,68|10|30,53|5|50,0|108|0,47|5|56,2|1|105,7|1|100
RISE,108|0|0,108|0|0,108|0|0,108|0|0,108|0|0,108|0|0,108|0|0,108|0|0,58|9|41,62|26|20,56|5|47,0|108|0,18|4|86,0|0|108
S-BOSS,107|1|0,107|1|0,107|1|0,107|1|0,108|0|0,108|0|0,108|0|0,108|0|0,99|3|6,86|1|21,105|1|2,86|4|18,0|108|0,10|4|94
STC,108|0|0,108|0|0,108|0|0,108|0|0,108|0|0,108|0|0,108|0|0,108|0|0,106|2|0,108|0|0,100|1|7,108|0|0,94|4|10,0|108|0



p=0.05,HIVE-COTE v1.0,TS-CHIEF,InceptionTime,ProximityForest,cBOSS,Catch22,ResNet,ROCKET,WEASEL,TSF,BOSS,RISE,S-BOSS,STC
HIVE-COTE v1.0,0|108|0,28|1|79,7|7|94,11|0|97,0|0|108,0|0|108,0|0|108,0|0|108,1|0|107,0|0|108,0|0|108,0|0|108,0|1|107,0|0|108
TS-CHIEF,79|1|28,0|108|0,47|12|49,0|0|108,0|0|108,0|0|108,0|1|107,0|0|108,1|0|107,0|0|108,0|0|108,0|0|108,0|1|107,0|0|108
InceptionTime,94|7|7,49|12|47,0|108|0,27|6|75,0|0|108,0|0|108,0|0|108,0|0|108,1|0|107,0|0|108,0|0|108,0|0|108,0|0|108,0|0|108
ProximityForest,97|0|11,108|0|0,75|6|27,0|108|0,3|0|105,1|1|106,6|1|101,0|0|108,1|0|107,0|0|108,0|0|108,0|0|108,0|1|107,0|0|108
cBOSS,108|0|0,108|0|0,108|0|0,105|0|3,0|108|0,3|0|105,12|0|96,0|0|108,1|0|107,0|0|108,0|0|108,0|0|108,0|0|108,0|0|108
Catch22,108|0|0,108|0|0,108|0|0,106|1|1,105|0|3,0|108|0,36|4|68,18|6|84,1|0|107,0|0|108,0|0|108,0|0|108,0|0|108,0|0|108
ResNet,108|0|0,107|1|0,108|0|0,101|1|6,96|0|12,68|4|36,0|108|0,42|9|57,1|0|107,0|0|108,0|0|108,0|0|108,0|0|108,0|0|108
ROCKET,108|0|0,108|0|0,108|0|0,108|0|0,108|0|0,84|6|18,57|9|42,0|108|0,1|0|107,0|0|108,0|0|108,0|0|108,0|0|108,0|0|108
WEASEL,107|0|1,107|0|1,107|0|1,107|0|1,107|0|1,107|0|1,107|0|1,107|0|1,0|108|0,47|6|55,30|7|71,42|7|59,6|3|99,0|2|106
TSF,108|0|0,108|0|0,108|0|0,108|0|0,108|0|0,108|0|0,108|0|0,108|0|0,55|6|47,0|108|0,51|3|54,23|20|65,21|1|86,0|0|108
BOSS,108|0|0,108|0|0,108|0|0,108|0|0,108|0|0,108|0|0,108|0|0,108|0|0,71|7|30,54|3|51,0|108|0,48|4|56,2|1|105,7|1|100
RISE,108|0|0,108|0|0,108|0|0,108|0|0,108|0|0,108|0|0,108|0|0,108|0|0,59|7|42,65|20|23,56|4|48,0|108|0,19|3|86,0|0|108
S-BOSS,107|1|0,107|1|0,108|0|0,107|1|0,108|0|0,108|0|0,108|0|0,108|0|0,99|3|6,86|1|21,105|1|2,86|3|19,0|108|0,10|4|94
STC,108|0|0,108|0|0,108|0|0,108|0|0,108|0|0,108|0|0,108|0|0,108|0|0,106|2|0,108|0|0,100|1|7,108|0|0,94|4|10,0|108|0



T TEST,HIVE-COTE v1.0,TS-CHIEF,InceptionTime,ProximityForest,cBOSS,Catch22,ResNet,ROCKET,WEASEL,TSF,BOSS,RISE,S-BOSS,STC
HIVE-COTE v1.0,0.0,0.31418591,3.003E-5,0.00356113,7.25E-6,8.97E-6,8.98E-6,8.94E-6,1.891E-5,8.96E-6,8.96E-6,8.96E-6,8.95E-6,8.94E-6
TS-CHIEF,0.0,0.0,1.973E-5,4.83E-6,5.59E-6,4.89E-6,4.89E-6,4.89E-6,4.7089E-4,4.87E-6,4.87E-6,4.87E-6,4.87E-6,4.83E-6
InceptionTime,0.0,0.0,0.0,0.00176832,0.0,1.0E-8,1.0E-8,1.0E-8,0.8892289,1.0E-8,1.0E-8,1.0E-8,1.0E-8,1.0E-8
ProximityForest,0.0,0.0,0.0,0.0,1.085E-5,6.66E-6,6.66E-6,6.67E-6,0.31743355,6.59E-6,6.62E-6,6.58E-6,6.66E-6,6.38E-6
cBOSS,0.0,0.0,0.0,0.0,0.0,0.04457886,0.04460754,0.0441004,0.36834165,0.04266646,0.04238905,0.04263172,0.04188536,0.03860634
Catch22,0.0,0.0,0.0,0.0,0.0,0.0,0.54860695,0.4604714,0.32046074,1.71E-6,0.00125856,1.37E-6,0.01440102,2.1E-7
ResNet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41984176,0.32043672,0.0,0.00102923,0.0,0.01454136,2.0E-8
ROCKET,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32042419,0.00249495,0.00410481,0.00223451,0.01663687,1.677E-5
WEASEL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31971568,0.31906976,0.31970151,0.31770494,0.31809642
TSF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06448362,0.00617083,0.05590479,1.0E-7
BOSS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06864402,0.05280369,0.00677002
RISE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05708607,1.2E-7
S-BOSS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7133632
STC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0

SIGN TEST,HIVE-COTE v1.0,TS-CHIEF,InceptionTime,ProximityForest,cBOSS,Catch22,ResNet,ROCKET,WEASEL,TSF,BOSS,RISE,S-BOSS,STC
HIVE-COTE v1.0,0.0,5.6E-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TS-CHIEF,0.0,0.0,0.17793174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
InceptionTime,0.0,0.0,0.0,2.297E-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ProximityForest,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cBOSS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Catch22,0.0,0.0,0.0,0.0,0.0,0.0,0.00207556,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ResNet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44141833,0.0,0.0,0.0,0.0,0.0,0.0
ROCKET,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WEASEL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44141833,5.312E-5,0.03426401,0.0,0.0
TSF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.70031137,1.5E-6,0.0,0.0
BOSS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44141833,0.0,0.0
RISE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S-BOSS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
STC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0

SIGN RANK TEST,HIVE-COTE v1.0,TS-CHIEF,InceptionTime,ProximityForest,cBOSS,Catch22,ResNet,ROCKET,WEASEL,TSF,BOSS,RISE,S-BOSS,STC
HIVE-COTE v1.0,0.0,0.00325535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TS-CHIEF,0.0,0.0,1.28E-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
InceptionTime,0.0,0.0,0.0,0.47133513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ProximityForest,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cBOSS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Catch22,0.0,0.0,0.0,0.0,0.0,0.0,0.05124405,1.0E-8,0.0,0.0,0.0,0.0,0.0,0.0
ResNet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11234432,0.0,0.0,0.0,0.0,0.0,0.0
ROCKET,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WEASEL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0650062,0.00202461,0.27925467,0.0,0.0
TSF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00283163,1.137E-5,0.0,0.0
BOSS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00901457,0.0,0.0
RISE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S-BOSS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0E-8
STC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0

NOSIGDIFFERENCE,HIVE-COTE v1.0,TS-CHIEF,InceptionTime,ProximityForest,cBOSS,Catch22,ResNet,ROCKET,WEASEL,TSF,BOSS,RISE,S-BOSS,STC
HIVE-COTE v1.0,true,false,false,false,false,false,false,false,false,false,false,false,false,false
TS-CHIEF,false,true,false,false,false,false,false,false,false,false,false,false,false,false
InceptionTime,false,false,true,true,false,false,false,false,false,false,false,false,false,false
ProximityForest,false,false,true,true,false,false,false,false,false,false,false,false,false,false
cBOSS,false,false,false,false,true,false,false,false,false,false,false,false,false,false
Catch22,false,false,false,false,false,true,true,false,false,false,false,false,false,false
ResNet,false,false,false,false,false,true,true,true,false,false,false,false,false,false
ROCKET,false,false,false,false,false,false,true,true,false,false,false,false,false,false
WEASEL,false,false,false,false,false,false,false,false,true,true,false,true,false,false
TSF,false,false,false,false,false,false,false,false,true,true,false,false,false,false
BOSS,false,false,false,false,false,false,false,false,false,false,true,false,false,false
RISE,false,false,false,false,false,false,false,false,true,false,false,true,false,false
S-BOSS,false,false,false,false,false,false,false,false,false,false,false,false,true,false
STC,false,false,false,false,false,false,false,false,false,false,false,false,false,true



cliques = [0 0 1 1 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 1 1 0 0 0 0 0 0 0 
0 0 0 0 0 0 1 1 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 1 1 0 1 0 0 
]

