TRAINTrainTimesBenchmarkedRANKS,HIVE-COTE v1.0,TS-CHIEF,InceptionTime,ProximityForest,cBOSS,Catch22,ResNet,ROCKET,WEASEL,TSF,BOSS,RISE,S-BOSS,STC
InsectEPGSmallTrain,1.0,3.0,2.0,4.0,5.0,7.0,6.0,8.0,13.0,9.0,10.0,11.0,12.0,14.0
InsectWingbeatSound,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,12.0,11.0,9.0,10.0,13.0,14.0
ItalyPowerDemand,2.0,3.0,1.0,5.0,7.0,6.0,4.0,8.0,9.0,12.0,10.0,13.0,11.0,14.0
LargeKitchenAppliances,2.0,1.0,4.0,3.0,5.0,7.0,8.0,6.0,11.0,9.0,12.0,10.0,14.0,13.0
Lightning2,1.0,2.0,3.0,4.0,5.0,6.0,8.0,7.0,10.0,9.0,12.0,11.0,13.0,14.0
Lightning7,1.0,2.0,3.0,4.0,5.0,6.0,8.0,7.0,10.0,12.0,9.0,11.0,13.0,14.0
Mallat,1.0,2.0,4.0,3.0,5.0,8.0,6.0,7.0,12.0,9.0,11.0,10.0,13.0,14.0
Meat,1.0,2.0,3.0,4.0,5.0,6.0,8.0,7.0,10.0,9.0,11.0,12.0,13.0,14.0
MedicalImages,1.0,3.0,2.0,4.0,5.0,6.0,8.0,7.0,9.0,13.0,10.0,11.0,12.0,14.0
MiddlePhalanxOutlineAgeGroup,1.0,3.0,2.0,4.0,5.0,6.0,8.0,7.0,9.0,12.0,10.0,11.0,13.0,14.0
MiddlePhalanxOutlineCorrect,1.0,3.0,2.0,4.0,5.0,6.0,8.0,7.0,9.0,12.0,10.0,11.0,13.0,14.0
MiddlePhalanxTW,1.0,3.0,2.0,4.0,5.0,6.0,8.0,7.0,9.0,13.0,10.0,11.0,12.0,14.0
MixedShapesRegularTrain,2.0,1.0,4.0,3.0,5.0,7.0,8.0,6.0,11.0,9.0,12.0,10.0,14.0,13.0
MixedShapesSmallTrain,2.0,1.0,4.0,3.0,5.0,8.0,6.0,7.0,11.0,9.0,12.0,10.0,13.0,14.0
MoteStrain,2.0,3.0,1.0,5.0,6.0,7.0,4.0,8.0,9.0,12.0,10.0,13.0,11.0,14.0
OliveOil,1.0,2.0,3.0,4.0,5.0,6.0,8.0,7.0,11.0,10.0,9.0,12.0,13.0,14.0
OSULeaf,1.0,2.0,3.0,4.0,5.0,6.0,8.0,7.0,12.0,9.0,11.0,10.0,13.0,14.0
PhalangesOutlinesCorrect,1.0,3.0,2.0,4.0,5.0,6.0,8.0,7.0,9.0,10.0,12.0,11.0,13.0,14.0
Phoneme,3.0,1.0,4.0,2.0,5.0,6.0,8.0,7.0,12.0,10.0,11.0,9.0,14.0,13.0
PigAirwayPressure,3.0,1.0,4.0,2.0,5.0,6.0,8.0,7.0,12.0,11.0,9.0,10.0,13.0,14.0
PigArtPressure,3.0,1.0,4.0,2.0,5.0,6.0,8.0,7.0,12.0,11.0,9.0,10.0,13.0,14.0
PigCVP,3.0,1.0,4.0,2.0,5.0,6.0,8.0,7.0,12.0,11.0,10.0,9.0,13.0,14.0
Plane,1.0,3.0,2.0,4.0,5.0,6.0,7.0,8.0,10.0,11.0,9.0,13.0,12.0,14.0
PowerCons,1.0,3.0,2.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0
ProximalPhalanxOutlineAgeGroup,1.0,3.0,2.0,4.0,5.0,6.0,7.0,8.0,9.0,12.0,10.0,11.0,13.0,14.0
ProximalPhalanxOutlineCorrect,1.0,3.0,2.0,4.0,5.0,6.0,7.0,8.0,9.0,12.0,10.0,11.0,13.0,14.0
ProximalPhalanxTW,1.0,3.0,2.0,4.0,5.0,6.0,7.0,8.0,9.0,11.0,10.0,12.0,13.0,14.0
RefrigerationDevices,2.0,1.0,4.0,3.0,5.0,7.0,8.0,6.0,11.0,9.0,12.0,10.0,13.0,14.0
Rock,2.0,1.0,4.0,3.0,5.0,7.0,8.0,6.0,11.0,10.0,12.0,9.0,13.0,14.0
ScreenType,2.0,1.0,4.0,3.0,5.0,7.0,8.0,6.0,11.0,9.0,12.0,10.0,13.0,14.0
SemgHandGenderCh2,3.0,1.0,4.0,2.0,5.0,7.0,8.0,6.0,10.0,9.0,13.0,11.0,14.0,12.0
SemgHandMovementCh2,3.0,1.0,4.0,2.0,5.0,7.0,8.0,6.0,11.0,9.0,13.0,10.0,14.0,12.0
SemgHandSubjectCh2,3.0,1.0,4.0,2.0,5.0,7.0,8.0,6.0,11.0,9.0,13.0,10.0,14.0,12.0
ShapeletSim,1.0,2.0,3.0,4.0,5.0,7.0,6.0,8.0,9.0,11.0,10.0,12.0,13.0,14.0
ShapesAll,2.0,1.0,4.0,3.0,5.0,6.0,8.0,7.0,13.0,9.0,11.0,10.0,12.0,14.0
SmallKitchenAppliances,2.0,1.0,4.0,3.0,5.0,6.0,8.0,7.0,12.0,9.0,11.0,10.0,13.0,14.0
SmoothSubspace,1.0,3.0,2.0,4.0,7.0,5.0,6.0,8.0,9.0,12.0,10.0,13.0,11.0,14.0
SonyAIBORobotSurface1,2.0,3.0,1.0,5.0,6.0,7.0,4.0,8.0,9.0,12.0,11.0,13.0,10.0,14.0
SonyAIBORobotSurface2,2.0,3.0,1.0,5.0,6.0,7.0,4.0,8.0,9.0,12.0,10.0,13.0,11.0,14.0
StarLightCurves,2.0,1.0,4.0,3.0,5.0,8.0,6.0,7.0,11.0,9.0,13.0,10.0,14.0,12.0
Strawberry,1.0,2.0,3.0,4.0,5.0,6.0,8.0,7.0,9.0,10.0,12.0,11.0,13.0,14.0
SwedishLeaf,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,10.0,11.0,9.0,12.0,13.0,14.0
Symbols,1.0,3.0,2.0,4.0,6.0,7.0,5.0,8.0,11.0,13.0,9.0,12.0,10.0,14.0
SyntheticControl,1.0,3.0,2.0,4.0,5.0,7.0,6.0,8.0,9.0,12.0,10.0,13.0,11.0,14.0
