TRAINTrainTimesBenchmarkedSTDDEVS,HIVE-COTE v1.0,TS-CHIEF,InceptionTime,ProximityForest,cBOSS,Catch22,ResNet,ROCKET,WEASEL,TSF,BOSS,RISE,S-BOSS,STC
ACSF1,183313.25347776245,5941979.49091809,749902.6943495303,600628.8432974098,1392.3832753402673,188.6809981024651,4.766863592106149,111.52565809621167,307.5682277364767,19.237913666866103,24.782588000884402,37.65356362183901,128.83473597495185,179.20037810469285
Adiac,1227061.1584915274,157807.27882033522,1610985.7082209599,45115.151292602815,1573.7254703213139,229.11670204599062,9.706556618044852,57.8444704238935,63.98798803010767,87.06110113782023,5.535490934185385,53.326353824414255,29.36222970631667,442.4523114245653
ArrowHead,45942.97257567229,13189.568479679661,596320.8123004908,1868.9126481314872,91.75452335776737,33.7564441580506,18.17336689685806,10.733768821036172,0.4504342534967732,2.156772006812395,0.15600101151163898,1.7538201273903797,0.5512315883546745,508.2599948405746
Beef,38200.55096752693,21534.942970741315,597283.8112787958,3549.6286882414133,133.50779920196956,65.92195018665086,5.626292954849855,13.804047382486452,13.057943453402189,3.3400826239994204,0.5378157162651859,1.8512944824366862,1.7455990900880438,629.3970685356368
BeetleFly,16513.72294618025,8393.62307503623,623233.1773634213,2752.00086844043,116.6499898132319,71.24056919907157,6.451320812816943,12.791385391343857,2.436194530470063,1.709674999998787,0.4155093198282984,1.3003242327513789,0.5894511260926119,226.63886824842618
BirdChicken,37079.74840698508,12476.918436636373,633324.6225268219,2363.034619106261,216.53313537091856,59.60004324260866,28.19450097195322,16.680362189071936,2.9688781630909307,1.483206130623419,0.3410291621278205,1.1180617366278418,0.6612261965416709,206.05371336493363
BME,22140.450590101314,895.8943020139752,640460.2115567278,864.3530522590379,142.63394087485358,136.0415584071758,12.729005703781286,6.225272924820706,0.4250960775742887,1.1881831528825577,0.22121113114460308,1.747780968287933,0.10704994028508757,9.493655585139331
Car,141528.8923832179,129850.03341140847,649419.2470258056,20196.47728172707,411.7187980656976,46.07881410685478,5.246673823185174,23.479240035479812,7.383252518681005,7.014782493734518,1.6570090338981025,7.844097589439574,10.48997807337561,240.63978782841437
CBF,36708.044875626845,4450.131583604219,671049.7107951522,344.2907731635664,90.00922727203637,39.585507462378004,39.783667878729545,8.05327091396987,0.46246476027311584,0.8977625371498604,0.12776752480967,2.2884644776506278,0.14225171711447884,23.97450677634145
Chinatown,14102.914992957107,281.2140439868147,690528.1169103651,15.906381486102848,88.78836662557913,50.92504977433218,28.9252703421734,2.325273435904719,0.062080439894612705,0.3458220468103389,0.055092866201187446,0.6119288116287454,0.025538766427596414,2.581647051705148
ChlorineConcentration,1688993.7325858038,116302.31721423074,2055519.96372713,20735.111841427442,3146.716085613429,218.28028812606513,33.62819014478467,60.13395009495875,5.832050906579972,40.58487817690238,9.95064869652762,31.960588322072777,46.780712464245546,1504.7030802912275
CinCECGTorso,61068.336145453555,247630.10138619822,703291.4983730577,70344.40386494594,595.3750186700754,146.29123623644787,21.38333758880454,42.39801827943127,56.37304306285783,22.515546480181904,6.494167062695982,6.220422398440013,28.1818963699911,295.72427992450235
Coffee,47184.67911646637,5566.066111040185,720303.0100282558,1039.9933743715997,127.91128480746518,99.17015988499561,7.337825165600469,7.845417433931966,0.21594081607310445,0.8211392748793422,0.2240880179933995,2.019178956779082,0.49433964248703544,175.78202642372247
Computers,870160.1886582917,1973021.854332517,1364229.7041456623,269421.83986461925,3116.7505424547358,287.5856393005951,7.682193173438364,108.44406895701592,248.49606461811294,27.368541994289266,68.47793459588841,42.9576759081899,213.78666320283827,942.0455240688455
CricketX,1328994.7265589056,3028830.621274591,2009445.2037222902,68044.74246811244,5883.653148252863,315.3972907564452,12.036391180236631,76.19914169728095,75.94732796622444,38.53004433810554,56.84888913056262,37.51728184996323,99.8724421682793,1584.270156064592
CricketY,1233351.860199916,231053.15581767994,2038986.351260427,49708.19285448039,4286.046772694788,229.22059639824548,10.383452795386653,91.78325292362098,81.93035129460323,57.29184079792975,72.14565254180042,51.95975767817703,98.75649345631673,693.5130368901426
