BOSS,Catch22,cBOSS,HIVE-COTE v1.0,InceptionTime,ProximityForest,ResNet,RISE,ROCKET,S-BOSS,STC,TS-CHIEF,TSF,WEASEL
745.641942315364,-2081.52472,-42904.467325,-6422395.181105,-1537929.0,-5952306.991311,-1410.0,271.9222283331679,-2703.0,2572.0272127259664,6247.5678273747835,-4.0791314157717E7,362.4397907364735,3033.4398032976965
779.2128232922464,-2039.450096,-43467.559917,-6264369.922586,-1558767.0,-5649100.961932,-1411.0,267.5963656685794,-2376.0,2474.296101290168,5985.027683662652,-1.7763167394318E7,360.68872658469223,3451.574660028014
778.0815804435699,-2175.469173,-44501.18378,-6686805.506112,-1542736.0,-5595552.589006,-1404.0,247.76497653193346,-2334.0,2601.5083319502764,6361.233407082342,-1.769773531193E7,352.88951355510676,2967.242541415358
754.394713390588,-2299.360635,-44572.537391,-6839158.303953,-1772359.0,-5834217.542937,-1402.0,294.4268614806115,-2334.0,2517.3718313359436,6440.754268421646,-1.7535310673295E7,380.05918551821105,2894.308393242497
788.1334853368577,-2360.861538,-41854.659475,-6633230.790173,-1565971.0,-5804709.067635,-1394.0,266.5916745539636,-2323.0,2439.5506125744773,6209.146084193428,-1.724362775422E7,339.55497704977915,3622.6908022886746
741.6870245555507,-2568.242336,-43254.40162,-6798880.690375,-1765195.0,-5721099.929154,-1409.0,293.1747870912251,-2333.0,2640.8873269123133,6597.477380777652,-4.0578320706017E7,362.8953971696043,2590.028058950291
794.7722485673348,-2580.373543,-42629.261588,-6749149.491587,-1542011.0,-6142189.401907,-1404.0,304.23660112054307,-2332.0,2491.2860374085735,6303.14153832134,-1.724257366359E7,369.4802498881701,3652.036161215871
813.1526765807154,-2169.016332,-44674.231712,-6725594.452625,-1766469.0,-4129816.065968,-1410.0,213.15745523673112,-2427.0,2316.7260471088366,6150.750780005054,-1.6968800367137E7,358.2892218946906,2702.977336423171
751.0428177809586,-2647.458385,-43360.927208,-6473650.797496,-1547940.0,-4195864.787135,-1417.0,283.80947815976174,-2326.0,2369.541076885339,6115.789461639171,-1.6977925736696E7,364.5106002046374,3212.0112245313844
754.8863379105806,-2281.175754,-43704.737661,-6816888.633771,-1766665.0,-4141443.65407,-1403.0,245.27333566531473,-2662.0,2444.5169459745784,6138.359863862696,-1.7120427245745E7,355.0615777295859,2814.5706312242282
774.0905533895279,-2412.158505,-45886.975606,-6894388.476551,-1550269.0,-5078494.750241,-1419.0,288.9131501493744,-2343.0,2225.3511022190323,6228.478204585754,-1.6325351041496E7,334.19091215261244,3355.922064869977
776.2732356263396,-2025.641054,-45037.770263,-6335161.967449,-1768026.0,-4713176.383781,-1409.0,275.14358761766215,-2325.0,2683.6757199920903,6503.380388595248,-1.8344869752679E7,371.783400842743,2826.6889243036367
783.8375597833343,-2164.268285,-45820.041811,-6430418.912214,-1580625.0,-5099572.246923,-1407.0,297.83201507601973,-2409.0,2387.5515017421253,6205.633812400267,-1.8322679959487E7,380.1047252063198,3328.938225544547
777.0687161171098,-1979.191906,-44827.48652,-6701235.740336,-1560592.0,-4461243.858298,-1405.0,262.684774050741,-2319.0,2380.1264671232025,6727.944610053875,-1.7675676063685E7,335.1813523568866,2738.9145659104906
778.3734729540289,-2148.615422,-44051.736161,-6606873.498398,-1562903.0,-4889102.827441,-1409.0,321.46581303128403,-2334.0,2425.214321964815,6089.016663923833,-1.7094208193839E7,385.4876725253612,3221.1714585602776
770.8030868715534,-2088.287012,-40971.403397,-6564649.392861,-1535816.0,-4292843.325722,-1409.0,373.4132821818462,-2335.0,2467.970047332265,6232.748054801547,-1.7854745699452E7,360.96004974211974,2841.873805197623
776.5067516864151,-2217.384398,-46495.685261,-6686627.141933,-1531448.0,-4265803.315554,-1401.0,345.66416398645185,-2363.0,2326.257546100804,6322.4743892975175,-1.785069844949E7,353.74731441190914,3508.440348133012
741.5054795899474,-2397.695245,-44614.930155,-6563748.01034,-1762951.0,-4193667.589093,-1406.0,371.0814675381529,-2340.0,2377.0842359024114,6333.82338785444,-1.7898893624776E7,319.5181078527239,3104.02860832619
803.5218203567138,-2124.188902,-45731.363498,-6629656.885423,-1539419.0,-4519714.947411,-1407.0,358.427871108902,-2349.0,2460.4901239844344,6390.855089696798,-1.9381657987169E7,367.31802729954455,3220.2436506270096
766.5055961026626,-2397.2072,-43363.654725,-6566881.492533,-1532002.0,-4565538.11677,-1405.0,324.8457984988325,-2382.0,2501.4470415125375,6457.491382209681,-1.656007544304E7,335.70483554145204,2839.9763433679773
754.3914208295265,-2421.404526,-43860.280633,-6479152.548117,-1541355.0,-4375052.085751,-1413.0,328.1316834536333,-2328.0,2426.5655265346186,6162.41043781008,-1.7515697512687E7,330.7777244095814,2930.8708030466164
728.4659239381313,-2141.583185,-45873.469024,-6407788.809437,-1544379.0,-5175212.193641,-1409.0,317.949265771336,-2328.0,2319.5226511913315,6178.6718962856075,-1.7064514285966E7,390.7000594157152,3039.1049966111173
810.89863636534,-2213.066659,-42348.334651,-6654006.31416,-1539170.0,-5049806.831211,-1404.0,303.4503818685989,-2324.0,2385.523588455056,6359.809783458951,-1.6336859838461E7,371.26304861059646,3282.9999415029097
796.5710363400398,-2303.158697,-43187.876715,-6543825.835146,-1786161.0,-5354939.086262,-1404.0,259.38050362624574,-2334.0,2341.205490504027,6542.844540590944,-1.7435985431021E7,351.922091723726,3678.981776379121
818.3379945119013,-2325.219405,-46922.324477,-6495082.338074,-1542544.0,-5089626.668191,-1410.0,273.0519104925086,-2365.0,2282.1382804441755,6329.629212494271,-1.8359187139285E7,374.36515463466424,3227.9336984502706
741.936115830216,-2478.911951,-43581.670931,-6227382.888257,-1544397.0,-4978389.026048,-1406.0,263.9149249320943,-2350.0,2285.2546177593113,6067.843886400097,-1.8147393701612E7,379.90458747792223,3213.8894010460926
749.9412935545605,-2583.99456,-42574.00243,-6179542.195576,-1763936.0,-5197815.255497,-1412.0,312.88122898363696,-2324.0,2139.6412503037322,5991.738269883324,-1.6192267739728E7,378.6357334076999,2524.858845479091
752.4332203040018,-2131.255066,-43559.443061,-6583050.612187,-4550418.0,-4898324.102425,-1408.0,270.7663755796474,-2337.0,2452.2219857251566,6176.141742383948,-1.7055379868048E7,384.6309814853193,3273.8191605540146
760.6593893648353,-2360.294577,-44134.611711,-6375190.306229,-1760377.0,-4773919.149648,-1408.0,316.93881848669497,-2734.0,2189.398191783155,6060.153106379267,-1.7731251618507E7,345.6352947833213,2955.091251964054
725.2080502320692,-2591.800959,-43283.707052,-6707267.205093,-4542958.0,-4388563.804134,-1406.0,292.38113495573856,-2339.0,2240.231100349587,6187.506284713451,-1.637923948355E7,395.42388394107877,3136.98360510479
120.47275874999511,-3149.122428,-34516.338756,-1.4751059107105E7,-1335633.0,-971560.701307,-1707.0,407.6418307458765,-1299.0,808.1407859937187,10607.175952812684,-4340052.816777,806.1534272766346,976.8632899028983
126.03415054841413,-3641.502889,-34090.655639,-1.450584523941E7,-1337610.0,-985321.680398,-1713.0,490.42059919606197,-1261.0,758.6306319176599,10480.515624946513,-4414742.456883,810.1475840655163,807.1843045022007
121.30138969804781,-3433.383648,-33117.653746,-1.2732524858692E7,-1337236.0,-956323.078194,-1682.0,513.8125141797149,-1262.0,718.1223876840311,9954.893371655957,-4226063.144203,953.2296407157717,713.720325134348
134.58773946434843,-3561.250889,-34772.887551,-1.3108335081965E7,-1482731.0,-978068.028924,-1709.0,520.4000673110031,-1252.0,751.0217475824772,10034.626496797253,-4160364.694907,1033.2285041088692,862.2084688291675
123.86603545490247,-3522.243917,-32765.443078,-1.3280294414089E7,-1354195.0,-979260.639787,-1694.0,443.0347789397286,-1253.0,772.6043409118852,10283.47515129127,-4187492.768045,1025.0677512507928,862.4256954133851
123.45210336910013,-3800.752314,-33831.978201,-1.3280139546777E7,-1471239.0,-957039.056458,-1710.0,506.9818560189495,-1282.0,736.0454363347363,10423.875084780164,-4185587.463195,908.3064857078134,952.4652316440496
120.48904076236869,-3513.420844,-34990.369183,-1.3168596178826E7,-1323913.0,-935768.178637,-1703.0,503.36251036053875,-1256.0,758.2885974312869,10014.535696643887,-4137236.663866,876.3975892397629,798.2329075480069
127.94345142807347,-3073.906167,-38048.097805,-1.4010883288989E7,-1493070.0,-1007439.521115,-1695.0,548.8237822633625,-1274.0,783.6342919960667,10241.419188372683,-4272176.869885,903.1859489068412,847.528377699136
119.40746596710386,-3286.028542,-36457.009985,-1.4120294504538E7,-1329236.0,-1068808.020926,-1703.0,522.1018304855943,-1258.0,784.0186925616584,10614.344092788053,-4076204.087,861.9399586513293,911.8316217974498
127.78799845615812,-3192.383199,-36991.274811,-1.3381206911485E7,-1497644.0,-1001940.709176,-1685.0,583.6594925211291,-1291.0,780.0121326376621,10319.405597938576,-4223709.522037,860.3473460227895,801.4065008428905
121.68541984478715,-3019.509102,-37262.161478,-1.4435948851212E7,-1320814.0,-922159.040429,-1693.0,583.255122295526,-1284.0,736.1100197684167,10675.972919358403,-4110742.30488,802.8181371717371,828.0908958442831
118.30209424792433,-3089.044743,-37543.137016,-1.4434649965945E7,-1488695.0,-1007349.910274,-1712.0,570.3875484187483,-1263.0,757.0708265553419,11090.7706358184,-4145298.164557,900.4961576072179,871.9432519769495
128.43207415942783,-3050.264499,-36250.195395,-1.3616030406504E7,-1339340.0,-955195.89034,-1692.0,538.2386524418073,-1269.0,688.7162188593459,10256.83847775898,-4209264.527988,1017.8706070535701,800.4191861763832
129.32309265750828,-3013.071388,-37470.898726,-1.3305246556728E7,-1363632.0,-994902.14667,-1706.0,584.1126582528102,-1274.0,775.8080842836412,10539.350485091103,-4194052.621354,1032.6192654751073,775.4026773233816
127.90864055689889,-3078.540731,-37392.502352,-1.2787201878785E7,-1338709.0,-1045263.710927,-1705.0,590.4238953819801,-1270.0,765.651479322933,9991.25217348277,-4083552.778934,1078.2826259691758,806.4536203949025
127.8043419886687,-3682.328376,-38574.197835,-1.376436332903E7,-1333275.0,-1052828.865725,-1712.0,586.3333018684389,-1286.0,756.21247419917,10496.773534433203,-4143391.789658,1053.3778739517597,726.559912974134
131.80737350720375,-3493.2211,-37210.993941,-1.3309629238762E7,-1323717.0,-930130.968125,-1709.0,568.7637013733132,-1303.0,760.1438653651204,10231.317182315819,-4226339.553848,1102.4873349699812,781.3783178134306
115.26403738689321,-3330.420005,-37593.081235,-1.642626926549E7,-1563245.0,-934861.311006,-1694.0,574.8480683268475,-1400.0,709.3924139484822,10938.232942874416,-4265881.805562,1070.5331073174875,753.1280307539329
116.36198898812327,-3393.011889,-38690.108291,-1.6157442622799E7,-1325975.0,-940011.980122,-1697.0,572.3810746414665,-1278.0,740.3741816212248,10901.877206895726,-4075740.993824,1066.1049732763568,736.7111914545764
118.87937854243476,-3383.865463,-37658.942794,-1.6338632442191E7,-1333590.0,-908466.541377,-1689.0,564.5208331771245,-1312.0,794.6842595608077,10661.815216072895,-4432146.795997,838.6145726212741,742.7984517100411
120.5228252744754,-3130.846523,-36230.351384,-1.6323699294128E7,-1340569.0,-917346.966022,-1699.0,598.955142630232,-1273.0,776.8599355828364,10371.600211307159,-4415026.781426,868.5328439687663,750.6662848415201
136.29507955746865,-3569.679847,-36188.765411,-1.6524922266392E7,-1332893.0,-975679.459174,-1691.0,490.2552215052497,-1293.0,799.000545915522,10966.685138374512,-4309243.027807,904.9306708434774,747.43577957316
128.519229797346,-3457.620849,-35384.780614,-1.5031792933444E7,-1341742.0,-908093.175912,-1695.0,461.81210192903865,-1537.0,734.7460492022088,11342.158315962084,-4616541.786648,888.9067219027663,760.2705046619554
118.964065092432,-2976.305374,-35412.058867,-1.4982519499717E7,-1592215.0,-925845.772709,-1689.0,455.837981674582,-1281.0,805.9450752661193,10970.661301191589,-4455516.336445,903.6789103218658,789.2835541962227
119.0171304469634,-3148.28364,-35703.986196,-1.4584421282672E7,-1337991.0,-966731.446511,-1699.0,493.3075619568593,-1296.0,787.980272553866,10321.898666141551,-4533721.906914,924.1970950378342,835.4939152604326
124.36072287175844,-3297.744055,-34802.269445,-1.367263930995E7,-1338771.0,-930619.697671,-1726.0,600.8516314899588,-1282.0,772.4599423452715,10453.545897503122,-4295741.298103,901.5560215696828,802.2146191311032
118.99524577590961,-3410.305591,-35521.334298,-1.2895001338335E7,-1497800.0,-962169.788743,-1698.0,467.46344033291194,-1274.0,788.133062274645,9869.771695165553,-4522862.252256,920.7225848509257,848.6629432126368
125.72205348094396,-3010.638522,-34470.389651,-1.3324295490073E7,-7784386.0,-881104.876117,-1695.0,533.6064468694938,-1408.0,718.0779437460563,10189.112708330784,-4582949.796289,924.6133906489656,871.2083197375529
114.64204594573596,-3451.086133,-35290.302874,-1.3238091995183E7,-1572080.0,-907142.884742,-1693.0,536.9940552015522,-1277.0,766.9102902144623,9921.366881211872,-4431141.855246,970.5806791508664,790.9760999695528
121.65386432084875,-3393.7284,-35342.560734,-1.2200414421096E7,-7685340.0,-958634.053679,-1696.0,453.168776386965,-1287.0,739.9470481318787,9154.19236497802,-4412427.659154,933.958999546702,780.4171985733121
7.956215939814121,-462.15783,-3039.927096,-3880858.335058,-216367.0,-30391.168538,-1278.0,17.6450739792591,-213.0,15.499945872059357,4690.233514313579,-114816.362757,16.197091440766233,11.567871385031467
7.817781157770343,-491.04962,-2982.959445,-3881189.819207,-214594.0,-26338.801442,-1283.0,17.162506989907616,-206.0,15.385995461388514,4971.68826265419,-121123.098119,15.148932981136577,10.835764879645684
