folds:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
ACSF1,-6422395.181105,-6264369.922586,-6686805.506112,-6839158.303953,-6633230.790173,-6798880.690375,-6749149.491587,-6725594.452625,-6473650.797496,-6816888.633771,-6894388.476551,-6335161.967449,-6430418.912214,-6701235.740336,-6606873.498398,-6564649.392861,-6686627.141933,-6563748.01034,-6629656.885423,-6566881.492533,-6479152.548117,-6407788.809437,-6654006.31416,-6543825.835146,-6495082.338074,-6227382.888257,-6179542.195576,-6583050.612187,-6375190.306229,-6707267.205093
Adiac,-1.4751059107105E7,-1.450584523941E7,-1.2732524858692E7,-1.3108335081965E7,-1.3280294414089E7,-1.3280139546777E7,-1.3168596178826E7,-1.4010883288989E7,-1.4120294504538E7,-1.3381206911485E7,-1.4435948851212E7,-1.4434649965945E7,-1.3616030406504E7,-1.3305246556728E7,-1.2787201878785E7,-1.376436332903E7,-1.3309629238762E7,-1.642626926549E7,-1.6157442622799E7,-1.6338632442191E7,-1.6323699294128E7,-1.6524922266392E7,-1.5031792933444E7,-1.4982519499717E7,-1.4584421282672E7,-1.367263930995E7,-1.2895001338335E7,-1.3324295490073E7,-1.3238091995183E7,-1.2200414421096E7
ArrowHead,-3880858.335058,-3881189.819207,-3883286.389901,-3963398.043816,-3873445.948296,-3917530.903845,-3933191.781977,-3888443.148727,-3865235.620396,-3873605.060722,-3901078.398195,-3968809.654626,-3923352.499607,-3934287.913278,-3967380.143685,-3976272.005358,-3959565.523092,-4015222.317629,-3987294.88637,-3963556.385173,-3965119.149797,-3934847.036437,-3917382.846348,-3940271.528051,-3922090.442869,-3932152.29389,-4018613.099891,-4020992.650544,-3861023.550482,-3928361.195942
Beef,-3987000.974104,-3936820.652991,-3954920.495187,-3923001.636579,-3906581.832394,-3915944.020579,-3930602.281143,-3875265.666035,-3962823.631287,-3982407.424779,-3985422.777537,-3898425.627338,-3938249.380932,-3930279.579518,-3951338.581537,-3926797.25887,-3942965.901974,-3915177.69561,-3928124.956378,-3957340.394837,-3930982.407758,-3985366.653701,-3907485.474315,-3952349.564243,-4014874.985967,-3908581.748068,-4015632.483696,-4013534.703719,-4013751.283551,-3985832.428594
BeetleFly,-3875008.017156,-3876691.12657,-3854175.661923,-3834111.760849,-3837270.354045,-3854932.6871,-3870114.847936,-3853534.54097,-3840603.244332,-3854209.559204,-3835180.278709,-3854704.177263,-3844789.888479,-3876281.662321,-3844564.919927,-3876726.161886,-3878663.817923,-3871515.007038,-3861099.000207,-3873743.498819,-3855737.888327,-3844615.912972,-3871794.484385,-3877319.758466,-3869413.890799,-3865564.986963,-3848800.196184,-3840883.523934,-3825510.09645,-3825960.484856
BirdChicken,-3833276.705505,-3831919.258554,-3852048.183019,-3858733.113879,-3851653.502797,-3852120.762785,-3856674.74244,-3848488.549301,-3855985.875853,-3822153.587581,-3869215.424428,-3864369.373349,-3853752.627078,-3840393.607667,-3855351.977834,-3840475.582491,-3831706.562698,-3851270.429292,-3861628.391467,-3864350.822665,-3860378.504985,-3862729.987735,-3790070.420993,-3833176.298572,-3824257.124666,-3846021.720492,-3746467.819056,-3741467.040499,-3744323.853126,-3771500.277075
BME,-319458.834022,-312642.056115,-294505.785253,-312389.649862,-306325.409099,-318161.224749,-313994.145268,-296430.00414,-288676.687785,-307860.251333,-312636.191818,-334343.156792,-324370.642178,-336703.758189,-320519.236576,-341633.267671,-321696.017329,-313622.013537,-335698.183437,-344760.720659,-344021.294048,-345210.101955,-334140.066959,-340923.802514,-345689.55355,-337745.966742,-280819.313601,-281582.031348,-273476.611224,-277083.344097
Car,-4467641.565653,-4526072.471129,-4544756.685231,-4503866.115055,-4443242.912781,-4470034.776168,-4485652.390106,-4539730.997816,-4456288.424836,-4504598.728933,-4438340.264509,-4625219.110747,-4750779.809883,-4721494.265512,-4702573.030017,-4710872.529362,-4746761.46595,-4653782.489673,-4731497.481249,-4665379.034432,-4641817.925043,-4756587.707619,-4739952.724646,-4681570.82624,-4693755.961773,-4661148.948405,-4343645.956128,-4366172.945747,-4292913.900318,-4343719.732763
CBF,-310381.25686,-302965.939052,-286269.165234,-301588.686317,-307179.462493,-298176.719751,-304967.051118,-317299.206956,-292746.439797,-308209.206538,-301835.629686,-319332.350368,-301434.873498,-346375.677166,-353439.48295,-343130.365977,-334419.949107,-344066.378515,-336082.395547,-338356.576308,-340521.125981,-342497.751745,-347636.847857,-342668.912359,-334444.993233,-329275.664527,-237854.085581,-231873.45044,-229749.696514,-226902.954419
Chinatown,-65829.164229,-72548.819919,-75053.868436,-74850.395084,-77524.37613,-77147.804668,-74736.820439,-70980.562149,-70947.621376,-74553.780691,-72553.051936,-79733.889027,-82188.412846,-80299.973845,-79145.404626,-83654.563736,-86241.742038,-79944.194866,-80557.033938,-84001.897084,-81188.76927,-79628.245497,-82094.412697,-73778.363407,-82693.494593,-82003.695979,-37558.630321,-42216.478408,-38278.615499,-39162.650385
ChlorineConcentration,-1.3732360348903E7,-1.4226932480924E7,-1.468122836206E7,-1.4301577693878E7,-1.7610714898412E7,-1.5100815961914E7,-1.4141450435505E7,-1.7925592002758E7,-1.7962379411225E7,-1.7601109672873E7,-1.8054049893748E7,-1.7978176530999E7,-1.7605210670317E7,-1.7861777713888E7,-1.7962964538818E7,-1.8123186196877E7,-1.7890892622204E7,-1.7925762400056E7,-1.7941490724521E7,-1.8313298054269E7,-1.7736430312464E7,-1.7820961861196E7,-1.4635280510169E7,-1.4920006183877E7,-1.5065923664468E7,-1.472160756079E7,-1.4754172568641E7,-1.4750418659262E7,-1.4864972826454E7,-1.4728038830503E7
CinCECGTorso,-4316846.034081,-4258447.151714,-4251774.32407,-4237624.136799,-4258791.497389,-4268172.534057,-4267768.045145,-4382949.074155,-4255601.884276,-4250034.949748,-4288447.545351,-4328815.861103,-4336613.774793,-4334338.033764,-4311070.084239,-4323564.028076,-4403499.904581,-4479502.08459,-4402532.990037,-4369593.151486,-4391573.232052,-4352570.807682,-4258155.883922,-4279702.17733,-4240047.591781,-4264149.059368,-4262605.976784,-4271133.177326,-4302706.292514,-4243639.719742
Coffee,-3769785.171681,-3756797.251443,-3795373.651544,-3801912.308299,-3797462.18219,-3926225.238817,-3913674.454345,-3886680.764693,-3872298.374261,-3864526.744367,-3892932.081593,-3868400.359444,-3780026.376817,-3784074.450615,-3781486.073675,-3788866.930654,-3806504.891596,-3803780.90835,-3791532.395472,-3800959.143154,-3804231.72467,-3781746.581425,-3788203.025546,-3791756.845618,-3780008.374481,-3758826.491974,-3783749.366155,-3779132.825911,-3776515.561848,-3775684.059113
Computers,-8701912.305019,-8666285.131491,-8753326.021131,-8814874.732024,-8822764.161099,-8952040.733134,-8784893.392186,-1.0827935906049E7,-1.0777632933411E7,-1.0694114272763E7,-1.0634146339364E7,-1.0700416229632E7,-1.1208885050472E7,-1.0952408947755E7,-1.1009695246805E7,-1.0662529589382E7,-1.0774722246964E7,-1.0910079971852E7,-1.085468226026E7,-1.1176561886628E7,-1.0805368662568E7,-1.0683749980522E7,-1.0406000043887E7,-1.0547003360542E7,-1.0577451808669E7,-1.0435353164791E7,-1.0595704832981E7,-1.0902846785612E7,-1.0796882773182E7,-1.0583179593827E7
CricketX,-1.52724055574E7,-1.5424490397349E7,-1.5238862329872E7,-1.5554651223438E7,-1.5282467833705E7,-1.5362324380384E7,-1.5236894938735E7,-1.1384299235319E7,-1.1432249522331E7,-1.1609754533432E7,-1.4403115001194E7,-1.4506668103649E7,-1.4453312000258E7,-1.4545559958997E7,-1.3224888770063E7,-1.3304165292146E7,-1.3102753242111E7,-1.4433565953546E7,-1.425004536679E7,-1.4540445054761E7,-1.4436418730828E7,-1.4145712149672E7,-1.4367079928534E7,-1.6035657537582E7,-1.582585387214E7,-1.572187586714E7,-1.6060042424973E7,-1.5925693838979E7,-1.5871935504024E7,-1.578261998725E7
CricketY,-1.5137296931163E7,-1.5402705840987E7,-1.5318652731752E7,-1.511598208961E7,-1.522238860567E7,-1.5341670804071E7,-1.5352199303603E7,-1.2722421232884E7,-1.256708545474E7,-1.2524147510611E7,-1.2550964189349E7,-1.2530758474659E7,-1.2478501157628E7,-1.2537919568482E7,-1.2236990417247E7,-1.4048014691126E7,-1.4268914296908E7,-1.4142743794671E7,-1.4215969791679E7,-1.4246492904434E7,-1.4192253451159E7,-1.4240254758896E7,-1.4244859403731E7,-1.4344431834892E7,-1.4205156670111E7,-1.4356753866805E7,-1.1933610119035E7,-1.1963791775641E7,-1.1981814492272E7,-1.1892520270209E7
CricketZ,-1.2867589782676E7,-1.399237940406E7,-1.4030942314925E7,-1.388620656781E7,-1.4093570715586E7,-1.3986388781634E7,-1.3991745819402E7,-1.4204232694563E7,-1.4066127334943E7,-1.3755892251912E7,-1.3109812578512E7,-1.2654202999229E7,-1.3034370492049E7,-1.391272731628E7,-1.5832382970704E7,-1.431553151167E7,-1.548350560068E7,-1.2060208200787E7,-1.2101938679916E7,-1.2062339950888E7,-1.2145806672208E7,-1.2062211849116E7,-1.3309166849408E7,-1.3079062969766E7,-1.1928370943894E7,-1.1949630015008E7,-1.2368719568679E7,-1.2070440445327E7,-1.2260382431371E7,-1.2120313608773E7
Crop,-2.0720290324032E8,-3.02391147743295E8,-2.26655251373322E8,-2.96591191964443E8,-2.43531967625143E8,-3.09178366296346E8,-3.03674532268442E8,-2.83691837344063E8,-2.99810808161106E8,-3.11138636083151E8,-2.91547608570211E8,-3.08108154551637E8,-2.27812230437655E8,-3.06666549038329E8,-2.95194808360991E8,-2.95790251902264E8,-2.95167387440216E8,-2.88072329162553E8,-2.96357134537095E8,-1.84287823145571E8,-2.38258926490409E8,-2.3725112877001E8,-2.41422603231528E8,-2.38369976760661E8,-2.38742554728912E8,-2.39445601422855E8,-2.3922248391235E8,-2.40562367012126E8,-2.41544806406136E8,-2.24687857033171E8
DiatomSizeReduction,-238384.15632,-228464.017051,-310030.429644,-249466.00103,-247761.182569,-243118.633912,-250411.234598,-243905.605865,-229740.489892,-196141.683452,-260109.177503,-235251.134669,-225668.83567,-244250.216592,-235554.039634,-218348.432729,-194275.953537,-186254.066993,-218944.153081,-298225.084332,-220978.061508,-225591.045914,-232618.911602,-232916.430392,-290270.432794,-216552.917863,-239533.08828,-232449.610191,-225773.43301,-222693.433758
DistalPhalanxOutlineAgeGroup,-1.135773191459E7,-1.1580716139434E7,-1.1749891055846E7,-1.1716024182983E7,-1.1872116751455E7,-1.1943580378849E7,-1.1455028320559E7,-1.1623800222222E7,-1.1218609639715E7,-1.1363776392554E7,-1.2010251059977E7,-1.1332440840997E7,-1.1483160631754E7,-1.1801042616556E7,-1.1744887175242E7,-1.1743162904863E7,-9254820.105479,-1.1183595194108E7,-9078206.881857,-8967694.11647,-9602755.785302,-9286211.717516,-9090328.034687,-9166011.45336,-8364757.648182,-8571012.376337,-8632731.65677,-8294356.478444,-8470921.978343,-8863520.345717
DistalPhalanxOutlineCorrect,-1.595674632404E7,-1.4523344851551E7,-1.3895106016479E7,-1.5332405093763E7,-1.647092919419E7,-1.3711551325914E7,-1.3588813476069E7,-1.3484757373091E7,-1.5392672643426E7,-1.6806660653308E7,-1.6800688099581E7,-1.3651127247701E7,-1.3446057210069E7,-1.4774390924568E7,-1.5245051508626E7,-1.7342918945353E7,-1.7810750563869E7,-1.5789698398316E7,-1.6937183251426E7,-1.7030572630714E7,-1.5057259363558E7,-1.7128433589245E7,-1.6349878270869E7,-1.6607082748915E7,-1.5987439747877E7,-1.3195582779283E7,-1.3149551501573E7,-1.6957136895065E7,-1.8166845599865E7,-1.6672245158311E7
