folds:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
ACSF1,-4.0791314157717E7,-1.7763167394318E7,-1.769773531193E7,-1.7535310673295E7,-1.724362775422E7,-4.0578320706017E7,-1.724257366359E7,-1.6968800367137E7,-1.6977925736696E7,-1.7120427245745E7,-1.6325351041496E7,-1.8344869752679E7,-1.8322679959487E7,-1.7675676063685E7,-1.7094208193839E7,-1.7854745699452E7,-1.785069844949E7,-1.7898893624776E7,-1.9381657987169E7,-1.656007544304E7,-1.7515697512687E7,-1.7064514285966E7,-1.6336859838461E7,-1.7435985431021E7,-1.8359187139285E7,-1.8147393701612E7,-1.6192267739728E7,-1.7055379868048E7,-1.7731251618507E7,-1.637923948355E7
Adiac,-4340052.816777,-4414742.456883,-4226063.144203,-4160364.694907,-4187492.768045,-4185587.463195,-4137236.663866,-4272176.869885,-4076204.087,-4223709.522037,-4110742.30488,-4145298.164557,-4209264.527988,-4194052.621354,-4083552.778934,-4143391.789658,-4226339.553848,-4265881.805562,-4075740.993824,-4432146.795997,-4415026.781426,-4309243.027807,-4616541.786648,-4455516.336445,-4533721.906914,-4295741.298103,-4522862.252256,-4582949.796289,-4431141.855246,-4412427.659154
ArrowHead,-114816.362757,-121123.098119,-129547.239227,-135781.773898,-138032.270974,-121426.243944,-119900.47293,-129036.025736,-151846.45236,-155479.375263,-139038.599369,-147904.265478,-147969.407901,-151994.309544,-154385.942032,-159542.968455,-141956.016234,-147245.395908,-151243.318266,-147407.331451,-164547.563942,-147869.232846,-146808.212521,-148509.159699,-156648.524635,-157963.669435,-160541.843729,-151925.111778,-152990.046728,-153436.390995
Beef,-494747.495206,-469644.836153,-480856.344629,-484956.050159,-490980.782969,-452678.903686,-508708.721521,-544749.80908,-492203.827198,-478583.351127,-487949.412992,-468668.943707,-463023.321416,-465180.611087,-496179.908447,-481798.271283,-498808.831805,-457381.946753,-460240.185345,-483296.107844,-468797.011268,-500456.931214,-466321.495991,-511116.369227,-473236.298675,-470832.011931,-480782.270569,-479016.191418,-465237.843818,-427227.980751
BeetleFly,-178876.047462,-182769.231374,-181651.049017,-194477.730215,-186923.795698,-190679.743011,-201626.175672,-176883.934556,-174748.228997,-192334.593137,-193614.511661,-187475.255737,-195063.60277,-167957.08539,-191503.591274,-201598.90569,-179403.753604,-189673.540167,-187862.167003,-181093.452781,-177156.963327,-190393.413621,-190255.979789,-196577.27842,-192989.430269,-179368.596985,-188207.476602,-175025.481616,-193467.808652,-195375.092203
BirdChicken,-164591.491886,-155470.877407,-161612.070025,-160992.180395,-175030.984003,-187500.681332,-167828.293272,-164879.600995,-156347.328059,-165720.908067,-174305.444638,-160214.622295,-172208.665145,-175393.199592,-159850.652074,-177743.329928,-150369.041129,-149944.977949,-154486.76302,-146035.303276,-138815.981875,-153324.477728,-142573.425198,-149515.682573,-151059.767892,-154574.663539,-142752.590246,-148091.843211,-138132.887185,-145962.677331
BME,-33486.674595,-34229.756384,-32668.929884,-31955.455338,-33333.430427,-33186.869764,-31156.877275,-33491.680366,-33430.967035,-33056.430335,-32868.39552,-33478.846008,-34208.402602,-33616.905979,-31036.838859,-33466.890536,-34091.022991,-32280.089062,-33210.313645,-33210.487738,-31384.361143,-32747.882372,-34143.657693,-32934.830513,-33188.445376,-31583.853997,-31559.356052,-33024.459606,-32559.754901,-32360.814366
Car,-1055913.491211,-1041703.768844,-1110689.385233,-1053289.496041,-998881.400417,-1095071.553464,-1000703.643457,-1101864.183165,-1051673.511344,-1093501.952341,-1023132.927264,-1070411.146142,-1056921.583876,-1070601.22833,-1312794.811173,-1268424.036101,-1315272.642818,-1316492.95898,-1240488.607975,-1309983.509507,-1228958.860174,-1258587.727839,-1291465.374302,-1300619.893054,-1279817.318793,-1251589.72396,-1260379.960556,-1323601.588622,-934000.265668,-923697.796102
CBF,-30338.560631,-28523.327375,-29007.844027,-30807.013573,-30971.772215,-31700.855063,-32667.803115,-35401.965952,-35900.469776,-38071.01765,-39876.409911,-32780.468161,-41022.814446,-42039.297194,-38012.828539,-36980.433352,-40679.486995,-42130.812661,-39752.685108,-36896.82676,-29600.748428,-30288.3138,-32087.359935,-30980.797954,-29428.248171,-29809.5992,-32110.211147,-29236.425486,-31849.713163,-30124.502207
Chinatown,-2455.928406,-2341.720871,-2128.500232,-2055.498254,-2308.912726,-2727.856566,-2479.633271,-2645.821998,-2296.874833,-2730.950452,-2581.587796,-2053.851716,-2320.515526,-2604.650566,-1838.461607,-1953.412343,-2446.91608,-1845.207663,-2274.711594,-2427.57362,-1890.13048,-2185.478433,-2207.766226,-2218.791855,-1919.809561,-1906.558192,-2006.411686,-1775.210293,-2426.170068,-2504.658404
