folds:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
ACSF1,745.641942315364,779.2128232922464,778.0815804435699,754.394713390588,788.1334853368577,741.6870245555507,794.7722485673348,813.1526765807154,751.0428177809586,754.8863379105806,774.0905533895279,776.2732356263396,783.8375597833343,777.0687161171098,778.3734729540289,770.8030868715534,776.5067516864151,741.5054795899474,803.5218203567138,766.5055961026626,754.3914208295265,728.4659239381313,810.89863636534,796.5710363400398,818.3379945119013,741.936115830216,749.9412935545605,752.4332203040018,760.6593893648353,725.2080502320692
Adiac,120.47275874999511,126.03415054841413,121.30138969804781,134.58773946434843,123.86603545490247,123.45210336910013,120.48904076236869,127.94345142807347,119.40746596710386,127.78799845615812,121.68541984478715,118.30209424792433,128.43207415942783,129.32309265750828,127.90864055689889,127.8043419886687,131.80737350720375,115.26403738689321,116.36198898812327,118.87937854243476,120.5228252744754,136.29507955746865,128.519229797346,118.964065092432,119.0171304469634,124.36072287175844,118.99524577590961,125.72205348094396,114.64204594573596,121.65386432084875
ArrowHead,7.956215939814121,7.817781157770343,7.788910862568827,7.8397229338468435,7.91425934493957,8.17749115263673,7.6308566543191985,8.269977299749906,7.895378186328438,7.722919109353956,7.80314175568547,7.731349627606808,8.068039521707439,8.033792671223322,8.059453729808439,8.07543880549715,7.781652101015951,7.991342490300133,7.6376866837815145,7.962972827083707,7.999731126465796,7.6901449808571005,7.8398647169368605,7.835821146118189,8.018830955237634,8.063509375136613,7.81662849942431,7.824682380674805,7.805296873346474,7.949951426134422
Beef,20.88744467298266,19.40233226236154,19.570969753751076,19.326094701002585,20.27723990867555,20.148876240930704,20.255713474810253,18.929765729728675,20.58466313878837,20.18007172125947,19.446449062404266,19.3105252926079,20.75370992955586,20.13390252376277,19.283797214485553,20.40407205748641,20.424240190422047,19.027250311048718,19.559018340488628,20.642922629248755,19.571575723534238,19.696485335780036,19.382133798705514,19.261748722746468,19.31173628566123,19.722359548988415,20.112738901177458,19.651499549082033,19.665043196898832,19.643708457781877
BeetleFly,14.474300520486493,14.759187487917824,14.926030756768075,13.61938629721819,14.078142422650437,14.555805459571543,14.16498893786043,15.006802538167076,14.502560657580021,14.655661095598632,14.551251422865413,15.08669392802404,14.905668768638703,14.057828206839535,14.483029808285615,14.065931659998881,14.870853945561588,14.128309466427453,14.546130097816418,13.601191896648444,14.823183330344147,14.37858611162772,14.587403965854243,14.614742082226305,14.34719606178327,14.095646928445323,14.517197265316803,13.550038780203128,14.74483908079778,13.930691668606944
BirdChicken,13.448916497440784,14.252532411073373,13.804568994882498,13.529592829034327,13.565729911121949,13.92227313585495,13.538243143138358,14.29378930542189,14.186945834944632,13.33372835559949,13.98785388455593,13.653191531402717,13.241093877542133,13.246288281388454,13.414355246872942,13.604386324595046,14.319217005821566,14.034785912727868,13.550093008471821,13.142991971593146,13.814670339223872,13.225263869920893,13.573780347643853,14.000117990151876,14.079644030263845,14.088469441247769,13.579298362164428,13.700958046544233,13.860510761675625,13.979523366758135
BME,2.0169499321597044,2.006289091387152,2.0049230545787626,2.1882589514674216,2.433423726456093,2.486331480277182,2.200374785858535,2.4255316095057515,2.4720870595653883,2.2398218741243943,2.252303209196519,2.3707817686097985,2.508183076376787,2.247847672890965,2.281209312698212,2.3788514997623182,2.3125411558352713,2.1495137145905363,1.9142952140224543,1.9504114190267492,2.337527145998806,2.626658779171606,2.067743046976703,2.3566478551629944,2.218530667360799,2.2000198933371475,2.4047511706444697,1.7860992114193346,1.8808252854224605,1.7875201982381295
Car,69.68968408697295,73.81596852481955,73.29788063555569,70.85054970419803,70.49152069632457,73.73177092917585,70.24624282525953,73.79051345914796,70.53087060285233,71.70032020964237,72.19301560519322,70.94687838878146,69.7076219830649,70.23138653217467,71.2660169590647,74.59052131668601,73.21184037777772,70.46696058857135,70.95229567466203,70.91183748763538,69.74327781639006,74.11120107384494,73.19801925004928,69.99263007271074,74.2749275187777,73.52218357553394,73.11908368293832,69.96922710747563,69.74559034342316,71.10856552260044
CBF,2.284077355042054,2.274704059299229,2.2060310720807297,2.2051657681671575,2.331226501981227,2.3129728048108644,2.258631882955081,2.0870838127920885,2.4972085024445656,2.1327011328648466,2.5590483826420996,2.349537572785683,2.4473295423885744,2.250129157356418,2.4168949246552076,2.340474812422249,2.305526612335784,2.271910475642145,2.642571713224319,2.2421820622572928,2.38274447059058,2.260849418104083,2.1180072106112404,2.1894240854603355,2.163082823267865,2.335127740852765,2.319178803613546,2.1313051744339644,2.2216820920131704,2.2576504593961477
Chinatown,0.29044517697181194,0.30400536464163425,0.3663796911878845,0.25917194664886967,0.2695543737154668,0.2363389760163944,0.26783631362458993,0.23728213737985482,0.23321703510040795,0.2816313761944823,0.250513392406152,0.27393754516224156,0.286581184382801,0.22868242129973262,0.20731309001903914,0.30928553188071223,0.3093510384028454,0.33791913254678163,0.3571622780682916,0.26274013071193897,0.3473875345542172,0.16736955816333823,0.2969497194572437,0.43612292454751084,0.23909762156615488,0.21845565943293013,0.31519153276102874,0.28439258667129924,0.3491164828905985,0.2760697562465464
