HIVE-COTE v1.0_VS_HIVE-COTE v1.0
Wins(0):
Draws(108):,ACSF1,Adiac,ArrowHead,Beef,BeetleFly,BirdChicken,BME,Car,CBF,Chinatown,ChlorineConcentration,CinCECGTorso,Coffee,Computers,CricketX,CricketY,CricketZ,Crop,DiatomSizeReduction,DistalPhalanxOutlineAgeGroup,DistalPhalanxOutlineCorrect,DistalPhalanxTW,Earthquakes,ECG200,ECG5000,ECGFiveDays,ElectricDevices,EOGHorizontalSignal,EOGVerticalSignal,EthanolLevel,FaceAll,FaceFour,FacesUCR,FiftyWords,Fish,FordA,FreezerRegularTrain,FreezerSmallTrain,GunPoint,GunPointAgeSpan,GunPointMaleVersusFemale,GunPointOldVersusYoung,Ham,Haptics,Herring,HouseTwenty,InlineSkate,InsectEPGRegularTrain,InsectEPGSmallTrain,InsectWingbeatSound,ItalyPowerDemand,LargeKitchenAppliances,Lightning2,Lightning7,Mallat,Meat,MedicalImages,MiddlePhalanxOutlineAgeGroup,MiddlePhalanxOutlineCorrect,MiddlePhalanxTW,MixedShapesRegularTrain,MixedShapesSmallTrain,MoteStrain,OliveOil,OSULeaf,PhalangesOutlinesCorrect,Phoneme,PigAirwayPressure,PigArtPressure,PigCVP,Plane,PowerCons,ProximalPhalanxOutlineAgeGroup,ProximalPhalanxOutlineCorrect,ProximalPhalanxTW,RefrigerationDevices,Rock,ScreenType,SemgHandGenderCh2,SemgHandMovementCh2,SemgHandSubjectCh2,ShapeletSim,ShapesAll,SmallKitchenAppliances,SmoothSubspace,SonyAIBORobotSurface1,SonyAIBORobotSurface2,StarLightCurves,Strawberry,SwedishLeaf,Symbols,SyntheticControl,ToeSegmentation1,ToeSegmentation2,Trace,TwoLeadECG,TwoPatterns,UMD,UWaveGestureLibraryAll,UWaveGestureLibraryX,UWaveGestureLibraryY,UWaveGestureLibraryZ,Wafer,Wine,WordSynonyms,Worms,WormsTwoClass,Yoga
Losses(0):

HIVE-COTE v1.0_VS_TS-CHIEF
Wins(26):,ACSF1,CinCECGTorso,EOGHorizontalSignal,EOGVerticalSignal,EthanolLevel,FordA,Haptics,HouseTwenty,InlineSkate,LargeKitchenAppliances,MixedShapesRegularTrain,Phoneme,PigAirwayPressure,PigArtPressure,PigCVP,RefrigerationDevices,Rock,ScreenType,SemgHandGenderCh2,SemgHandMovementCh2,SemgHandSubjectCh2,ShapesAll,StarLightCurves,UWaveGestureLibraryAll,Worms,WormsTwoClass
Draws(3):,Computers,MixedShapesSmallTrain,SmallKitchenAppliances
Losses(79):,Adiac,ArrowHead,Beef,BeetleFly,BirdChicken,BME,Car,CBF,Chinatown,ChlorineConcentration,Coffee,CricketX,CricketY,CricketZ,Crop,DiatomSizeReduction,DistalPhalanxOutlineAgeGroup,DistalPhalanxOutlineCorrect,DistalPhalanxTW,Earthquakes,ECG200,ECG5000,ECGFiveDays,ElectricDevices,FaceAll,FaceFour,FacesUCR,FiftyWords,Fish,FreezerRegularTrain,FreezerSmallTrain,GunPoint,GunPointAgeSpan,GunPointMaleVersusFemale,GunPointOldVersusYoung,Ham,Herring,InsectEPGRegularTrain,InsectEPGSmallTrain,InsectWingbeatSound,ItalyPowerDemand,Lightning2,Lightning7,Mallat,Meat,MedicalImages,MiddlePhalanxOutlineAgeGroup,MiddlePhalanxOutlineCorrect,MiddlePhalanxTW,MoteStrain,OliveOil,OSULeaf,PhalangesOutlinesCorrect,Plane,PowerCons,ProximalPhalanxOutlineAgeGroup,ProximalPhalanxOutlineCorrect,ProximalPhalanxTW,ShapeletSim,SmoothSubspace,SonyAIBORobotSurface1,SonyAIBORobotSurface2,Strawberry,SwedishLeaf,Symbols,SyntheticControl,ToeSegmentation1,ToeSegmentation2,Trace,TwoLeadECG,TwoPatterns,UMD,UWaveGestureLibraryX,UWaveGestureLibraryY,UWaveGestureLibraryZ,Wafer,Wine,WordSynonyms,Yoga

HIVE-COTE v1.0_VS_InceptionTime
Wins(2):,ItalyPowerDemand,MoteStrain
Draws(12):,BME,CBF,Chinatown,DiatomSizeReduction,ECG200,ECGFiveDays,GunPoint,SmoothSubspace,SonyAIBORobotSurface1,SonyAIBORobotSurface2,TwoLeadECG,UMD
