TRAINTrainTimesBenchmarked,HIVE-COTE v1.0,TS-CHIEF,InceptionTime,ProximityForest,cBOSS,Catch22,ResNet,ROCKET,WEASEL,TSF,BOSS,RISE,S-BOSS,STC
ElectricDevices,-2.013206246482645E8,-2.85765866592515E7,-2.2124761E7,-4202613.918994499,-1.26031847364895E7,-48404.2256645,-34792.0,-138698.5,-2.68775009E8,6415.422448742428,35082.297069320324,6936.992277916718,128951.10753538314,125268.76757479965
EOGHorizontalSignal,-1.301261998536E7,-8.29189333809795E7,-4738314.0,-2.55067915766115E7,-254506.884054,-6124.4695195,-4005.5,-6544.5,5537.7094881683615,1182.403272279018,6958.690062400208,1695.9833655315883,19752.753640530507,8126.950010679713
EOGVerticalSignal,-1.33996420231395E7,-8.7488376325961E7,-4729670.5,-2.4170789123657E7,-260200.7623525,-6110.49845,-4005.5,-6562.5,4758.364276185094,1307.7009028672244,8484.865188061256,1646.5020894191887,20385.414266356154,7896.060116628718
EthanolLevel,-1.9343661405906998E7,-1.7465611883893502E8,-8810515.0,-4.4856140675410494E7,-480866.042165,-9579.037829,-7337.0,-12467.5,2659.1193634785614,1898.6383606703025,18013.880556361066,2821.0086977405185,57122.44144479258,11386.298382906942
FaceAll,-1.46184560200765E7,-3132571.9160925,-1610209.0,-517928.359927,-71655.5616165,-3988.1733465,-2295.5,-1449.5,227.97922207420913,379.2776475903406,282.39243392292246,465.0741353452325,1095.5368266257583,9711.45705745863
FaceFour,-3756275.2562840004,-122602.0717625,-213415.0,-29672.556631,-2727.3545965,-536.9431199999999,-449.0,-152.0,9.62490978878122,16.58345346732093,9.594275036453945,17.111104102084788,17.71276973242685,4104.793948433734
FacesUCR,-7489000.589103499,-958510.8004855,-693571.0,-153280.647902,-15723.355685499999,-1612.462458,-1598.0,-495.0,66.30766154094997,142.9151625576038,41.30155381460277,136.62388731515563,132.348802339467,6413.927446559848
FiftyWords,-1.63595350632045E7,-1.4403718450774E7,-1908140.0,-3303993.709668,-91835.4468245,-5887.660324,-903.0,-2020.5,1775.604928681842,1632.7600059644292,630.6460028547307,1360.685024170407,2151.174136313223,9277.29957288738
Fish,-7146469.531324,-3012567.3001205,-1051479.5,-840808.135411,-32788.4437235,-1686.8635095,-698.0,-1362.5,344.72836436796956,220.28306040759918,257.584553166711,257.28231853691386,847.4162424610233,6578.626526380982
FordA,-1.029926299831645E8,-1.471652122916675E8,-2.16427455E7,-5.3999626734638005E7,-1.2843332875495E7,-23301.974514,-17810.0,-38101.5,20247.19315212989,6597.2585607958845,207258.65776013225,7406.632833892609,629942.6395465129,54122.381217779366
FreezerRegularTrain,-6352961.810525499,-430479.4690135,-744685.5,-241013.3413455,-18516.81989,-1071.9033975,-3640.0,-792.0,62.174269751573846,58.00418422821322,101.28857236402933,96.44379233050303,390.075605524068,6719.561901974175
FreezerSmallTrain,-3777877.4720835,-52726.371216,-212518.5,-27999.5653885,-2610.015147,-511.50497,-15688.5,-202.0,6.750451636540053,12.261371248569517,8.089093425416365,16.60101628439298,16.297442035115278,4802.184994542128
GunPoint,-617468.6255890001,-51363.3513485,-203622.5,-11334.2309795,-2755.0348095,-737.1066205,-338.0,-162.5,2.368879130350432,14.603115615425263,4.5085677103194985,14.569174370957366,9.662484218013784,554.0157146491974
GunPointAgeSpan,-5922525.684394499,-196542.548549,-532474.5,-39406.2259105,-7992.5995685,-1006.664023,-364.0,-412.5,10.730032557413814,32.99933182993517,19.39787041930684,48.26968886926055,56.704978854725006,5860.141184736585
GunPointMaleVersusFemale,-6091947.2841839995,-160828.935616,-532938.0,-29989.692629,-7948.1634905,-867.1971934999999,-362.0,-413.0,7.4886869314229605,28.08718113529968,19.626180973404885,42.6214391571463,56.212291152339205,6403.35504879978
GunPointOldVersusYoung,-5484190.443032499,-84803.7037825,-532979.0,-12451.809276,-8093.991188,-943.477401,-361.0,-371.0,11.805310436153139,17.52215205260245,20.242595156835776,33.76036266401006,56.89115314188926,5433.094090605561
Ham,-5786422.3244425,-1576959.739632,-653039.0,-485543.36375200003,-19065.1184655,-1211.9119635000002,-343.0,-809.0,74.21093754153114,82.99358453208418,129.3705414044524,84.03998961457572,456.2755835463647,5988.479716961625
Haptics,-7327853.994871,-1.6214315680103E7,-1862688.0,-4633807.541833,-60223.8221395,-2815.4702589999997,-731.5,-2579.0,475.5564617832266,403.74340437167683,1014.5387263552873,455.43885205522747,2731.9836587822397,6527.453896303072
Herring,-4356852.4762955,-946669.430706,-413950.0,-319732.24211,-10841.142262500001,-873.0187015,-319.5,-500.5,38.22185891549914,58.417136812495386,69.10783555882213,65.58547993086242,185.87926350047508,5043.128409196371
HouseTwenty,-4233778.0543235,-5832921.0470675,-826516.0,-1899021.8154870002,-22498.0985385,-1385.0865469999999,-563.0,-1142.0,183.2038389104609,106.08406538387639,469.08126460561857,114.32270027336679,889.3519220452966,4748.358540590236
InlineSkate,-6266550.163905,-3.7806852103855E7,-1927161.5,-9556554.507474,-56374.7289045,-2731.1888945,-1237.5,-2999.0,1104.1238137090531,445.8951476369508,1291.3261672183912,479.7726964409453,3449.761059011177,5430.087089346045
InsectEPGRegularTrain,-4304873.7963890005,-664090.7825035,-468453.5,-140855.895123,-12179.8677875,-929.297134,-492.0,-730.0,121.2400683156207,36.830629410631985,94.55558240333545,57.35048930921913,220.91215725550876,5164.198210321026
InsectEPGSmallTrain,-3750251.8120865,-162124.243917,-234399.5,-36021.608318,-2818.17872,-538.7670385,-1498.5,-198.0,28.42313206597643,13.89252138298166,15.899723739331552,21.685684951566113,24.525947613991015,4832.677778659483
InsectWingbeatSound,-7587015.915261,-2262459.222241,-922063.0,-486994.930652,-31340.0038455,-2120.2744365,-1130.5,-956.0,438.5576610888538,281.93937776034244,155.6013139264375,257.0135240495792,507.6899354142377,7081.949163270598
ItalyPowerDemand,-136088.413858,-10877.680599,-287962.5,-468.71470850000003,-382.789872,-439.89376000000004,-2418.0,-87.5,0.1489635000565674,5.093936926981167,0.6366493357489242,8.035889519651514,0.7798991424880342,71.81444431347329
LargeKitchenAppliances,-1.2633603996824E7,-1.37813426677575E7,-3077300.0,-4291637.856574,-127609.000103,-3996.40298,-1063.0,-4157.0,1119.7330465534355,697.5434884114461,1933.6991708055884,735.7417512728719,9642.984417438895,9564.052435603397
Lightning2,-4349916.6761205,-1337970.6449365001,-483367.0,-463838.4552405,-12795.4583255,-1156.4341829999998,-306.0,-684.5,57.57748527268362,54.763473122004086,96.86674089408251,61.87341392414633,249.17001434188518,5183.451794484614
Lightning7,-4446680.259096,-700730.4965625,-450524.0,-159363.11092150002,-8556.251252,-1016.4805315,-286.5,-447.0,60.119539424377734,64.42596787057198,36.695038396191364,60.40846950785703,88.03563293830771,5183.857102636284
Mallat,-4391996.190894,-3078160.518761,-615577.0,-909200.0260045,-15632.054435,-1108.044627,-3405.0,-1146.0,318.9188333048684,104.86597818649808,174.90575451805145,129.03951928391524,467.6581952295594,5162.888328072473
Meat,-4349392.694372499,-387870.381407,-366992.5,-115631.574823,-8457.577891500001,-805.0339215,-287.0,-499.0,34.913973326433926,31.025018146890865,38.515696507973104,46.84481235315124,117.43314133110637,5239.838539534716
MedicalImages,-1.0863022989842E7,-974005.7101605,-996768.5,-151260.95797350002,-27947.0810275,-2291.915021,-752.0,-822.5,59.28371213197386,257.225742728028,61.3960029300087,190.6497415349791,240.7295547198749,9247.677208826939
MiddlePhalanxOutlineAgeGroup,-1.1194194701161E7,-436409.00950100005,-1059514.5,-60994.1088855,-22649.761387,-1646.736787,-591.0,-740.0,21.709466718927562,116.94806340199862,38.808330188045716,102.26914220622022,146.33576206721733,9663.326364927465
MiddlePhalanxOutlineCorrect,-1.6775111814185001E7,-941296.4391055,-1512658.5,-132225.87580749998,-44107.633400000006,-2549.5958535,-906.0,-1156.5,13.699170124615016,193.10936892993573,81.04218987568498,193.0663989213361,406.6769843628862,13604.888061730277
MiddlePhalanxTW,-1.34359018863355E7,-575550.3430185,-1058949.0,-80089.77975,-23548.7164855,-2056.7416190000004,-593.0,-761.5,30.908348803566568,184.38980740197957,37.38137641902978,149.8539440755067,167.21722151801535,11060.738774006451
MixedShapesRegularTrain,-1.58297927858835E7,-4.1987125664897E7,-5198586.5,-1.22939606913385E7,-328289.613796,-5312.4374915,-3252.0,-7529.5,2151.8415592637193,860.1210599018115,9057.168353855272,1496.094693748525,20995.99109543726,10703.009059425836
MixedShapesSmallTrain,-5437807.622497,-5934940.247380501,-1107624.5,-1652346.715611,-32601.2907225,-1542.2856345,-2581.5,-1660.0,382.28771150107286,174.4710802813068,437.6855927511368,231.38865663169275,1043.2990430596674,5697.192050763395
MoteStrain,-100884.079415,-8336.567210500001,-165269.5,-1231.4668595,-781.032457,-353.4743205,-2719.0,-71.0,0.32159774999485147,5.159548626114487,1.0334393746613517,6.892924016721225,1.255733759696599,57.077400043298034
OliveOil,-3863120.9427279998,-325598.9140185,-289472.5,-91574.0141275,-4897.2429585,-657.7816965,-278.0,-429.0,30.456334939454912,24.836869157855578,24.577540498486734,31.12291287565322,59.94840020589942,4650.282972629098
OSULeaf,-7984847.69202,-3599775.9006615,-1205243.5,-979427.610419,-43226.989048999996,-1920.516474,-476.0,-1288.5,392.97279416003505,249.73080010849256,378.5108860371898,280.2244424005851,1179.371148618341,7131.0009176375615
PhalangesOutlinesCorrect,-5.0395365678641E7,-3773617.357453,-4355163.0,-525315.349522,-318812.32675949996,-7790.396891,-2685.0,-4978.5,52.58622202335308,821.7302202445019,883.6978996023672,831.1755138733041,4009.2972235009006,34926.79098393627
Phoneme,-1.2600324478905499E7,-8.9039134190578E7,-2318951.0,-2.2052237360648498E7,-106152.038313,-4351.792293500001,-2095.5,-3412.5,4189.371993282931,2285.7401767359606,2372.11654940907,1574.98910887292,7335.20600257807,7179.415050584743
PigAirwayPressure,-1.1198750928419001E7,-1.38268071706159E8,-2006888.0,-3.5205139516902E7,-63142.5242575,-3294.4595885,-2301.0,-2938.0,3078.611817166215,2068.8360611875214,1502.5946491579214,1538.9919606128244,4518.041980165101,6242.316299163241
PigArtPressure,-1.0654960406081E7,-1.23561184781527E8,-2013809.0,-3.2837867619032003E7,-60532.0403735,-3349.541547,-2300.5,-2945.5,3328.0547965977485,1764.1234410553448,1368.7494830238502,1464.0485459649576,4667.262453753296,6524.912442166182
PigCVP,-1.0707161247893501E7,-1.4908696939468E8,-2012691.5,-3.7507005792754E7,-68158.938734,-3541.573225,-2299.0,-2949.0,3164.950875290264,1889.1672512832085,1784.5298342080898,1531.6558924475066,5447.048746419256,6496.595637282337
Plane,-5812749.972513501,-192279.01755599998,-373405.0,-33376.8430275,-5965.391817,-786.2427,-721.0,-298.5,15.805483782064485,30.075047825202574,13.225408846177352,39.34837440760646,36.45096944493221,5832.216279914857
PowerCons,-7197043.6910689995,-344594.19114899996,-565517.0,-62496.072734500005,-13519.428137,-1147.820251,-811.0,-501.0,16.463540106000462,29.598122308034895,35.06530434384919,59.7641944093216,106.65306390359046,6802.480389950722
ProximalPhalanxOutlineAgeGroup,-1.1456894408034E7,-433243.5068425,-1061307.0,-64502.505811,-21530.405157499998,-1566.313466,-1490.5,-745.0,21.38990994133617,100.72966455109025,36.147304478369634,94.95173151619821,138.598809632133,9521.689142532607
ProximalPhalanxOutlineCorrect,-1.70439438426295E7,-845541.125443,-1513966.0,-114399.2472465,-39131.2050205,-2308.134317,-2237.5,-1154.5,16.90822889495837,185.3258808356889,75.19422445209855,171.19864265934467,401.6440820585491,13035.093917077633
ProximalPhalanxTW,-1.2287780657901E7,-502093.981157,-1066328.0,-72095.83548050001,-21342.0125305,-1649.126215,-1495.5,-742.0,33.24502261926618,117.54193272853661,34.21375988678937,120.76740517212761,174.10890486525074,9990.096426274886
RefrigerationDevices,-1.47189547642725E7,-1.95349732321285E7,-3097988.5,-5490084.0076235,-177656.2981365,-3905.3925845000003,-2733.5,-4158.5,1539.0020996548692,577.1260002846458,3078.276917379485,806.5931737448905,10205.059253298223,11006.34465867078
Rock,-4073547.604548,-5262068.277627,-652249.0,-1653505.3708845,-14656.602199,-1297.299853,-1068.0,-1354.5,163.97519370253085,89.13842698365829,351.8043154096888,88.93786824495442,491.5663729282621,4894.344266049886
ScreenType,-1.4575564853664E7,-1.6158618214207001E7,-3088407.0,-4933354.826845,-151450.427235,-4010.4534065,-2738.5,-4161.0,2002.2788796198556,704.3518979041577,2656.799287591224,816.7846365274193,9201.21293499562,10701.056738412353
SemgHandGenderCh2,-1.0155313758008E7,-8.66241456928685E7,-4561256.5,-2.53083160603775E7,-259745.627594,-6006.8205720000005,-4820.5,-6635.0,986.3093991236165,931.9865563854405,9399.37410560343,1012.9828425885498,22425.981649460584,7275.753288804886
SemgHandMovementCh2,-1.5147833236157998E7,-1.871417813524985E8,-6879691.0,-4.667351647187E7,-527569.843343,-9417.524225500001,-5815.0,-9723.5,2177.7332328847424,1652.9408038622164,20960.617332990347,1991.1119361295919,43158.29500302644,8646.115005047826
SemgHandSubjectCh2,-1.35801393963545E7,-1.732689774177785E8,-6879742.0,-4.4730246090223E7,-496008.4575965,-9468.8641375,-5814.5,-9735.0,2046.0453971516727,1233.7213165628173,21112.270739041072,1912.7101974678642,42169.170787510215,8531.104430647663
ShapeletSim,-3762207.678154,-241314.4320125,-229655.5,-91543.7217195,-3151.387632,-454.152998,-1512.0,-263.0,13.371758743574103,17.217667015296907,13.756448470689659,18.831716000635115,25.68439818784296,4750.168123141113
ShapesAll,-2.92918076828425E7,-7.636931444093451E7,-3683710.0,-1.9741036983274497E7,-258429.308421,-8570.973040500001,-3547.0,-4672.0,10501.185902768108,3389.3428255337276,3948.28102606837,3635.6499778508096,10146.314458344688,15176.74895798078
SmallKitchenAppliances,-1.26817743746055E7,-1.3371976372064E7,-3075943.5,-4063695.0673235003,-146757.729498,-4443.243971,-2735.0,-4160.0,6326.907195831977,484.09834952470493,2590.373278502439,718.7265591156684,7927.146023200599,9726.548097912053
SmoothSubspace,-585494.8245610001,-21140.748428,-415448.0,-936.6226959999999,-403.462624,-731.0444325,-648.0,-150.0,0.19176117444349766,11.221227267926508,0.4897467925556486,11.94383020062821,0.9187318138344007,324.6891341412309
SonyAIBORobotSurface1,-93201.676302,-7175.355329,-163398.0,-1036.1007975,-582.403577,-331.507291,-3653.0,-64.0,0.22155699785066008,4.4362242449424985,0.920657228371463,6.4848236607590275,0.7252473833201563,45.963240696501956
SonyAIBORobotSurface2,-115346.18215899999,-11713.21766,-166436.0,-1688.996741,-585.4443215,-334.6334605,-5670.0,-70.5,0.2549081488534116,6.098664301546052,1.03238242684961,6.372068444408647,1.049081253997405,65.39248324341756
StarLightCurves,-2.62619891602825E7,-5.7447239527674496E7,-1.03525675E7,-1.7051374155459E7,-800043.07544,-9198.8369205,-25397.5,-14974.5,5137.627364715848,1518.7466335704116,20322.646561256493,2651.59094613897,59340.35986291608,16171.844320239614
Strawberry,-1.59602827693955E7,-3712944.3633645,-2275166.0,-941467.1415865,-120456.02596599999,-2682.9613735000003,-1059.0,-2522.5,223.5503408716479,252.44475996432698,674.6549781283142,393.58976965049067,3912.9814172139963,12415.96177687883
SwedishLeaf,-1.53286237660135E7,-2103510.0271075,-1411670.5,-387447.085166,-53054.380432000005,-2886.8648599999997,-2202.5,-1285.5,318.0234951918895,351.59729874542563,176.88733803346724,389.26814665523136,668.1715015062982,12006.484096440268
Symbols,-3803547.0876965,-162664.1761665,-225828.5,-42535.0312795,-2860.1522665,-483.14278349999995,-5971.0,-186.0,22.103261452876247,26.146582673570663,10.059786031247569,24.134390524952835,16.572676794808224,4813.259054611044
SyntheticControl,-6079008.493122499,-240313.65662800003,-737974.0,-30126.0689985,-9280.423726500001,-1211.2559594999998,-1213.0,-466.0,12.996270280972366,47.19099719457998,15.92677869303665,83.28473281669167,41.94803916496258,4478.905631920037
ToeSegmentation1,-3935321.2494375,-143277.9086805,-232154.0,-57204.0602835,-3856.556305,-592.8881425,-1164.5,-194.5,9.165352908476244,23.422834343931974,12.108340841539412,22.91002645718545,23.275846970779916,4778.562167624782
ToeSegmentation2,-3899728.6094465,-160138.293557,-244080.0,-67059.95397999999,-4059.3687284999996,-598.008865,-1125.5,-267.0,19.469643764162804,21.458419947748617,15.122983442822711,23.444145573599187,28.8042445575578,4510.234913971073
Trace,-5679983.9965565,-359793.4117315,-477062.0,-88813.1155105,-9307.5973865,-978.032074,-694.5,-496.5,39.159294311926175,33.36923430456706,42.819813406814774,55.142200870237936,116.86257699912638,5927.1512036237455
TwoLeadECG,-119945.04037450001,-7144.536463,-166088.0,-1431.921286,-728.5149495000001,-376.6683805,-6491.0,-85.5,0.3142349634699468,6.839261506493854,1.0096166887596068,7.964563313878621,1.2537815884135495,65.78497238202857
TwoPatterns,-2.4714389025399998E7,-2397916.8101009997,-2779240.5,-434972.85963099997,-199572.7712245,-4741.948362499999,-6321.5,-2806.0,151.1405059914083,421.4131558099813,993.1017913966427,793.800923840913,3187.4038123520604,18039.048555758098
UMD,-460910.27985000005,-54272.950123500006,-187428.0,-11709.426809,-1853.6271415,-660.238828,-1154.5,-139.0,2.3113502020130037,14.956528002725635,3.3156760529952902,13.91440583665737,6.774651800158205,354.98747817415415
UWaveGestureLibraryAll,-3.03850255156255E7,-9.229066208598751E7,-9098740.5,-2.495931482539E7,-936397.440062,-10666.5565825,-13824.0,-12406.5,8334.231428909276,1500.576990065375,31981.913547870015,3080.5403803531917,66670.56325023426,17285.33242582282
UWaveGestureLibraryX,-2.82570669815955E7,-1.3239323562357001E7,-3952204.0,-3304599.0555825,-362549.6332945,-6745.684556,-7064.5,-4734.0,3867.4015522963155,911.1536821815273,4194.098672457386,1452.5047505973312,10360.369423200158,19292.673636743275
UWaveGestureLibraryY,-2.9402874236471E7,-1.31428213283235E7,-3959929.5,-3515289.5561535,-410480.06778299995,-7013.659105,-7063.0,-4709.5,17347.59972846303,1061.3129211133619,3948.941068323803,1456.2581253477465,10210.298429465996,19486.25540107821
UWaveGestureLibraryZ,-2.89853637471545E7,-1.2903844975276E7,-3962460.0,-3400194.1816605004,-399922.07443599997,-6939.914612500001,-7058.0,-4676.5,6722.261742198991,1000.7947925923345,3774.7301414087874,1520.2165563166868,10261.585054658472,19692.620791697896
Wafer,-2.09212263150225E7,-2020083.1892295,-2972359.0,-369686.27387150005,-180885.7143545,-3046.481106,-8065.5,-3134.5,51.595066655599666,195.39796597886493,601.7244034106196,365.02623826869626,4615.571190649071,16040.932334719517
Wine,-4233826.958172999,-179164.2240845,-252337.0,-54109.730246499996,-4204.691521,-701.9886975,-771.0,-242.5,10.06065359352575,25.19547247719818,9.740965239258106,27.17508674010685,31.80137305301505,4649.635609381825
WordSynonyms,-1.20026405984995E7,-4636159.652193001,-1169544.0,-1084066.903681,-38596.8334435,-3025.3785449999996,-1663.0,-1197.5,400.90296707802804,563.5713335665492,222.5780530837691,487.0973358946661,777.3748474025322,9399.606791626908
Worms,-8531828.8171815,-1.51256368768715E7,-1805660.5,-4217142.620443501,-68813.338368,-2463.875208,-1370.5,-2537.5,1077.9634907599482,365.2022652601662,1203.6031488206613,382.44882946577513,3794.948770666322,7153.758466167017
WormsTwoClass,-9209683.7551585,-1.19136669455745E7,-1799688.0,-4058525.3036905,-69620.83878650001,-2259.3520415,-1368.5,-2540.0,593.5123512511425,285.05517768184524,1187.2513247899515,343.30393257063304,3583.293328613955,7679.0828031709225
Yoga,-1.13903055087125E7,-4810834.517197,-1672960.0,-1421696.4986725,-66976.740365,-2321.9081805,-4945.5,-1993.5,220.42468144799258,278.53092758096426,583.6350831649647,400.21214559023946,2386.427810454671,9541.906833760373
