TRAINTrainTimesBenchmarked,HIVE-COTE v1.0,TS-CHIEF,InceptionTime,ProximityForest,cBOSS,Catch22,ResNet,ROCKET,WEASEL,TSF,BOSS,RISE,S-BOSS,STC
ACSF1,-6574966.05236,-1.7525504092991002E7,-1559679.5,-4938356.564236499,-43782.509147000004,-2290.2681945,-1407.5,-2336.0,3120.50610671549,362.66759395303893,772.4468201305407,292.7779610234818,2406.3829118534704,6230.613129693651
Adiac,-1.371850131949E7,-4246110.679705,-1339954.5,-957836.5550685,-35946.3758035,-3357.142734,-1697.5,-1279.5,800.9128435096368,914.5145352793695,122.56876160694364,535.3002510355229,762.8976723440267,10397.737648043661
ArrowHead,-3932672.0379335,-147936.8366895,-217013.5,-30362.850176,-3069.7411585,-487.437473,-1289.5,-208.5,11.232556460170297,18.88733639604773,7.867621451632649,19.045824957891476,15.539497202188192,4295.307264658688
Beef,-3940607.641453,-479899.2309935,-261474.0,-96925.1709885,-4536.4726145,-616.555954,-668.5,-356.0,32.96511196005427,32.33349205423181,19.658271372990434,27.843718558652892,41.36316844827594,3847.309498067145
BeetleFly,-3854818.4321815,-188940.5083845,-229845.0,-49990.252932999996,-3366.764868,-475.6974875,-665.0,-264.5,13.483894463088188,13.895423381125795,14.509878961448411,15.7553980561415,23.995106560086754,2228.5748994738356
BirdChicken,-3849879.4892964996,-155909.102733,-229579.5,-47033.63702,-3301.0002235,-441.4521185,-661.0,-266.0,13.649207536515242,15.098221970057896,13.677074788973474,15.304072985695951,21.917699773123836,2404.788425749911
BME,-318810.0293855,-33121.6500495,-176197.0,-6238.3271095,-1520.3163115,-512.6447115,-1077.5,-124.0,1.2597988243523623,8.508380826392962,2.24383477350768,11.271142903037687,3.6202338386642055,102.11196582934258
Car,-4584987.897989,-1106276.7841989999,-442257.0,-321733.0791065,-11087.640180499999,-940.802267,-725.0,-629.0,87.17179300273361,63.16079971473535,71.03043059863123,69.10876391284212,169.23237648777575,2631.635687567412
CBF,-313840.231908,-32098.785541,-176593.0,-6230.4934205,-1482.539822,-415.306694,-3659.5,-125.0,1.5936437137824049,9.37213945127045,2.273307267470687,11.941333172759581,3.951612933360862,138.02297141642396
Chinatown,-77336.09039900001,-2285.7932135,-160292.0,-96.625328,-202.4970765,-281.710024,-2333.0,-44.0,0.06613425082497296,2.6181784817069795,0.27885056622051435,4.418093011270958,0.23705750106134882,18.343534170865958
ChlorineConcentration,-1.7603160171595E7,-2871903.0796530005,-1523287.5,-549608.9949749999,-54294.800969,-3055.1353854999998,-4591.5,-1432.5,67.66292645140896,394.58232273581757,216.42002911961936,416.8538420962251,1396.070390879459,9223.242820226315
CinCECGTorso,-4284074.8613405,-5769121.792251,-738715.5,-1528600.5646310002,-18636.048471000002,-1300.315043,-7402.0,-942.5,141.3699264060574,94.5271728073088,286.1536549681646,107.01411751565922,631.6811549067035,3329.9971868943903
Coffee,-3791644.620545,-61634.666827,-210145.0,-13297.576029,-2660.123993,-520.904106,-916.5,-197.0,5.324261253003793,9.333155042478474,7.6560878366746286,13.162703024382601,15.344623785121282,4360.929750853076
Computers,-1.0673139784952E7,-9315019.945466,-2077031.0,-3408221.4743195,-81733.329423,-2724.0103280000003,-1828.5,-2667.0,1864.5948568395843,354.00342747390016,1198.723277584857,388.0662401763233,4342.751985781148,5983.904870876506
CricketX,-1.4543002506879E7,-8272153.711142,-1780432.5,-1731778.122957,-92334.2932905,-3759.0322845,-1902.0,-1947.0,831.4085992582974,559.6486581366703,887.3810392640999,601.9900144124902,2606.037821529295,8259.42378435798
CricketY,-1.4198705060635E7,-8410683.173727,-1771457.0,-1684109.6277545001,-92359.1962455,-3803.511931,-1898.0,-1944.0,874.5731656018968,583.2661190393305,865.9148698593107,575.9198510546018,2669.910503025051,8205.48657871666
CricketZ,-1.3094437774139E7,-8137744.404377,-1768216.0,-1692918.1184415,-91888.0810955,-3818.5846715,-1902.0,-1945.5,670.0390498683121,567.0048864312025,899.1307546434582,535.0645058529223,2537.2516425659114,8895.612227569314
Crop,-2.63611902484603E8,-1.65216927556E7,-1.57241955E7,-1645342.7653295,-1777554.215882,-62588.497661500005,-34385.0,-81265.0,2054.0245144932196,5614.950749350831,5717.428984257128,5191.124327338295,17810.34636802944,135503.12865435611
DiatomSizeReduction,-232767.670997,-55622.203076,-190128.5,-11940.662991500001,-1676.9572825,-417.3412585,-4343.0,-106.0,8.396322745562305,12.543306904321902,4.91318897546048,12.830379365976887,7.419582316214855,174.01288255695175
DistalPhalanxOutlineAgeGroup,-1.1275525240355998E7,-461429.6911395,-1061293.0,-62529.165681,-24480.3730155,-1591.507431,-1439.5,-737.5,20.723065684958684,106.13691474562232,39.82411208492439,98.29584520136207,184.5776894762469,6125.015832451352
DistalPhalanxOutlineCorrect,-1.5873222361178E7,-1008224.9635699999,-1514946.0,-137055.19323749997,-45701.8859355,-2525.04453,-2222.0,-1146.0,16.075080333004703,197.92500355130778,85.02324076538025,183.30221714943121,437.3637773860238,11962.05383083086
DistalPhalanxTW,-1.26658036136745E7,-522259.489959,-1063252.5,-68982.8734985,-22859.995469,-1812.970683,-1450.0,-733.0,29.76001936392599,123.08947250122873,35.66206570091939,112.42757861084257,182.21493815033216,8559.439406189078
Earthquakes,-9787317.1454725,-7853538.660793001,-2074716.5,-2094632.2098615002,-110626.604563,-2613.3285960000003,-1684.5,-2474.0,355.2266712563569,301.6786378957462,1687.9827562150576,403.899612249006,5556.797786374097,7394.368305053902
ECG200,-718938.6464465,-109703.221853,-333442.5,-17141.058974,-4235.7817305,-681.9760595,-659.0,-221.0,3.5287937033437777,20.19053602358518,6.667413156476092,21.438076428177354,14.102237940603112,523.4668524631536
ECG5000,-6552249.317994,-1428407.6963625,-1465595.0,-250748.6742905,-58659.6694305,-2266.0504315,-5117.5,-1362.0,90.03095656357752,151.4301678382009,228.49226399845273,242.928409072364,772.596074478683,5821.674073383121
ECGFiveDays,-129539.12073,-14656.6209045,-172601.0,-4921.7562785,-1144.7129955,-435.06054300000005,-5098.5,-119.0,0.9539451064900581,6.442773121525346,1.765100275777809,8.307880169203258,2.8073823722772686,85.40517015031458
