S-BOSS,ProximityForest,TS-CHIEF,STC,BOSS,InceptionTime,HIVE-COTE v1.0,cBOSS,TSF,WEASEL,ResNet,Catch22,RISE,ROCKET
-0.8197593296281894,-1.5422261811528601,-1.2040819233321622,-0.822925977970622,-1.1129142411091324,-1.1554831148144324,-1.0153415661792362,-1.309406312619651,-1.5175515549203498,-1.4945514818884649,-2.059157550668847,-1.13187914342288,-1.2781382426039118,-2.4654313580694907
-1.1776020722508347,-1.3465252462774104,-1.1994541485804922,-1.1455971351576553,-1.1739883890514666,-0.9509505381720474,-1.2777534517290448,-1.179185404671185,-1.6170456330342242,-1.1746313308515015,-1.3099569432616665,-1.684824311221106,-1.700630804339737,-4.431638637841241
-0.4348338948707273,-0.5013807791737328,-0.6200307523262514,-0.7425933538317615,-0.4984004993293612,-0.6925701153562358,-0.6297302830023125,-0.5113925360054491,-0.7870918675794852,-0.8899735498463861,-1.0153503433651794,-0.9358324841692273,-0.8546863050313418,-1.1078020426468653
-1.5838498190398362,-1.7036281158628417,-1.4845423009293335,-1.412387401662617,-1.7721486698424036,-1.689653708619647,-1.335993127585046,-1.6799442946471637,-1.2527336811321457,-1.2553484789178506,-2.3171346900714127,-1.9242219043683657,-1.3050088482495383,-1.7714049689019424
-0.24411755788331388,-0.5412984633405792,-0.43301496938085704,-0.43740800728045115,-0.25029744912079793,-0.6296328505775681,-0.4550158729914037,-0.33548271718182693,-0.5977512019629678,-0.3585299346129475,-0.8970070520007489,-0.5832122874811446,-0.7134414755209294,-0.6737181014252493
-0.21557182391843863,-0.38037833083541306,-0.36902064126205264,-0.5222984729582884,-0.19914454330844256,-0.1552039214727432,-0.45870373755372107,-0.3131795552043643,-0.6028222302632409,-0.5727130885120443,-0.22701168791876025,-0.3809428351768357,-0.6358374587282264,-0.6317645482401664
-0.5143985036250641,-0.08711708751747602,-0.23167893145982707,-0.4325927457810661,-0.5113882210651931,-0.014664014688912617,-0.46510922762895507,-0.6693892795165085,-0.30671481542126333,-0.2326464683312726,-0.0042374999208027835,-0.6229389065669079,-1.1637198312936359,-0.8544297174074027
-0.5238012268127449,-0.8190286902247276,-0.6566969284664226,-0.7352708784030244,-0.5728984336522793,-0.3989743483796164,-0.7394164228623797,-0.6362767287817931,-0.9146354806735498,-0.9397336825194418,-0.505581025470401,-1.080291319241671,-1.2178681244404588,-1.3189086295839763
-0.0477619318894295,-0.12915343711224195,-0.1469809401971758,-0.4463023710088329,-0.04511155453963332,-0.017130121485475547,-0.36709619423808243,-0.0949171647586007,-0.2442742896909978,-0.09522244000773834,-0.08283378157308438,-0.4651426758720059,-0.9376104606403524,-0.8844501853069687
-0.4525015323779833,-0.23381895519727317,-0.3099948557988098,-0.26711476756505803,-0.46357365168373904,-0.24726586917978802,-0.30937930710199585,-0.3841225730010185,-0.3089099758320033,-0.23276008773918205,-0.28353919798994315,-0.3405655366433674,-0.42392945155945505,-0.550568321366044
-1.53074023990063,-1.340176064787594,-1.2078273432255802,-0.9642023590592275,-1.532237843415855,-0.8673492492253658,-0.9715557902787035,-1.397782948492851,-0.9999351063753276,-1.2695519769169759,-1.3748525118262065,-1.353329339967232,-0.9068457281949143,-1.1598627723072787
-0.26627617867823766,-0.4853245178945368,-0.6802421326699754,-0.5076251171212448,-0.3970727585487269,-0.9231091918437669,-0.4847660698227816,-0.7483464928612307,-0.23732549346714307,-0.06835953819753089,-1.713767521877402,-0.9232291210047212,-0.7405864322183343,-1.3321689565006283
-0.09200657256705225,-0.10395919664102354,-0.09308932176639644,-0.18273474984087654,-0.07774280277814066,-0.00863684122866634,-0.15268547561466878,-0.06929581934275814,-0.14403196638358765,-0.040837909900890944,-0.01178035126970178,-0.19936025168026159,-0.23253592643074417,-0.4942820010361568
-0.6431641060910118,-0.7950163660739714,-0.7688703027949642,-0.6305605741394228,-0.6753297381438313,-0.8335381188842506,-0.6789605789894081,-0.7190810624358079,-0.908169822730688,-1.5359276591892035,-1.653703228124484,-0.7015559386241913,-0.766894356634337,-0.7242713725041521
-0.9297878711744723,-0.9886335124915142,-1.0792027331855794,-1.1178864056100415,-1.0508070548975212,-0.7416003984779656,-1.2637705557766747,-1.0976461366783057,-1.5290690758240035,-1.5968696410763483,-1.311667814539885,-1.8382603869115388,-2.3112269354848243,-2.717930451631967
-0.933551871418935,-0.9816170813119138,-1.1054011967215005,-1.1520373307951344,-1.0371285992192414,-0.6435165007489477,-1.2546898430160698,-1.0835728873969424,-1.4813266298692342,-1.4034049598932856,-1.1119083253699815,-1.866637838771093,-2.2804599150402804,-2.727598633685285
-0.9098407958460305,-0.9753563925309108,-1.0738769004451276,-1.107064100716356,-1.0058921944310726,-0.6740735370218552,-1.2454985563403302,-1.0786879812469128,-1.503509884342299,-1.4959847799655674,-1.2281526119321495,-1.8162462446400547,-2.2919892198871454,-2.7041678593923866
-1.3280746064534261,-1.054955968518293,-1.1496092758703216,-1.204904829252635,-1.4244967304323741,-1.8063602564204553,-1.2060564743167113,-1.441195546490562,-1.142136687722436,-1.6111935863088647,-4.432383119865591,-1.6265425705279684,-1.3929014782855609,-3.7331537145106055
-0.23213752233972765,-0.23343687484608802,-0.2834703382778623,-1.0791977952380833,-0.2452773059233779,-0.34594998284150164,-0.5131631446975276,-0.5256984701855624,-0.316843465329303,-0.6076209864992458,-5.566522523911027,-0.4436501057044889,-0.47206582512489526,-1.2722707612963533
-0.6917358310998502,-0.6869573608445929,-0.6834070572540247,-0.6901128949833224,-0.6897472246035788,-1.5724685021413387,-0.6721842429346959,-0.7269569892262433,-0.6639419657279705,-1.009148127789079,-2.76159729379538,-0.707689623859719,-0.7108816720807585,-1.115141350237152
-0.6097598525343974,-0.5686663175932084,-0.6020173853030237,-0.5502124809191943,-0.6089439050646206,-1.3146475067799017,-0.5700995196829689,-0.6782605243251433,-0.5967967257760057,-0.7936025146828716,-2.350630035923412,-0.5848138073006145,-0.6050932075467687,-0.7163725135030087
-1.209140449542869,-1.1007226196187152,-1.0833600039195703,-1.0913807515786411,-1.2166063675248748,-2.245817538834035,-1.075355135461809,-1.188705995632852,-1.0772120149406421,-1.744461026120553,-4.048128272511759,-1.1798777406967496,-1.1268134367989062,-1.974446001618589
-1.6254966436119602,-0.7462679135983203,-0.7579599197053294,-0.816457090259618,-1.6973778731631162,-0.9189230918770686,-0.8229995960087148,-1.6031794554902208,-0.7810828566609141,-2.029002132112797,-2.508051009903635,-0.7984101820272284,-0.7969191732406263,-0.8183879762281643
-0.4271853069929367,-0.44002567387280356,-0.5055516851456248,-0.5190626992120133,-0.4236665067837916,-0.6894533122339996,-0.4780865045845827,-0.4920460384291203,-0.4908868357801206,-0.5521906851085575,-1.1028033755403432,-0.5771447761784769,-0.5187870057210404,-0.6314485265658839
