HIVE-COTE v1.0,TS-CHIEF,InceptionTime,STC,ROCKET,ProximityForest,WEASEL,ResNet,cBOSS,S-BOSS,BOSS,RISE,TSF,Catch22
0.984851851851852,0.9725111111111111,0.9726111111111114,0.9808444444444444,0.9695888888888892,0.9306666666666666,0.9706666666666666,0.9591407407407407,0.9634037037037039,0.9685185185185186,0.9433814814814815,0.9617444444444446,0.9407296296296296,0.9687148148148149
0.989277627845689,0.9858420813743922,0.9915730598285316,0.9886181656286591,0.9779891852726552,0.974983971485344,0.9903164176907956,0.9913289462759657,0.9695856723125991,0.9583190109443185,0.9563510651453294,0.9834964207802036,0.9779458982180665,0.9784074561738639
0.9742073556920446,0.976599472699689,0.967170400483113,0.9422870988172566,0.9422062951997994,0.9756022270337147,0.9536018440781817,0.9584348901948655,0.9766248066811011,0.9740213276773747,0.9647214587659992,0.9529479622346926,0.9329981588676296,0.9046506709086357
0.9387037037037037,0.8657407407407408,0.9037500000000003,0.9380555555555556,0.9220370370370368,0.835787037037037,0.9249074074074071,0.8858333333333335,0.8300462962962963,0.8498611111111111,0.8242592592592592,0.930277777777778,0.909537037037037,0.7456481481481483
0.9983333333333333,0.997,0.9656666666666663,0.9866666666666666,0.9623333333333333,0.945,0.9706666666666665,0.9339999999999998,0.9993333333333333,0.9986666666666667,0.9976666666666666,0.9566666666666667,0.9236666666666665,0.9186666666666666
0.993,0.9993333333333333,0.9963333333333334,0.959,0.9686666666666668,0.9726666666666667,0.9490000000000001,0.9913333333333334,0.9986666666666666,0.997,0.9986666666666667,0.9600000000000001,0.8963333333333332,0.9763333333333333
0.9995155555555556,0.9999955555555555,1.0,0.9930466666666669,0.9999644444444445,1.0,0.9929644444444444,1.0,0.979051111111111,0.9714400000000001,0.973208888888889,0.913677777777778,0.9973133333333332,0.9707755555555556
0.9817498038301384,0.9796336198792146,0.9852226559268369,0.9838712712057739,0.9735677281148389,0.9499052054581599,0.9675727959407253,0.9829668215969857,0.9638376528307372,0.9714795782786688,0.968874003795542,0.9300045564054161,0.9380299531949989,0.9262799300055906
0.9999909215904869,0.9999911718072589,0.9999982065733515,0.99962076860319,0.9996708092353289,0.9998957702616448,0.9983692235434989,0.9988614217585955,0.9999961722201576,0.999999444237995,0.9999992586399108,0.9958576103753694,0.997607983088015,0.9945278866788508
0.9878948417784661,0.9881656140350882,0.9923595089578213,0.9878620866444549,0.9934988179669063,0.9860701754385969,0.988085676037487,0.9934357894736844,0.9815368421052637,0.9424364123159356,0.9384061066962937,0.9576262496795739,0.9870417841579125,0.9832463157894742
0.8608067462344301,0.7641574546585664,0.9555218118655906,0.8676759708940797,0.9063310735212581,0.7420630700601708,0.8691292772221837,0.9366172682180288,0.7633803418721553,0.7896918759546767,0.7893755205410921,0.8985147583810492,0.845902379569284,0.6783172516869448
0.9999778069293176,0.9975761111160508,0.9644649555562235,0.9988289346893556,0.9680026618696351,0.9968708286480723,0.9992395731098925,0.9297861772689504,0.973532487543371,0.9956067510931763,0.9885238946773155,0.9975522067297592,0.9986874245414001,0.9625144956336802
