ROCKET,ResNet,Catch22,cBOSS,WEASEL,TSF,BOSS,RISE,S-BOSS,ProximityForest,InceptionTime,TS-CHIEF,STC,HIVE-COTE v1.0
-2336.0,-1407.5,-2290.2681945,-43782.509147000004,-2292023.8185275,-284143.844532,-523757.199764,-286705.979761,-1848175.0835265,-4938356.564236499,-1559679.5,-1.7525504092991002E7,-4592878.7364335,-6574966.05236
-1279.5,-1697.5,-3357.142734,-35946.3758035,-559116.716826,-732188.4217920001,-95019.649582,-484144.18284699996,-581658.9402435,-957836.5550685,-1339954.5,-4246110.679705,-7629000.006353,-1.371850131949E7
-208.5,-1289.5,-487.437473,-3069.7411585,-7471.961076,-18183.439685999998,-6131.882009999999,-20936.3409865,-11952.646682999999,-30362.850176,-217013.5,-147936.8366895,-3743398.5758729996,-3932672.0379335
-356.0,-668.5,-616.555954,-4536.4726145,-21450.617789,-36424.4500635,-15250.556353,-24957.8912365,-31055.808881999998,-96925.1709885,-261474.0,-479899.2309935,-3727122.104692,-3940607.641453
-264.5,-665.0,-475.6974875,-3366.764868,-9415.066883,-12698.9836095,-11159.872741,-20465.648201,-18436.6728965,-49990.252932999996,-229845.0,-188940.5083845,-3720799.2177345,-3854818.4321815
-266.0,-661.0,-441.4521185,-3301.0002235,-9231.547902499999,-12065.6038145,-10508.6646655,-16684.533387,-16901.66125,-47033.63702,-229579.5,-155909.102733,-3713544.292065,-3849879.4892964996
-124.0,-1077.5,-512.6447115,-1520.3163115,-909.9301145,-10907.429593500001,-1624.63582,-10003.084126,-2738.706868,-6238.3271095,-176197.0,-33121.6500495,-183202.38513150002,-318810.0293855
-629.0,-725.0,-940.802267,-11087.640180499999,-59849.26981,-51918.405575,-54752.726653499994,-58497.7158175,-127160.4960335,-321733.0791065,-442257.0,-1106276.7841989999,-4030948.5747885,-4584987.897989
-125.0,-3659.5,-415.306694,-1482.539822,-1126.0585895,-7743.7760215,-1761.343621,-12314.3226895,-3020.8523875,-6230.4934205,-176593.0,-32098.785541,-189546.612004,-313840.231908
-44.0,-2333.0,-281.710024,-202.4970765,-76.9042015,-2319.6697345000002,-233.36089750000002,-4026.2695855,-188.41371500000002,-96.625328,-160292.0,-2285.7932135,-33665.1737375,-77336.09039900001
-1432.5,-4591.5,-3055.1353854999998,-54294.800969,-48054.8277975,-304074.61323250004,-164181.948616,-309177.7348895,-1077484.2776684999,-549608.9949749999,-1523287.5,-2871903.0796530005,-1.0318812629522E7,-1.7603160171595E7
-942.5,-7402.0,-1300.315043,-18636.048471000002,-102207.806416,-67269.12526,-215930.530127,-91148.2589135,-477743.75951849995,-1528600.5646310002,-738715.5,-5769121.792251,-3807241.2754055,-4284074.8613405
-197.0,-916.5,-520.904106,-2660.123993,-3593.0341295,-7546.981388,-5898.611269,-12519.6265055,-11846.723193,-13297.576029,-210145.0,-61634.666827,-3678388.259184,-3791644.620545
