dataset_name,metric,best_method
pigairwaypressure,BALACC,ROCKET
pigairwaypressure,Prec,STC
pigairwaypressure,AUROC,TSF
pigairwaypressure,ACC,InceptionTime
pigairwaypressure,Recall,TS-CHIEF
pigairwaypressure,F1,ROCKET
pigairwaypressure,MCC,HIVE-COTE v1.0
middlephalanxoutlinecorrect,TrainTime,InceptionTime
middlephalanxoutlinecorrect,NLL,Catch22
middlephalanxoutlinecorrect,BALACC,STC
middlephalanxoutlinecorrect,Prec,InceptionTime
middlephalanxoutlinecorrect,AUROC,TS-CHIEF
middlephalanxoutlinecorrect,ACC,ROCKET
middlephalanxoutlinecorrect,Recall,WEASEL
middlephalanxoutlinecorrect,F1,ProximityForest
middlephalanxoutlinecorrect,MCC,TS-CHIEF
cricketx,TrainTime,STC
cricketx,NLL,InceptionTime
cricketx,BALACC,BOSS
cricketx,Prec,InceptionTime
cricketx,AUROC,HIVE-COTE v1.0
cricketx,ACC,ProximityForest
cricketx,Recall,STC
cricketx,F1,TS-CHIEF
cricketx,MCC,HIVE-COTE v1.0
middlephalanxoutlineagegroup,TrainTime,WEASEL
middlephalanxoutlineagegroup,NLL,STC
middlephalanxoutlineagegroup,BALACC,Catch22
middlephalanxoutlineagegroup,Prec,ROCKET
middlephalanxoutlineagegroup,AUROC,BOSS
middlephalanxoutlineagegroup,ACC,HIVE-COTE v1.0
middlephalanxoutlineagegroup,Recall,S-BOSS
middlephalanxoutlineagegroup,F1,Catch22
middlephalanxoutlineagegroup,MCC,BOSS
coffee,TrainTime,STC
coffee,NLL,InceptionTime
coffee,BALACC,TS-CHIEF
coffee,Prec,STC
coffee,AUROC,TS-CHIEF
coffee,ACC,TS-CHIEF
coffee,Recall,STC
coffee,F1,TS-CHIEF
coffee,MCC,TS-CHIEF
inlineskate,TrainTime,TS-CHIEF
inlineskate,NLL,S-BOSS
inlineskate,BALACC,Catch22
inlineskate,Prec,WEASEL
inlineskate,AUROC,ProximityForest
inlineskate,ACC,Catch22
inlineskate,Recall,InceptionTime
inlineskate,F1,Catch22
inlineskate,MCC,WEASEL
proximalphalanxoutlinecorrect,TrainTime,ResNet
proximalphalanxoutlinecorrect,NLL,Catch22
proximalphalanxoutlinecorrect,BALACC,Catch22
proximalphalanxoutlinecorrect,Prec,TSF
proximalphalanxoutlinecorrect,AUROC,BOSS
proximalphalanxoutlinecorrect,ACC,HIVE-COTE v1.0
proximalphalanxoutlinecorrect,Recall,STC
proximalphalanxoutlinecorrect,F1,RISE
proximalphalanxoutlinecorrect,MCC,cBOSS
sonyaiborobotsurface1,TrainTime,STC
sonyaiborobotsurface1,NLL,HIVE-COTE v1.0
sonyaiborobotsurface1,BALACC,ProximityForest
sonyaiborobotsurface1,Prec,Catch22
sonyaiborobotsurface1,AUROC,HIVE-COTE v1.0
sonyaiborobotsurface1,ACC,ROCKET
sonyaiborobotsurface1,Recall,ROCKET
sonyaiborobotsurface1,F1,ProximityForest
sonyaiborobotsurface1,MCC,ROCKET
oliveoil,TrainTime,ProximityForest
oliveoil,NLL,ProximityForest
oliveoil,BALACC,ResNet
oliveoil,Prec,STC
oliveoil,AUROC,STC
oliveoil,ACC,ProximityForest
oliveoil,Recall,HIVE-COTE v1.0
oliveoil,F1,InceptionTime
oliveoil,MCC,ROCKET
crickety,TrainTime,STC
crickety,NLL,InceptionTime
crickety,BALACC,ResNet
crickety,Prec,ROCKET
crickety,AUROC,HIVE-COTE v1.0
crickety,ACC,RISE
crickety,Recall,InceptionTime
crickety,F1,HIVE-COTE v1.0
crickety,MCC,S-BOSS
